ea0ca6624edb56a6884cd41ca13588090c63e0f7b3141534bd54a5d1c3d4d26b,3393aa232e1d1c37b9a85f57d8fbaa81ee33d059391d5a2a92d3b67ea9f4072a,58a568806fe88caebe992f9a33764595d9f475768f2d1d85e50c38657f89d1c6,12a6ab1fb2348642a5178fcc957edee28ed67f659213471ccecd083bbcf290a2,470fcaaee2952df5bcc90c8e980dbc79e6441c7057f72d05f5b8cdab0ee51b76,9243afcd3241140cfa398f551cc8ea1ea3447fa4b0fc8ff8b70687306a1ab3a0,82fd50a14422080899803c775bbed09d3107741069b9588dd157d3d58c1b6315,fbed93b21af8257807dab9546671a09584869e89f8dcd6894a8484e691ad7138,933038c0056eadbe8ca9942ec6bef359ada5729ca3c9a99254b8e658bf071dfb,f9590b1e243b4d7d793b7115483218ad6b7b70a14fceaf8ef910631db2a050f9,2f2d5f3f351225eded0d1ca36c3325d2b5f930d85105169e599a88df746f14a6
"10","2","70","1","1010801","5","1010801001","-345","0","dsb_idle_normal","-165"
"4","2","70","2","1010801","5","1010801002","-345","1","dsb_idle_worry","165"
"10","2","70","99","1010801","5","1010801003","-350","0","dsb_lago","-215"
"1","1","0","1","1010801","31","1010801004","1","","","0"
"3","1","0","3","1010801","31","1010801005","1","","","0"
"4","1","0","4","1010801","31","1010801006","1","","","0"
"14","1","0","10","1010801","31","1010801007","1","","","0"
"24","1","0","20","1010801","31","1010801008","1","","","0"
"34","1","155","30","1010801","31","1010801009","1","","","-168"
"34","1","-155","31","1010801","31","1010801010","1","","","-168"
"42","1","-222","32","1010801","31","1010801011","1","","","-175"
"40","0","0","40","1010801","31","1010801012","1","","","0"
"1","","","170","1010801","13","1010801013","","","",""
"2","","","170","1010801","13","1010801014","","","",""
"0","","","","1010801","91","1010801015","","","",""
"se_10044200","","1","se_10044200_cmn_amb","1010801","23","1010801016","","","",""
"se_10044200","","0","se_10044200_cmn_steam","1010801","23","1010801017","","","",""
"6","","","0","1010801","93","1010801018","","","",""
"se_10044200","","1","se_10044200_hotspring_04","1010801","23","1010801019","","","",""
"1.5","","","0","1010801","93","1010801020","","","",""
"2","0.5","1","dsb_talk_anger_Ex8","1010801","3","1010801021","","","",""
"vo_dsb_1010801","","0","vo_dsb_1001","1010801","21","1010801022","","","","0"
"2","0","10","あ、あづいです～っ！！\nここのお湯の温度はおかしいですよ……\nどうなってるですか、ボス！？","1010801","11","1010801023","1","0","0.2","1"
"0","","","","1010801","91","1010801024","","","",""
"2","0.5","1","dsb_idle_worry","1010801","3","1010801025","","","",""
"1","0.5","1","dsb_talk_worry_Ex3","1010801","3","1010801026","","","",""
"vo_dsb_1010801","","0","vo_dsb_1002","1010801","21","1010801027","","","","0"
"1","0","10","今はボスじゃなくて\n若女将って呼んでほしいな～？","1010801","11","1010801028","1","0","0.2","1"
"0","","","","1010801","91","1010801029","","","",""
"1","0.5","1","dsb_idle_normal","1010801","3","1010801030","","","",""
"2","0.5","0","dsb_talk_doya_sing","1010801","3","1010801031","1","0.5","","dsb_talk_doya_sing_loop"
"vo_dsb_1010801","","0","vo_dsb_1003","1010801","21","1010801032","","","","0"
"2","0","10","けっ。\nな～にが若女将ですか……\n根性のねじ曲がったババ女将のくせに。","1010801","11","1010801033","1","0","0.2","1"
"0","","","","1010801","91","1010801034","","","",""
"2","0.5","1","dsb_idle_doya_blink","1010801","3","1010801035","","","",""
"1","0.5","1","dsb_talk_sad2_talkjoy2","1010801","3","1010801036","","","",""
"vo_dsb_1010801","","0","vo_dsb_1004","1010801","21","1010801037","","","","0"
"1","0","10","イノリちゃん……\n今なんか言った？","1010801","11","1010801038","1","0","0.2","1"
"0","","","","1010801","91","1010801039","","","",""
"1","0.5","1","dsb_idle_normal","1010801","3","1010801040","","","",""
"2","0.2","0","dsb_surprise_inori","1010801","3","1010801041","1","0.5","","dsb_talk_surprise1_2"
"vo_dsb_1010801","","0","vo_dsb_1005","1010801","21","1010801042","","","","0"
"2","0","10","いいい、いや何も言ってないですよ～？\nそんなことより温泉です！\nこの熱さはただごとじゃないです……\n絶対ヤバいものが入ってるですよ！","1010801","11","1010801043","1","0","0.2","1"
"0","","","","1010801","91","1010801044","","","",""
"2","0.5","1","dsb_idle_surprise1_normal","1010801","3","1010801045","","","",""
"1","0.5","1","dsb_talk_bitter","1010801","3","1010801046","","","",""
"vo_dsb_1010801","","0","vo_dsb_1006","1010801","21","1010801047","","","","0"
"1","0","10","人聞きが悪いな～\n危険なものなんて入ってないよ～\n……むしろイノリちゃんだって\nよく知ってるものだし？","1010801","11","1010801048","1","0","0.2","1"
"0","","","","1010801","91","1010801049","","","",""
"1","0.5","1","dsb_idle_normal","1010801","3","1010801050","","","",""
"2","0.5","1","dsb_sniff","1010801","3","1010801051","","","",""
"vo_dsb_1010801","","0","vo_dsb_1007","1010801","21","1010801052","","","","0"
"2","0","10","言われてみれば……クンクン。\nこのお湯の匂い\nどっかで嗅いだような気がするです。","1010801","11","1010801053","1","0","0.2","1"
"0","","","","1010801","91","1010801054","","","",""
"2","0.5","1","dsb_idle_normal","1010801","3","1010801055","","","",""
"1","0.5","1","dsb_talk_joy3","1010801","3","1010801056","","","",""
"vo_dsb_1010801","","0","vo_dsb_1008","1010801","21","1010801057","","","","0"
"1","0","10","そうでしょ～？\n正解は～……\nドラゴンもどきちゃんからもらった\n食べると火が吹ける木の実でした～☆","1010801","11","1010801058","1","0","0.2","1"
"0","","","","1010801","91","1010801059","","","",""
"1","0.5","1","dsb_idle_normal","1010801","3","1010801060","","","",""
"2","0.5","0","dsb_talk_guts2","1010801","3","1010801061","1","0.5","","dsb_talk_guts2_loop"
"vo_dsb_1010801","","0","vo_dsb_1009","1010801","21","1010801062","","","","0"
"2","0","10","ああっ！？\nあの火の実ですか！\nだったらこの熱さも納得ですよ！\nあいつ、元気だったですか？","1010801","11","1010801063","1","0","0.2","1"
"0","","","","1010801","91","1010801064","","","",""
"2","0.5","1","dsb_idle_guts2","1010801","3","1010801065","","","",""
"1","0.5","1","dsb_talk_normal","1010801","3","1010801066","","","",""
"vo_dsb_1010801","","0","vo_dsb_1010","1010801","21","1010801067","","","","0"
"1","0","10","うん☆\n私のこと覚えててくれたみたいでね？\nすぐに実を分けてくれたんだ～♪\nこころよ～く、ね？","1010801","11","1010801068","1","0","0.2","1"
"0","","","","1010801","91","1010801069","","","",""
"1","0.5","1","dsb_hot","1010801","3","1010801070","","","",""
"vo_dsb_1010801","","0","vo_dsb_1011","1010801","21","1010801071","","","","0"
"1","0","10","それにしても……\nふぅ。\n実の量を多くしすぎたかな～？\nちょっと火照ってきちゃった～","1010801","11","1010801072","1","0","0.2","1"
"0","","","","1010801","91","1010801073","","","",""
"1","0.5","1","dsb_hot_loop","1010801","3","1010801074","","","",""
"2","0.3","1","dsb_talk_thinking_Ex9","1010801","3","1010801075","","","",""
"vo_dsb_1010801","","0","vo_dsb_1012","1010801","21","1010801076","","","","0"
"2","0","10","（こ、これは……チャンスですよ！\nあたしよりも先にボスがのぼせたら\nその時点でボスはあたしよりへっぽこ！\nつまりあたしの勝ち！　ザ・下克上！）","1010801","11","1010801077","1","0","0.2","1"
"0","","","","1010801","91","1010801078","","","",""
"2","0.5","0","dsb_talk_arm_crossed_Ex10","1010801","3","1010801079","1","0.5","","dsb_talk_arm_crossed_Ex10_loop"
"vo_dsb_1010801","","0","vo_dsb_1013","1010801","21","1010801080","","","","0"
"2","0","10","くっくっく……\nこの勝負、もらったですよー！\nあーっはっはっはっは！","1010801","11","1010801081","1","0","0.2","1"
"5.6","","","1","1010801","93","1010801082","","","",""
"2","0.5","0","dsb_ahaha_in","1010801","3","1010801083","1","0","","dsb_ahaha_loop"
"1010801081","","","","1010801","91","1010801084","","","",""
"40","","","1","1010801","32","1010801085","","","",""
"1.5","","","0","1010801","93","1010801086","","","",""
"2","0","1","dsb_inori_dizzy","1010801","3","1010801087","","","",""
"1","0","1","dsb_idle_normal","1010801","3","1010801088","","","",""
"0.5","","","0","1010801","93","1010801089","","","",""
"0","","","0","1010801","22","1010801090","","","",""
"1","","","0","1010801","93","1010801091","","","",""
"1","0.5","0","dsb_smile4","1010801","3","1010801092","1","0.2","","dsb_talk_joy3"
"vo_dsb_1010801","","0","vo_dsb_1014","1010801","21","1010801093","","","","0"
"1","0","10","うーん♪\nようやくあったまってきた～\nね、イノリちゃん？","1010801","11","1010801094","1","0","0.2","1"
"0","","","","1010801","91","1010801095","","","",""
"1","0.5","1","dsb_idle_normal","1010801","3","1010801096","","","",""
"vo_dsb_1010801","","0","vo_dsb_1015","1010801","21","1010801097","","","","0"
"2","0","10","ぴ……\nぴぃいいい……\nゆでドラゴン族になっちまうです～っ！","1010801","11","1010801098","1","0","0.2","1"
"0","","","","1010801","91","1010801099","","","",""
"0","","","0","1010801","22","1010801100","","","",""
"se_10044200","","0","se_10044200_get_out_water","1010801","23","1010801101","","","",""
"2","0.2","0","dsb_inori_stand_up_in","1010801","3","1010801102","1","0.2","","dsb_inori_stand_up_loop"
"1","0.3","0","dsb_smile2","1010801","3","1010801103","1","0.2","","dsb_idle_normal"
"0.3","","","0","1010801","93","1010801104","","","",""
"se_adv_emote_sweat_02","","0","se_adv_emote_sweat_02","1010801","23","1010801105","","","",""
"2","0","1.4","2","1010801","12","1010801106","0","0","0","0"
"1","0","1.4","10","1010801","12","1010801107","0","0","0","0"
"2.5","","","0","1010801","93","1010801108","","","",""
"12","2","70","1","1010802","5","1010802001","-345","0","dsb_idle_normal","-165"
"6","2","70","2","1010802","5","1010802002","-345","1","dsb_idle_normal","165"
"1","1","0","1","1010802","31","1010802003","1","","","0"
"3","1","0","3","1010802","31","1010802004","1","","","0"
"4","1","0","4","1010802","31","1010802005","1","","","0"
"16","1","0","10","1010802","31","1010802006","1","","","0"
"26","1","0","20","1010802","31","1010802007","1","","","0"
"36","1","155","30","1010802","31","1010802008","1","","","-168"
"36","1","-155","31","1010802","31","1010802009","1","","","-168"
"1","","","170","1010802","13","1010802010","","","",""
"2","","","170","1010802","13","1010802011","","","",""
"0","","","","1010802","91","1010802012","","","",""
"se_10044200","","1","se_10044200_cmn_amb","1010802","23","1010802013","","","",""
"se_10044200","","0","se_10044200_cmn_steam","1010802","23","1010802014","","","",""
"6","","","0","1010802","93","1010802015","","","",""
"se_10044200","","1","se_10044200_hotspring_06","1010802","23","1010802016","","","",""
"1.5","","","0","1010802","93","1010802017","","","",""
"2","0.5","0","dsb_smile3_joy","1010802","3","1010802018","1","0.5","","dsb_talk_joy1"
"vo_dsb_1010802","","0","vo_dsb_2001","1010802","21","1010802019","","","","0"
"2","0","10","やっばー！　おフロ、ひっろ～い☆\n温泉きちゃった感まじパない！\nそれにミサトっちにも会えるとか\nちょーウケるし！　アガる～♪","1010802","11","1010802020","1","0","0.2","1"
"0","","","","1010802","91","1010802021","","","",""
"2","0.5","1","dsb_idle_joy1","1010802","3","1010802022","","","",""
"1","0.5","1","dsb_talk_normal_joy","1010802","3","1010802023","","","",""
"vo_dsb_1010802","","0","vo_dsb_2002","1010802","21","1010802024","","","","0"
"1","0","10","久しぶりね～、スズナちゃん♪\n今日の温泉はね\nお花のアロマ風呂にしてみたの。\n香りはいいし、お肌にもいいのよ～","1010802","11","1010802025","1","0","0.2","1"
"0","","","","1010802","91","1010802026","","","",""
"1","0.5","1","dsb_idle_normal","1010802","3","1010802027","","","",""
"2","0.5","0","dsb_surprise2","1010802","3","1010802028","1","0.5","","dsb_talk_surprise1_2"
"vo_dsb_1010802","","0","vo_dsb_2003","1010802","21","1010802029","","","","0"
