4e65ec26fce2b23c7283fff2680a749b97de04b15b2a620e471f3671a54f7093,4c8a746dc8b01b696929ce42378dc05eea274504e4049612399fc50ef7b7eef0,bc3494e1f08c99480dfe5f88b7f619e3f24f8d59ad1e888d4f973a6de12ecf3e,357bbed24ff6ecf2c89b821092b191867307446affcf584e93c8b46459aef3ac,df5e15a6ca5908b785d83a0ba30e18157f61bc77d5c7182db3385889bf943a3f,9cd19e8d17ebea766379b319fe0971a8784982d3ad78102cd0253cd8f2f24e30
"750000011","750000101","0","0","0","0"
"750000021","750000201","0","0","0","0"
"750000031","750000301","0","0","0","0"
"750000041","750000401","0","0","0","0"
"750000051","750000501","0","0","0","0"
"750000061","750000601","0","0","0","0"
"750000071","750000701","0","0","0","0"
"750000081","750000801","0","0","0","0"
"750000091","750000901","0","0","0","0"
"750000101","750001001","0","0","0","0"
"750000111","750001101","0","0","0","0"
"750000121","750001201","0","0","0","0"
"760100011","760100101","0","0","0","0"
"760100021","760100201","0","0","0","0"
"760100031","760100301","0","0","0","0"
"760100041","760100401","0","0","0","0"
"760100051","760100501","0","0","0","0"
"760200011","760200101","0","0","0","0"
"760200021","760200201","0","0","0","0"
"760200031","760200301","0","0","0","0"
"760200041","760200401","0","0","0","0"
"760200051","760200501","0","0","0","0"
"760300011","760300101","0","0","0","0"
"760300021","760300201","0","0","0","0"
"760300031","760300301","0","0","0","0"
"760300041","760300401","0","0","0","0"
"760300051","760300501","0","0","0","0"
