096e752b0deee66a37cf356dacee859969f429544fd44babb832d873913b7e29,66549637c85508269294bf33b120397e4a20ffe09c2a88194f8731dd24073ab8,c6a2ec29e50c1e09f5d9bee49a898021805bc303f020e4b65a68403c886aaea1,573267fbe64a5d300f73ef74f7877680ad616f3f9a24e1c0fb37b3c793d14d2b,654cd41938441dbb2cd6ecf5c44e4628ca091546465de140b3e9e3a666144f31,ca642cb81ff941caf402ab0b2457418d010c3829d74552267d225c316f1a0812,7a9ecd259265385156c7df51226e39f3f7a00bacf39d4705a0e293e1bf93ff7d
"300","2","1","0","10101","0","0"
"360","2","1","0","10101","0","1"
"420","2","1","0","10101","0","2"
"480","2","1","0","10101","0","3"
"540","2","1","0","10101","0","4"
"600","2","1","0","10101","0","5"
"900","2","2","0","10101","0","0"
"960","2","2","0","10101","0","1"
"1020","2","2","0","10101","0","2"
"1080","2","2","0","10101","0","3"
"1140","2","2","0","10101","0","4"
"1200","2","2","0","10101","0","5"
"1500","2","3","0","10101","0","0"
"1560","2","3","0","10101","0","1"
"1620","2","3","0","10101","0","2"
"1680","2","3","0","10101","0","3"
"1740","2","3","0","10101","0","4"
"1800","2","3","0","10101","0","5"
"2100","2","4","0","10101","0","0"
"2160","2","4","0","10101","0","1"
"2220","2","4","0","10101","0","2"
"2280","2","4","0","10101","0","3"
"2340","2","4","0","10101","0","4"
"2400","2","4","0","10101","0","5"
"2700","2","5","0","10101","0","0"
"2760","2","5","0","10101","0","1"
"2820","2","5","0","10101","0","2"
"2880","2","5","0","10101","0","3"
"2940","2","5","0","10101","0","4"
"3000","2","5","0","10101","0","5"
"3150","2","6","0","10101","0","0"
"3180","2","6","0","10101","0","1"
"3210","2","6","0","10101","0","2"
"3240","2","6","0","10101","0","3"
"3270","2","6","0","10101","0","4"
"3300","2","6","0","10101","0","5"
"3450","2","7","0","10101","0","0"
"3480","2","7","0","10101","0","1"
"3510","2","7","0","10101","0","2"
"3540","2","7","0","10101","0","3"
"3570","2","7","0","10101","0","4"
"3600","2","7","0","10101","0","5"
"3750","2","8","0","10101","0","0"
"3780","2","8","0","10101","0","1"
"3810","2","8","0","10101","0","2"
"3840","2","8","0","10101","0","3"
"3870","2","8","0","10101","0","4"
"3900","2","8","0","10101","0","5"
"4050","2","9","0","10101","0","0"
"4080","2","9","0","10101","0","1"
"4110","2","9","0","10101","0","2"
"4140","2","9","0","10101","0","3"
"4170","2","9","0","10101","0","4"
"4200","2","9","0","10101","0","5"
"4350","2","10","0","10101","0","0"
"4380","2","10","0","10101","0","1"
"4410","2","10","0","10101","0","2"
"4440","2","10","0","10101","0","3"
"4470","2","10","0","10101","0","4"
"4500","2","10","0","10101","0","5"
"150","5","1","0","10102","0","0"
"180","5","1","0","10102","0","1"
"210","5","1","0","10102","0","2"
"240","5","1","0","10102","0","3"
"270","5","1","0","10102","0","4"
"300","5","1","0","10102","0","5"
"450","5","2","0","10102","0","0"
"480","5","2","0","10102","0","1"
"510","5","2","0","10102","0","2"
"540","5","2","0","10102","0","3"
"570","5","2","0","10102","0","4"
"600","5","2","0","10102","0","5"
"750","5","3","0","10102","0","0"
"780","5","3","0","10102","0","1"
"810","5","3","0","10102","0","2"
"840","5","3","0","10102","0","3"
"870","5","3","0","10102","0","4"
"900","5","3","0","10102","0","5"
"1050","5","4","0","10102","0","0"
"1080","5","4","0","10102","0","1"
"1110","5","4","0","10102","0","2"
"1140","5","4","0","10102","0","3"
"1170","5","4","0","10102","0","4"
"1200","5","4","0","10102","0","5"
"1350","5","5","0","10102","0","0"
"1380","5","5","0","10102","0","1"
"1410","5","5","0","10102","0","2"
"1440","5","5","0","10102","0","3"
"1470","5","5","0","10102","0","4"
"1500","5","5","0","10102","0","5"
"1575","5","6","0","10102","0","0"
"1590","5","6","0","10102","0","1"
"1605","5","6","0","10102","0","2"
"1620","5","6","0","10102","0","3"
"1635","5","6","0","10102","0","4"
"1650","5","6","0","10102","0","5"
"1725","5","7","0","10102","0","0"
"1740","5","7","0","10102","0","1"
"1755","5","7","0","10102","0","2"
"1770","5","7","0","10102","0","3"
"1785","5","7","0","10102","0","4"
