6b61ead8dcb11dd992f2cb486cd26d929dd7cd8998d74cb3ec88bc8152616b5e,e8f1a4be599009efcc41e9dbb3a4de6ac2078e6a9d76ae02bc1b770b5d9c2423,86a09dbdedd1ba3a754b5311eeedab24670c66425ff08298fe3eac27f95b9388,d9fbc4c1b161d150029a5e202d5c44ae38f85839b6ef9321ec63ca3ba0283847,df7d43adad19bf09233636262064aaa8a6768eaaaf169087526178b9b51c77b8,0d5f98f66b3040056368380af51e3fc3f01bafb08b9ae562ebc2d4cc5bc5aeef,41d19908ad3fa7df77b9c646dac1f047f99bfeb4ce795a9d9993034004fe6bbf,de1cd3967e2e5c3e21bc0751af1038242297693e275670849117bc066542bc7b,83cbb24c971ac87f474ce9d8a6ddd827771ea90dd529525b65614a4c806ffba2,7940d60382565d832af33a762cf1ac6b50d8f921a4522d7fa5ca063060d9fb1d,938fe9646e2bd88433e9d640d99dc28fc499062b3198c1beebf2d5e1dbdfd2ff
"129811","167","1","100","1","1","-224","1.65","1","drama_idle","1001"
"129911","-49","1","100","1","0","-224","1.65","1","drama_idle","1002"
"drama_idle","","3","1","1","","","0.2","129811","","1003"
"drama_talk_arm_crossed_in","drama_talk_arm_crossed_loop","3","0","1","0","1","0.2","129911","","1004"
"vo_minigame_1013_top_talk_1_000","0","21","0","1","","","","vo_minigame_1013","","1005"
"魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","1","11","6","1","0","0","0","129911","0","1006"
"","","91","","1","","","","0","","1007"
"drama_idle_arm_crossed","","3","1","1","","","0.2","129911","","1008"
"drama_talk_doya_in_smile","drama_talk_doya_loop_smile","3","0","1","0","1","0.2","129811","","1009"
"vo_minigame_1013_top_talk_1_001","0","21","0","1","","","","vo_minigame_1013","","1010"
"ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","1","11","6","1","0","0","0","129811","0.3","1011"
"","","91","","1","","","","0","","1012"
"drama_idle_arm_crossed","","3","1","1","","","0.2","129811","","1013"
