8c4de83274f1f83548dc7494323839b40f162e4012a8434f6847a94c547eae76,1ffad08997e9d0ddbc90cfd4e388d353fb9329b3c6b40842e5fe8cf145601cd3,caea596973f415761029cb1f92e6e9fa80e5204ced9b843902e1e7e6dbc76691,f6e95b7d8a3b918186a63a84e3002e506caa46487811b2ff91bcf4841fbdd1b6,bbc5808e094da2dc633fbd1b16e68918708430c624fadb8c5048ca052782ad40,9ffd99cb72c80a56568b8954fe6da8125209b7e4ee2603b0028356992e347d77,d2480243d397637c5e3579cf114ff9706822435a904a284dd22fada601a96e15
"ギルド管理協会です！どんなお仲間をお探しですか？","2","2","11011","0","11012","1101"
"ギルド管理協会です！どんなお仲間をお探しですか？","2","2","11021","0","11022","1102"
"ギルド管理協会です！どんなお仲間をお探しですか？","2","2","11031","0","11032","1103"
"ギルド管理協会です！どんなお仲間をお探しですか？","2","2","11041","0","11042","1104"
"魔物たちが集まる闘技場を見つけた！","4","4","11051","0","11052","1105"
"不思議な石板を発見！どうする？","7","7","11073","11071","11072","1107"
"ダンジョンで迷った！どっちに進む？","8","8","11082","0","11081","1108"
"魔物たちが集まる闘技場を見つけた！","4","4","11091","0","11092","1109"
"じゃんけん……ぽん！","3","3","11101","11103","11102","1110"
"箱の中から声が聞こえる……","10","10","11111","0","11112","1111"
"イベント会場に魔物が現れた！","11","11","11121","0","11122","1112"
"魔物たちが集まる闘技場を見つけた！","4","4","11131","0","11132","1113"
"魔物たちが集まる闘技場を見つけた！","4","4","11171","0","11172","1117"
"釣りスポットを発見！","5","5","13141","0","0","1314"
"絶好のピクニック日和だ！","9","9","13151","0","0","1315"
"スロットマシンだ！挑戦する？","6","6","13161","0","0","1316"
"ラッキー！もう一回釣れるぞ！","5","5","23141","0","0","2314"
"料理ができた！でも、まだ材料はあるぞ！","9","9","23152","0","23151","2315"
"もう一勝負だ！","6","6","23162","0","23161","2316"
"ラストもう一回！","5","5","33141","0","0","3314"
"完璧！でも、まだまだ材料はあるぞ！","9","9","33152","0","33151","3315"
"ラスト一発！","6","6","33162","0","33161","3316"
