b5fb327b9271f8a36b4f0697e489fc79df98ce7661277bd0c76ceeeca4e922d1,39aa859a007e2e716733e2cfda68b53023285e7c3f7b0793603d625b5a638758,b5d54d481729f6354cc5ae6911e32fe11d9c5b3f4e3f7d6ed5ac2474b7f22893,93e061d081eeb44b44b9ebd16985ad46f6fbab11f155713b1c693ce1ee9b62a4,f7ed88c672595e511dd552b555dea88d20f4af194c37508934ec68864b1983cb,1f40fef7c5c377f77531efd2558d05489d14061f1e0a9f2d3184afccf2ef36ae,ab3140d019a0b1b96ccc80b48ac6fb7e6d2b8a47247dbc0451fcd818291b8204
"2500","累計スコアを2500pt 獲得しよう","94002","50000","12","5126700","1"
"5000","累計スコアを5000pt 獲得しよう","94002","50000","12","0","1"
"7500","累計スコアを7500pt 獲得しよう","94002","50000","12","0","1"
"10000","累計スコアを10000pt 獲得しよう","2839","1","7","5126701","1"
"12500","累計スコアを12500pt 獲得しよう","94002","80000","12","0","1"
"15000","累計スコアを15000pt 獲得しよう","94002","80000","12","0","1"
"17500","累計スコアを17500pt 獲得しよう","94002","80000","12","0","1"
"20000","累計スコアを20000pt 獲得しよう","91002","25","8","5126702","1"
"22500","累計スコアを22500pt 獲得しよう","94002","100000","12","0","1"
"25000","累計スコアを25000pt 獲得しよう","94002","100000","12","0","1"
"27500","累計スコアを27500pt 獲得しよう","91002","100","8","0","1"
"30000","累計スコアを30000pt 獲得しよう","11001262","1","15","5126703","1"
"2500","累計スコアを2500pt 獲得しよう","94002","50000","12","5126710","2"
"5000","累計スコアを5000pt 獲得しよう","94002","50000","12","0","2"
"7500","累計スコアを7500pt 獲得しよう","94002","50000","12","0","2"
"10000","累計スコアを10000pt 獲得しよう","2840","1","7","5126711","2"
"12500","累計スコアを12500pt 獲得しよう","94002","80000","12","0","2"
"15000","累計スコアを15000pt 獲得しよう","94002","80000","12","0","2"
"17500","累計スコアを17500pt 獲得しよう","94002","80000","12","0","2"
"20000","累計スコアを20000pt 獲得しよう","91002","25","8","5126712","2"
"22500","累計スコアを22500pt 獲得しよう","94002","100000","12","0","2"
"25000","累計スコアを25000pt 獲得しよう","94002","100000","12","0","2"
"27500","累計スコアを27500pt 獲得しよう","91002","100","8","0","2"
"30000","累計スコアを30000pt 獲得しよう","11001263","1","15","5126713","2"
