6b6f09b742c212aa26f4ea6217a37507b4e4599988bd9c8ab0b17920735c0c89,8a90742425b1ff9c32afc808572ac620d125234b85610ff2ce26b7a3739a3b5d,fd19503820a931d045da91a824f496b03fb52bb822648334a22a5cf62d31996e,383ea1935b02961d6e1d9e49cc6aa3dd293013af65090fb5ec3bc4f7e4b01306,5788e0fb807efdfcb5351594a489916617fb98ba26e5af5fe27ed6a40d4060c9,a0ef2f5f81458c5bdeec4543483c1ba00feebb6c53067cbd7bc219eaf26ad178,56160b046ddd3380f238defbcd1a98be605d5bb87374fd6f9d07bc12c2175975,740891a585ea3ffe0804c4785e41753c1e0a972da85c44f6ac6fa5c206841694,be81bc68e6bc467f84ad0cf1170808aaceab1c6ea05d47143293faf6208aaa25
"100101","100101","0","1001","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100102","100102","0","1001","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100103","100103","0","1001","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100104","100104","0","1001","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100105","100105","1","1001","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100106","100106","1","1001","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100107","100107","1","1001","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100108","100108","1","1001","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100109","100109","2","1001","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100110","100110","2","1001","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100111","100111","2","1001","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100112","100112","3","1001","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100113","100113","3","1001","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100114","100114","3","1001","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100115","100115","4","1001","2","難易度HARD1で1回戦おう","1","1002","0"
"100116","100116","4","1001","2","難易度HARD2で1回戦おう","1","1003","0"
"100117","100117","4","1001","2","難易度HARD3で1回戦おう","1","1004","0"
"100118","100118","5","1001","2","難易度HARDで15000pt獲得しよう","1","1001","15000"
"100119","100119","5","1001","2","難易度HARDで30000pt獲得しよう","1","1001","30000"
"100120","100120","5","1001","2","難易度HARDで45000pt獲得しよう","1","1001","45000"
"100121","100121","6","1001","3","難易度EXTRA1で1回戦おう","1","1002","0"
"100122","100122","6","1001","3","難易度EXTRA2で1回戦おう","1","1003","0"
"100123","100123","6","1001","3","難易度EXTRA3で1回戦おう","1","1004","0"
"100124","100124","7","1001","3","難易度EXTRAで20000pt獲得しよう","1","1001","20000"
"100125","100125","7","1001","3","難易度EXTRAで40000pt獲得しよう","1","1001","40000"
"100126","100126","7","1001","3","難易度EXTRAで60000pt獲得しよう","1","1001","60000"
"100201","100201","0","1002","0","全難易度合計で10000pt獲得しよう","1","1001","10000"
"100202","100202","0","1002","0","全難易度合計で30000pt獲得しよう","1","1001","30000"
"100203","100203","0","1002","0","全難易度合計で50000pt獲得しよう","1","1001","50000"
"100204","100204","0","1002","0","全難易度合計で70000pt獲得しよう","1","1001","70000"
"100205","100205","1","1002","0","全難易度合計で90000pt獲得しよう","1","1001","90000"
"100206","100206","1","1002","0","全難易度合計で105000pt獲得しよう","1","1001","105000"
"100207","100207","1","1002","0","全難易度合計で120000pt獲得しよう","1","1001","120000"
"100208","100208","1","1002","0","全難易度合計で135000pt獲得しよう","1","1001","135000"
"100209","100209","2","1002","1","難易度NORMAL1で1回戦おう","1","1002","0"
"100210","100210","2","1002","1","難易度NORMAL2で1回戦おう","1","1003","0"
"100211","100211","2","1002","1","難易度NORMAL3で1回戦おう","1","1004","0"
"100212","100212","3","1002","1","難易度NORMALで10000pt獲得しよう","1","1001","10000"
"100213","100213","3","1002","1","難易度NORMALで20000pt獲得しよう","1","1001","20000"
"100214","100214","3","1002","1","難易度NORMALで30000pt獲得しよう","1","1001","30000"
"100215","100215","4","1002","2","難易度HARD1で1回戦おう","1","1002","0"
"100216","100216","4","1002","2","難易度HARD2で1回戦おう","1","1003","0"
