9d4e29faae06c38ffa1f4127cda83f864d5ed0c47da41d684f729f9b9972a559,0391cfbc9a11a132a2a963ee61fcbcab69355b8998cb10e8d7b9bf381932837e,6d92d9377555a0f8c78e9ddf52251858afa70a2f90e4e674052cba3e0a45b3cc,e80bb979f95017c4bf083ba8248b8b43b155fe1abf3f2e061069fb8c0c0067e4
"0","1","1","11"
"0","1","1","12"
"11002002","1","1","13"
"11003005","1","1","14"
"11002012","1","1","15"
"0","2","1","16"
"0","0","201","201"
"0","0","2000","203"
"0","0","2000","204"
"0","0","2000","205"
"0","0","206","206"
"0","0","207","207"
"0","0","301","301"
