268e22ca3de4fec2a0ac2d3e4bfea458a9fbd86d7a84015792b607a3bd088e04,7189b221f8c685413fd5a1946fb5f49e1ea14f23831d53429a4e27cfcc4474a6,2bc486028c7d53cb96cac264791f452d92539d5bec2a303dc8636847c77e70b6,8fda1db22bcef6e280350c3077ca496a19ab55e1ac221b1441e7a38cd7e76d28,1545a1bc4fa889e6b0926a7eb1bef9bb939dfcf06bd8fcc5947768c8510d5ca7,367ed9cde6401bb608b0f18f2fbadfea4c09aaba93b1739b270da46a4e0ffa66,9d81d41736c21ab9a01ae00481bf4e539b16a86fe28b87da664bfbe70be70056,c4ef4145ded9f6ba02c36cc33b8dc5ed8c50877551d5c504739b590e64df2997,682795edc029457e9e7fb6d5e77cb3c7f7035eb978ebe4a6b2eebaf1ccd3a3d3,dea336e9ef7a4c48e04687ec332318996e8da9f160309e14f7fd9873fe1d90a9,fd25fc4885dde7742a9ab9a0266554c258d54921b2a3f4c22d0753d1c0f755ce
"1","105811","20011","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_smile","101","1200110001"
"0","106011","20011","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_sad_shy","102","1200110002"
"0","0","20011","1","5","0","-75","0","mana","110","1200110003"
"","","20011","","91","","","0","","","1200110004"
"","0","20011","","93","","","10","","","1200110005"
"","","20011","","101","","","1200110005","","","1200110006"
"","none","20011","0","3","","","0","","0","1200110007"
"","","20011","","91","","","0","","","1200110008"
"","103","20012","","13","","","105811","","","1200120001"
"","104","20012","","13","","","106011","","","1200120002"
"","travel_topdrama_r_2000_talk_smile_in","20012","0.2","3","travel_topdrama_r_2000_talk_smile_loop","1","105811","","0","1200120003"
"","vo_travel_talk_20001_00","20012","","21","0","","vo_travel_talk","","0","1200120004"
"0","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","20012","0","11","1","1","105811","0","10","1200120005"
"","","20012","","91","","","0","","","1200120006"
"","travel_topdrama_r_2000_idle_smile","20012","0.2","3","","","105811","","1","1200120007"
"","travel_topdrama_r_2000_talk_anger_shy","20012","0.2","3","","1","106011","","1","1200120008"
"","vo_travel_talk_20001_01","20012","","21","0","","vo_travel_talk","","0","1200120009"
"0","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","20012","0","11","1","1","106011","0","10","1200120010"
"","","20012","","91","","","0","","","1200120011"
"","travel_topdrama_r_2000_idle_sad_shy","20012","0.2","3","","","106011","","1","1200120012"
"","travel_topdrama_r_2000_talk_smile_in","20012","0.2","3","travel_topdrama_r_2000_talk_smile_loop","1","105811","","0","1200120013"
"","vo_travel_talk_20001_02","20012","","21","0","","vo_travel_talk","","0","1200120014"
"0","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","20012","0","11","1","1","105811","0","10","1200120015"
"","","20012","","91","","","0","","","1200120016"
"","travel_topdrama_r_2000_idle_smile","20012","0.2","3","","","105811","","1","1200120017"
"","","20012","","112","","","","","","1200120018"
"","","20012","","91","","","0","","","1200120019"
"1","100211","20021","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_normal","101","1200210001"
"0","100111","20021","0.8","1","-42","-68","1","travel_topdrama_r_2002_sitting_loop","102","1200210002"
"0","3","20021","0.8","5","-42","-68","3","travel_topdrama_r_2002_sitting_loop","100","1200210003"
"0","0","20021","1","5","0","-75","0","mana","110","1200210004"
"","","20021","","91","","","0","","","1200210005"
"","0","20021","","93","","","10","","","1200210006"
"","","20021","","101","","","1200210006","","","1200210007"
"","none","20021","0","3","","","0","","0","1200210008"
"","","20021","","91","","","0","","","1200210009"
"","103","20022","","13","","","100211","","","1200220001"
"","104","20022","","13","","","100111","","","1200220002"
"","travel_topdrama_r_2000_talk_normal","20022","0.2","3","","1","100211","","1","1200220003"
"","vo_travel_talk_20002_00","20022","","21","0","","vo_travel_talk","","0","1200220004"
"0","うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","20022","0","11","1","1","100211","0","10","1200220005"
"","","20022","","91","","","0","","","1200220006"
"","travel_topdrama_r_2000_idle_normal","20022","0.2","3","","","100211","","1","1200220007"
"","vo_travel_talk_20002_01","20022","","21","0","","vo_travel_talk","","0","1200220008"
"0","もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","20022","0","11","1","1","100111","0","10","1200220009"
"","","20022","","91","","","0","","","1200220010"
"","travel_topdrama_r_2000_talk_wish_in_joy","20022","0.2","3","travel_topdrama_r_2000_talk_wish_loop_joy","1","100211","","0","1200220011"
"","vo_travel_talk_20002_02","20022","","21","0","","vo_travel_talk","","0","1200220012"
"0","どういたしまして♪\nケガはないのが一番だけど、\n困ったときは遠慮なく相談してね？","20022","0","11","1","1","100211","0","10","1200220013"
"","","20022","","91","","","0","","","1200220014"
"","travel_topdrama_r_2000_idle_wish_joy","20022","0.2","3","","","100211","","1","1200220015"
"","","20022","","112","","","","","","1200220016"
"","","20022","","91","","","0","","","1200220017"
"0","100411","20031","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_doya","101","1200310001"
"1","102011","20031","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_normal","102","1200310002"
"0","0","20031","1","5","0","-75","0","mana","110","1200310003"
"","","20031","","91","","","0","","","1200310004"
"","0","20031","","93","","","10","","","1200310005"
"","","20031","","101","","","1200310005","","","1200310006"
"","none","20031","0","3","","","0","","0","1200310007"
"","","20031","","91","","","0","","","1200310008"
"","103","20032","","13","","","100411","","","1200320001"
"","104","20032","","13","","","102011","","","1200320002"
"","travel_topdrama_r_2000_talk_doya_in","20032","0.2","3","travel_topdrama_r_2000_talk_doya_loop","1","100411","","0","1200320003"
"","vo_travel_talk_20003_00","20032","","21","0","","vo_travel_talk","","0","1200320004"
"0","冒険はね、準備が大事なんだよ！\nだから迷わないようにコンパスを\n持ってきたんだ～♪","20032","0","11","1","1","100411","0","10","1200320005"
"","","20032","","91","","","0","","","1200320006"
"","travel_topdrama_r_2000_idle_doya","20032","0.2","3","","","100411","","1","1200320007"
"","travel_topdrama_r_2000_talk_wish_in","20032","0.2","3","travel_topdrama_r_2000_talk_wish_loop","1","102011","","0","1200320008"
"","vo_travel_talk_20003_01","20032","","21","0","","vo_travel_talk","","0","1200320009"
"0","ミソギちゃん、すご～い♪\n針がいっぱいぐるぐるしてるけど、\nどうやって使うの～？","20032","0","11","1","1","102011","0","10","1200320010"
"","","20032","","91","","","0","","","1200320011"
"","travel_topdrama_r_2000_idle_wish","20032","0.2","3","","","102011","","1","1200320012"
"","travel_topdrama_r_2000_talk_sad_in_surprise2","20032","0.2","3","travel_topdrama_r_2000_talk_sad_loop_surprise2","1","100411","","0","1200320013"
"","vo_travel_talk_20003_02","20032","","21","0","","vo_travel_talk","","0","1200320014"
"0","えっ？　ぐるぐる？\n……あ～！？　イタズラで使う磁石、\n同じポケットに入れたままだった～！","20032","0","11","1","1","100411","0","10","1200320015"
"","","20032","","91","","","0","","","1200320016"
"","travel_topdrama_r_2000_idle_sad_surprise2","20032","0.2","3","","","100411","","1","1200320017"
"","","20032","","112","","","","","","1200320018"
"","","20032","","91","","","0","","","1200320019"
"1","105311","20041","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_normal","101","1200410001"
"0","104511","20041","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_wish","102","1200410002"
"0","0","20041","1","5","0","-75","0","mana","110","1200410003"
"","","20041","","91","","","0","","","1200410004"
"","0","20041","","93","","","10","","","1200410005"
"","","20041","","101","","","1200410005","","","1200410006"
"","none","20041","0","3","","","0","","0","1200410007"
"","","20041","","91","","","0","","","1200410008"
"","103","20042","","13","","","105311","","","1200420001"
"","104","20042","","13","","","104511","","","1200420002"
"","travel_topdrama_r_2000_talk_surprise_in_sad","20042","0.2","3","travel_topdrama_r_2000_talk_surprise_loop_sad","1","105311","","0","1200420003"
"","vo_travel_talk_20004_00","20042","","21","0","","vo_travel_talk","","0","1200420004"
"0","ど、どうしたんだクウカ！？\n顔が真っ赤だし、こんなに汗ばんで……\nどこか、体調でも悪いのか！？","20042","0","11","1","1","105311","0","10","1200420005"
"","","20042","","91","","","0","","","1200420006"
"","travel_topdrama_r_2000_idle_surprise_sad","20042","0.2","3","","","105311","","1","1200420007"
"","travel_topdrama_r_2000_talk_wish_loop","20042","0.2","3","","1","104511","","1","1200420008"
"","vo_travel_talk_20004_01","20042","","21","0","","vo_travel_talk","","0","1200420009"
"0","これから行く場所には見たこともない\n恐ろしい魔物がいて、きっとクウカは\n空前絶後の辱めを受けることに……♪","20042","0","11","1","1","104511","0","10","1200420010"
"","","20042","","91","","","0","","","1200420011"
"","travel_topdrama_r_2000_idle_wish","20042","0.2","3","","","104511","","1","1200420012"
"","travel_topdrama_r_2000_talk_doya_in_sad","20042","0.2","3","travel_topdrama_r_2000_talk_doya_loop_sad","1","105311","","0","1200420013"
"","vo_travel_talk_20004_02","20042","","21","0","","vo_travel_talk","","0","1200420014"
"0","って、いつもの妄想か。\n心配してすごく損した気分になったぞ、\n頼むから、任務に集中してくれ！","20042","0","11","1","1","105311","0","10","1200420015"
"","","20042","","91","","","0","","","1200420016"
"","travel_topdrama_r_2000_idle_doya_sad","20042","0.2","3","","","105311","","1","1200420017"
"","","20042","","112","","","","","","1200420018"
"","","20042","","91","","","0","","","1200420019"
"0","100911","20051","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_thinking","101","1200510001"
"1","105611","20051","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_arm_crossed","102","1200510002"
"0","0","20051","1","5","0","-75","0","mana","110","1200510003"
"","","20051","","91","","","0","","","1200510004"
"","0","20051","","93","","","10","","","1200510005"
"","","20051","","101","","","1200510005","","","1200510006"
"","none","20051","0","3","","","0","","0","1200510007"
"","","20051","","91","","","0","","","1200510008"
"","103","20052","","13","","","100911","","","1200520001"
"","104","20052","","13","","","105611","","","1200520002"
"","travel_topdrama_r_2000_talk_thinking","20052","0.2","3","","1","100911","","1","1200520003"
"","vo_travel_talk_20005_00","20052","","21","0","","vo_travel_talk","","0","1200520004"
"0","我が内なる暗黒が囁いている……\n数多の運命の糸が複雑に絡み合い、\nこの旅はやがて壮大な冒険譚になると！","20052","0","11","1","1","100911","0","10","1200520005"
"","","20052","","91","","","0","","","1200520006"
"","travel_topdrama_r_2000_idle_thinking","20052","0.2","3","","","100911","","1","1200520007"
"","travel_topdrama_r_2000_talk_arm_crossed_in","20052","0.2","3","travel_topdrama_r_2000_talk_arm_crossed_loop","1","105611","","0","1200520008"
"","vo_travel_talk_20005_01","20052","","21","0","","vo_travel_talk","","0","1200520009"
"0","そうかい。\nじゃあまずは、焚火の枝を集める運命を\n受け入れてもらえるかい？","20052","0","11","1","1","105611","0","10","1200520010"
"","","20052","","91","","","0","","","1200520011"
"","travel_topdrama_r_2000_idle_arm_crossed","20052","0.2","3","","","105611","","1","1200520012"
"","travel_topdrama_r_2000_talk_doya_in_blink","20052","0.2","3","travel_topdrama_r_2000_talk_doya_loop","1","100911","","0","1200520013"
"","vo_travel_talk_20005_02","20052","","21","0","","vo_travel_talk","","0","1200520014"
"0","ふっ、既にその運命は受け入れている！\n……のだが、その、全然集まらなくて。\nよければ手伝ってほしいんだが。","20052","0","11","1","1","100911","0","10","1200520015"
"","","20052","","91","","","0","","","1200520016"
"","travel_topdrama_r_2000_idle_doya","20052","0.2","3","","","100911","","1","1200520017"
"","","20052","","112","","","","","","1200520018"
"","","20052","","91","","","0","","","1200520019"
"1","110911","20061","0.8","1","42","-68","1","travel_topdrama_r_2000_idle_kyapi","101","1200610001"
"0","110811","20061","0.8","1","-42","-68","1","travel_topdrama_r_2000_idle_doya_sad","102","1200610002"
"0","0","20061","1","5","0","-75","0","mana","110","1200610003"
