1278a7e031dac2e8881d1622397247d81c384e0bf6b79b47fcbc00be3d559e21,948c73ed2855a7bb43fec245734ea2d840f676ae4fe6538fd693dbdcb5bf5966,61f1fa5436419bc3c450366ad1b1c7df29c6760d4475e5e819c39ec52c26d255,28ab1b82c485b42ef32466e7234cba7b0ed69c6ae71e455c9444a11c382b8d1d,d75cabcc234383a5b1957792c4e434581e1bfb528ed297cc8f46d0cbddfd3cca
"5","60002","2","61001001","10001001"
"5","60002","2","61001002","10001002"
"30","91002","8","71001001","10001003"
"1","22002","2","71001001","10001004"
"30","91002","8","71001002","10001005"
"1","22002","2","71001002","10001006"
"30","91002","8","71001003","10001007"
"1","22002","2","71001003","10001008"
"30","91002","8","71001004","10001009"
"1","22002","2","71001004","10001010"
"30","91002","8","71001005","10001011"
"1","22002","2","71001005","10001012"
"30","91002","8","71001006","10001013"
"1","22002","2","71001006","10001014"
"30","91002","8","71001007","10001015"
"1","22002","2","71001007","10001016"
"30","91002","8","71001008","10001017"
"1","22002","2","71001008","10001018"
"30","91002","8","71001009","10001019"
"1","22002","2","71001009","10001020"
"30","91002","8","71001010","10001021"
"1","22002","2","71001010","10001022"
"30","91002","8","71001011","10001023"
"1","22002","2","71001011","10001024"
"30","91002","8","71001012","10001025"
"1","22002","2","71001012","10001026"
"30","91002","8","71001013","10001027"
"1","22002","2","71001013","10001028"
"30","91002","8","71001014","10001029"
"1","22002","2","71001014","10001030"
"30","91002","8","71001015","10001031"
"1","22002","2","71001015","10001032"
"60","91002","8","71001016","10001033"
"2","22002","2","71001016","10001034"
"60","91002","8","71001017","10001035"
"2","22002","2","71001017","10001036"
"60","91002","8","71001018","10001037"
"2","22002","2","71001018","10001038"
"60","91002","8","71001019","10001039"
"2","22002","2","71001019","10001040"
"60","91002","8","71001020","10001041"
"2","22002","2","71001020","10001042"
"50000","94002","12","71001021","10001043"
"100000","94002","12","71001022","10001044"
"150000","94002","12","71001023","10001045"
"200000","94002","12","71001024","10001046"
"2","31038","2","71001025","10001047"
"2","31012","2","71001026","10001048"
"3","31038","2","71001027","10001049"
"3","31012","2","71001028","10001050"
"5","31038","2","71001029","10001051"
"5","31012","2","71001030","10001052"
"5","60012","2","61002001","10002001"
"5","60012","2","61002002","10002002"
"30","91002","8","71002001","10002003"
"1","22002","2","71002001","10002004"
"30","91002","8","71002002","10002005"
"1","22002","2","71002002","10002006"
"30","91002","8","71002003","10002007"
"1","22002","2","71002003","10002008"
"30","91002","8","71002004","10002009"
"1","22002","2","71002004","10002010"
"30","91002","8","71002005","10002011"
"1","22002","2","71002005","10002012"
"30","91002","8","71002006","10002013"
"1","22002","2","71002006","10002014"
"30","91002","8","71002007","10002015"
"1","22002","2","71002007","10002016"
"30","91002","8","71002008","10002017"
"1","22002","2","71002008","10002018"
"30","91002","8","71002009","10002019"
"1","22002","2","71002009","10002020"
"30","91002","8","71002010","10002021"
"1","22002","2","71002010","10002022"
"30","91002","8","71002011","10002023"
"1","22002","2","71002011","10002024"
"30","91002","8","71002012","10002025"
"1","22002","2","71002012","10002026"
"30","91002","8","71002013","10002027"
"1","22002","2","71002013","10002028"
"30","91002","8","71002014","10002029"
"1","22002","2","71002014","10002030"
"30","91002","8","71002015","10002031"
"1","22002","2","71002015","10002032"
"60","91002","8","71002016","10002033"
"2","22002","2","71002016","10002034"
"60","91002","8","71002017","10002035"
"2","22002","2","71002017","10002036"
"60","91002","8","71002018","10002037"
"2","22002","2","71002018","10002038"
"60","91002","8","71002019","10002039"
"2","22002","2","71002019","10002040"
"60","91002","8","71002020","10002041"
"2","22002","2","71002020","10002042"
"50000","94002","12","71002021","10002043"
"100000","94002","12","71002022","10002044"
"150000","94002","12","71002023","10002045"
"200000","94002","12","71002024","10002046"
"2","31004","2","71002025","10002047"
"2","31020","2","71002026","10002048"
"3","31004","2","71002027","10002049"
"3","31020","2","71002028","10002050"
"5","31004","2","71002029","10002051"
"5","31020","2","71002030","10002052"
"5","60022","2","61003001","10003001"
"5","60022","2","61003002","10003002"
"30","91002","8","71003001","10003003"
"1","22002","2","71003001","10003004"
