bd9cb6503ce9949b2d71d58bdcd0d92a577ed729f47e4fa8d81cfa85ae66c08d,fb2ff2f38a0bf8f6b73ae3f1f66309e8a77b58eba77c4a1f15982d067cf32a86,e9d9772c442803708d7da2c21322cee7cdd2637a2b58b58c3fc6a2f2f9af9acc,c16f3c183d932e597c8eed22e35898de49ccbad3e35141ab816094646f9dc36c,cb8e6cff5517c28c71dfedc835fb8de7f511d3f9f394d9d41b77ae74c70dc0eb,efc0ddcdd9e55c647ae12248ab8016e2ad4d81e0d0cd86001b55187627ef3fe3,3e0fedc33fe40f0a2d2c61bd5cf379bd7647f4ea45a3972d02f76f316f111c46,d0ce509b6e613d9b2abe80e3aa1e2c3f5bfeac3bf9f6c40e2b68f0bbb48e2dd7,05dd160fa32ac62cc3633985de53bdb1bc4bff3416fd8133bd55928501198e6c,aa02e0f32cfa5e8e5fac1effa3919a805fb02f57dda9c0b706da5977a69c9196,aa87dcb9dad227333d1809022877ba34ed94237ad34213430627bfd70a9408b3
"1000","10000101","10000101","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","1","1回バトルしよう"
"1000","10000102","10000102","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","5","5回バトルしよう"
"1000","10000103","10000103","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","10","10回バトルしよう"
"1000","10000104","10000104","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","15","15回バトルしよう"
"1000","10000105","10000105","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","20","20回バトルしよう"
"1000","10000106","10000106","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","25","25回バトルしよう"
"1000","10000107","10000107","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","30","30回バトルしよう"
"1000","10000108","10000108","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","35","35回バトルしよう"
"1000","10000109","10000109","7000","2021/08/17 12:00:00","10","2021/08/24 11:59:59","0","0","40","40回バトルしよう"
"1005","10050501","10050501","7001","2021/08/17 12:00:00","50","2021/08/24 11:59:59","1005","0","3000000","ミソラに累積300万ダメージ与えよう"
"1005","10050502","10050502","7001","2021/08/17 12:00:00","50","2021/08/24 11:59:59","1005","0","9000000","ミソラに累積900万ダメージ与えよう"
"1005","10050503","10050503","7001","2021/08/17 12:00:00","50","2021/08/24 11:59:59","1005","0","15000000","ミソラに累積1500万ダメージ与えよう"
"1005","10050511","10050511","7002","2021/08/17 12:00:00","51","2021/08/24 11:59:59","1005","1000000","1","ミソラに1度のバトルで100万ダメージ与えよう"
"1005","10050512","10050512","7002","2021/08/17 12:00:00","51","2021/08/24 11:59:59","1005","3000000","1","ミソラに1度のバトルで300万ダメージ与えよう"
"1006","10060601","10060601","7001","2021/08/17 12:00:00","60","2021/08/24 11:59:59","1006","0","5000000","ランファに累積500万ダメージ与えよう"
"1006","10060602","10060602","7001","2021/08/17 12:00:00","60","2021/08/24 11:59:59","1006","0","15000000","ランファに累積1500万ダメージ与えよう"
"1006","10060603","10060603","7001","2021/08/17 12:00:00","60","2021/08/24 11:59:59","1006","0","24000000","ランファに累積2400万ダメージ与えよう"
"1006","10060611","10060611","7002","2021/08/17 12:00:00","61","2021/08/24 11:59:59","1006","2000000","1","ランファに1度のバトルで200万ダメージ与えよう"
"1006","10060612","10060612","7002","2021/08/17 12:00:00","61","2021/08/24 11:59:59","1006","5000000","1","ランファに1度のバトルで500万ダメージ与えよう"
"1007","10070701","10070701","7001","2021/08/17 12:00:00","70","2021/08/24 11:59:59","1007","0","3000000","アゾールドに累積300万ダメージ与えよう"
"1007","10070702","10070702","7001","2021/08/17 12:00:00","70","2021/08/24 11:59:59","1007","0","9000000","アゾールドに累積900万ダメージ与えよう"
"1007","10070703","10070703","7001","2021/08/17 12:00:00","70","2021/08/24 11:59:59","1007","0","15000000","アゾールドに累積1500万ダメージ与えよう"
"1007","10070711","10070711","7002","2021/08/17 12:00:00","71","2021/08/24 11:59:59","1007","1000000","1","アゾールドに1度のバトルで100万ダメージ与えよう"
"1007","10070712","10070712","7002","2021/08/17 12:00:00","71","2021/08/24 11:59:59","1007","3000000","1","アゾールドに1度のバトルで300万ダメージ与えよう"
"1008","10080801","10080801","7001","2021/08/17 12:00:00","80","2021/08/24 11:59:59","1008","0","5000000","カリザに累積500万ダメージ与えよう"
"1008","10080802","10080802","7001","2021/08/17 12:00:00","80","2021/08/24 11:59:59","1008","0","15000000","カリザに累積1500万ダメージ与えよう"
"1008","10080803","10080803","7001","2021/08/17 12:00:00","80","2021/08/24 11:59:59","1008","0","24000000","カリザに累積2400万ダメージ与えよう"
"1008","10080811","10080811","7002","2021/08/17 12:00:00","81","2021/08/24 11:59:59","1008","2000000","1","カリザに1度のバトルで200万ダメージ与えよう"
"1008","10080812","10080812","7002","2021/08/17 12:00:00","81","2021/08/24 11:59:59","1008","5000000","1","カリザに1度のバトルで500万ダメージ与えよう"
