00cc1153e9594d66e05f4d2cfccac1de4cb70111abf1fd564550ee74dfb03827,7f79584e3cf8d49d5d168f2432b8da45ff462473d102f1f4de6a235e84e84c97,d0807d8e8bbbb294f46bd30c64558bf0f64d3c6b77bc6e605027cdfda57eac52,f8b2b55290edf3a9403b97ba0fea5d610413535bf4702b77a35770eebbb1d090,67deae48b5478cf654f39bada2ea84924e0d6e446d0b95861c41fade1a9b0444,bd420fa37cc1112332a4be43885da678efe4d07fb88699fa746a1cf89701d7e2,45dec578dd372994b0fe575fc2fc65fd035e07df9d5740ac1645d1fdc615df1f,74d75c113ecce2d99579115c916c49dde9b35bc0d78135b9bdc9dddc2b78a45f,ae57dec840d85544631ca058c685a6c26fced0c150484d07824d5b7bfb2cbf8f,4e2a7692fdd192bc76dd2729480769ab566ee0ce735eaca6a64822508f13537b,8409e107dea482f9825fa194b6d8d696b6d037e631b468bc0c5b09f1616a9a21
"1","難易度1以上で1回クリアしよう","0","1","1","2","1","1","3","1","1013"
"2","難易度2以上で1回クリアしよう","0","1","2","2","1","2","5","2","1013"
"3","難易度3以上で1回クリアしよう","0","1","3","2","1","3","5","3","1013"
"4","難易度4以上で1回クリアしよう","0","1","4","2","1","4","5","4","1013"
"5","難易度5で1回クリアしよう","0","1","5","2","1","5","5","5","1013"
"6","迷宮遺物を累計10個集めよう","0","1","0","3","10","6","0","6","1013"
"7","迷宮遺物を累計50個集めよう","0","1","0","3","50","7","0","7","1013"
"8","迷宮遺物を累計100個集めよう","0","1","0","3","100","8","0","8","1013"
"9","キャラを累計で10人勧誘しよう","0","1","0","4","10","9","0","9","1013"
"10","キャラを累計で50人勧誘しよう","0","1","0","4","50","10","0","10","1013"
"11","キャラを累計で100人勧誘しよう","0","1","0","4","100","11","0","11","1013"
"12","キャラを累計で150人勧誘しよう","0","1","0","4","150","12","0","12","1013"
"13","アルファ強化でノードを1個解放しよう","0","1","0","5","1","13","0","13","1013"
"14","アルファ強化でノードを5個解放しよう","0","1","0","5","5","14","0","14","1013"
"15","アルファ強化でノードを10個解放しよう","0","1","0","5","10","15","0","15","1013"
