8a88da48443aaaae93c311ac403ffedb9157f08223c2590fd8a66b890b89535f,1d397981e993a6b48009c382b00313ad67189baff27f348e0d00466bf6ff65d7,577ed576bdfc78d5f33d0c5d23fd60e79fe3188377479de4980789c947c9b76f,a2feb1566ef3b312d593b58579fffdf050f257a847494b8d85d6f4cf2ef76756,7e75e1b151b1110c7780bee08898507ed596757d196e9c820782da9aa33c6091,30bbff47d1f7de69f56e563ffcea230a817fe9553b392078aa05d13275bb2864,1cdbd07d873b66be7f95ed15ef0794417fa40c0fba18911f6f0066c39fe2d329,3cb80280e00a1649e7359b0fb0efb261a998dcf10a114c9268ba5ae199ceca03,344c6e62bce5e7dc8c9d13cc1a2112bcb456ecb23722937a983ce6ffecd60b87,5d6236c397d4df47d7eed4b4dec373ef3a16c7a67fa64efd789c669bfdf6f77b,55768dd3a0601e1033883b5e1f1e4c65132ceef32cec34947137119ad0b5f9ef,4a0fc6cb46c7eba04fcf7b4caa68ae48767a1ba734eee9faf06da67893a51bf5
"1","100700101","0.8","0","0","0","0","0","1","4","0","1007001"
"2","100700102","0","0","0","0","vo_svd","0","0","2","vo_svd_0101","1007001"
"3","100700103","0","1","1.684","300","0","0","0","1","0","1007001"
"4","100700104","1.949","0","0","0","0","0","1","4","0","1007001"
"5","100700105","0","2","1.363","327","0","15","0","1","0","1007001"
"6","100700106","3.027","0","0","0","0","0","1","4","0","1007001"
"7","100700107","0","0","0","0","vo_svd","0","0","2","vo_svd_0102","1007001"
"8","100700108","0","3","1.69","441","0","0","0","1","0","1007001"
"9","100700109","1.7","0","0","0","0","0","1","4","0","1007001"
"10","100700110","0","4","1.446","221","0","0","0","1","0","1007001"
"11","100700111","1.722","0","0","0","0","0","1","4","0","1007001"
"12","100700112","0","4","1.245","478","0","221","0","1","0","1007001"
"13","100700113","0.417","0","0","0","0","0","1","4","0","1007001"
"14","100700114","0","5","0.864","208","0","0","0","1","0","1007001"
"15","100700115","2.482","0","0","0","0","0","1","4","0","1007001"
"16","100700116","0","0","0","0","vo_svd","0","0","2","vo_svd_0103","1007001"
"17","100700117","0","6","2.352","420","0","0","0","1","0","1007001"
"18","100700118","1.694","0","0","0","0","0","1","4","0","1007001"
"19","100700119","0","7","0.953","268","0","0","0","1","0","1007001"
"20","100700120","2.5","0","0","0","0","0","1","4","0","1007001"
"1","100700201","0.8","0","0","0","0","0","1","4","0","1007002"
"2","100700202","0","0","0","0","vo_svd","0","0","2","vo_svd_0201","1007002"
"3","100700203","0","1","0.865","152","0","0","0","1","0","1007002"
"4","100700204","1.516","0","0","0","0","0","1","4","0","1007002"
"5","100700205","0","1","1.013","314","0","152","0","1","0","1007002"
"6","100700206","0.973","0","0","0","0","0","1","4","0","1007002"
"7","100700207","0","2","0.755","158","0","0","0","1","0","1007002"
