e66fdd876ff892702b213f6387b81de292433459b921510c3f984fda3869fbdf,558a3924cbb0dd5cb01b161b2545c851c2d9aea707a6ea5a908d3e4e8cdc8543,4bbdb7ff55ab2069e2852e8c3b36e96b686018f6e6a4661f89171f769ce7c9e1,1d8b79cb8f403843d0cc4f6f91ec6b3edc59ae89261243004a30ba80b4a26c52,dcef78fa1bf4556472c7c8bdf458708d994b2ed5b573ea0e879c4cfa0e9d638c,e812a8166fb9080096a01b1f50a07ab57afd14495255aa7642f392033361ba90,261662590851092ebd76ebc4d1444ef48da4239e8efe4318870d4f770e51c0ad,bc9825847d6d2aff15fde9046ff2bd2a8ebec8801006f295fcc8979e3c87de0b,e1541ca86a77508452882e556e4e7db56a8783d6ed63171087bc9e8069661b0c,da143926f46101ba3b3d213cf8dcdeb24a3066410f6f76a49fdf279b76cf9dc1,447b673186e20f50e1f12cd2c91b4d018d68d21cbd60d7a490cb5df7e110daf4,1ca259791b5342ec17f8c4360a23273c93b810f0b6980cd8374bc41a59306632,502fd7a587017359137464f43a38f567e3ce4ed8ee822976d018b679ab6596f0
"57","1","0","0","1","0","0","0","0","0","10010001","0","10010484"
"59","2","0","0","1","0","0","0","10010674","0","10010099","1","10010100"
"58","11","0","0","1","0","0","0","10010099","0","10010100","10001","10010101"
"57","12","0","0","1","0","0","0","10010100","0","10010101","0","10010102"
"56","2","0","0","1","0","0","0","10010101","0","10010102","1","10010103"
"55","2","0","0","1","0","0","0","10010102","0","10010103","2","10010104"
"54","4","0","0","1","0","0","0","10010103","0","10010104","0","10010105"
"53","3","0","0","1","0","0","0","10010104","0","10010105","1","10010106"
"52","12","0","0","1","0","0","0","10010105","0","10010106","0","10010107"
"51","5","0","0","1","0","0","0","10010106","0","10010107","0","10010559"
"48","2","0","0","1","0","0","0","10010560","0","10010110","2","10010111"
"47","6","0","0","1","0","0","0","10010110","0","10010111","0","10010561"
"45","2","0","0","1","0","0","0","10010561","0","10010113","3","10010114"
"44","11","0","0","1","0","0","0","10010113","0","10010114","10001","10010562"
"42","4","0","0","1","0","0","0","10010562","0","10010116","0","10010117"
"41","6","0","0","1","0","0","0","10010116","0","10010117","0","10010118"
"40","3","0","0","1","0","0","0","10010117","0","10010118","3","10010563"
"49","11","0","0","1","0","0","0","10010559","0","10010119","10001","10010120"
"48","4","0","0","1","0","0","0","10010119","0","10010120","0","10010121"
"47","2","0","0","1","0","0","0","10010120","0","10010121","3","10010565"
"45","2","0","0","1","0","0","0","10010565","0","10010123","2","10010566"
