ef1caac39daf4206463aa303f8fdcb38f2a789bc5202dd61433e0eb92032c7ec,b95216281bceb85c7439b6a53efb81301e7b3cde9e5943528292f3a7876ee817,d0ab7f816a105ae04011c1cd708cc5a2143f9321e7464d838485afad86027513,8bbc4dadb3a8a5e3074fcd946d981967a16fc2afcdfbf25ee21ab29b96e08937,57b1042f7de3bb846256ea9d0698b76b65210dc3d030930f302bbc1bee49ec56,df32f3122de0c59dcb6b5d9a8fd479368d3762ea63d71cb0048dc0e0be728e84,28839c5b88b5ab0581c2270e1ef722c7f1482437ffb890392b216cad2a906df5,df174c3aaf45de0fb1cf06ecc840602675615abdded53300b05bdf56cd695c56,24e755b7e5e59209d90cac1fa58ed2bf7203273d91a1adb51603e88ccb561f3c,89bd5bf16853ea2ced8799dc8534a9f453650e5c4dda60c3cd9b87913f245262,ee8030f62e6a0b7b2b3d0cc749c0c819b962d581a2c764e68b892edbc99bd3da,dd2bb897c0a3865df9e9fd09d7169a7adb8f7fc774d9bfc31ce4908f5dd1959a,41a11617763891eb2cdc5f4a516eac77d0f1fc7e470a694939478d58c1f78572,d07673adb5e01c623f6fbc021d04818d3d22a95a4b2883ca645776a221e60091,6f1a51fddf726fa097ced1766e930a55c3807ac90ec64a1f5cb06ed97e6b90cb
"10118","40","20063115","フリーマーケット会場","7","2","ペコリーヌとの出会い","1","8","青空の下で謁見","0","91002","2834","5118061","フリーマーケットを訪れたジータが出会ったのは\n城をこっそり抜け出していたペコリーヌだった。"
"10118","40","20063115","フリーマーケット会場","7","2","マホとの出会い","1","8","未来の騎空団\nマスコット？","0","91002","2835","5118062","ジータたちがフリーマーケットを巡っていると\n露店を出していたマホに声をかけられる。"
"10118","40","20063115","ランドソル市街地","7","2","アキノとの出会い","1","8","お嬢さまからの\n緊急依頼","0","91002","2837","5118063","ジータが騎空団への依頼を確認していると、\n高笑いをしながらアキノが現れる。"
"10118","40","20063115","フリーマーケット会場","18","2","ジュンとの出会い","1","8","黄金色の悩みごと","0","91002","4108402","5118064","ジータたちは、フリーマーケット会場で\n少し困った様子のジュンを見かける。"
"10118","40","20063115","フリーマーケット会場","18","2","カオリとの出会い","1","8","白熱！　格闘大会！","0","91002","4107402","5118065","フリーマーケットの隅で開かれる格闘大会──\nそこにはカオリもいて……？"
"10118","40","20063115","オーエド町","16","2","ニノンとの出会い","1","8","祭り太鼓はオーエドの華","1","91002","9000227","5118066","太鼓祭を控えるオーエド町──\nジータは、困った様子のニノンと出会う。"
"10118","40","20063115","フリーマーケット会場","19","3","スズナとの出会い","1","8","人気者は遅れて\nやってくる","0","91002","2101181","5118067","ビカラはイベントに出演中のスズナを見かける。\nしかし、スズナはどこか困っているようで……？"
"10118","40","20063115","ランドソル市街地","18","3","ナナカとの出会い","1","8","巫女・ミーツ・魔法少女","0","91002","4109402","5118068","ビカラたちが街を散策していると、通りかかった\nナナカが興奮した様子で近づいてきて……？"
"10118","40","20063115","フリーマーケット会場","18","3","キャル＆コッコロとの出会い","1","8","ネズ耳は二度なくなる","0","91002","4305402","5118069","ネズ耳をなくしてしまい絶望するビカラ。同じ頃\nキャルとコッコロは落とし物を拾っており……"
"10118","40","20063115","ランドソル市街地","18","3","ユカリとの出会い","1","8","この出会いにカンパイ！","0","91002","4101402","5118070","街外れでひと休みをしていたビカラたちは、\nすっかりゴキゲンな様子のユカリと出会う。"
"10118","40","20063115","ランドソル市街地","18","3","アオイとの出会い","1","8","陰陽アンサンブル","0","91002","4106402","5118071","ビカラは、人混みに怯えるアオイを心配し、\n陽気に声をかけるも……"
"10118","40","20063115","フリーマーケット会場","7","3","シノブとの出会い","1","8","運試し十番勝負！","1","91002","2836","5118072","ビカラがフリーマーケット会場を歩いていると\n占いをしていたシノブに声をかけられる。"
"10118","0","20063115","0","0","1","オープニング","0","0","彼女たちの新たな日常","0","0","0","5118600","0"
