b6905755bb7142262a704ea3a8c69e983832db7983144683068de922a7f76e7a,e4be47b16448b51800e47cee0fce50623e7b8d727f57e5125b7054583ecd3f8c
"701000101","150"
"701000102","150"
"701000103","150"
"701000104","150"
"701000105","150"
"701000201","150"
"701000202","150"
"701000203","150"
"701000204","150"
"701000205","150"
"701000301","150"
"701000302","150"
"701000303","150"
"701000304","150"
"701000305","150"
"701000401","150"
"701000402","150"
"701000403","150"
"701000404","150"
"701000405","150"
"701000501","150"
"701000502","150"
"701000503","150"
"701000504","150"
"701000505","150"
