f06cc0356eb36bdadef49bf01889764d3d22d646d82bbd534b74f0efa708e0aa,8845d950e75955136c21fd1d8a48adc771c27d587429d16adf02a2f5abad9b72,d64b5c5f7709589861ff8ee2f7c0bdc3187adba49e3c840c8112abb75528c3be,3860e8b8dd2591b7b91101fc41a011841156d6a7ce15a205fcd591fa10762a53,d03570412827bc079025b479ee3c3368c5def01b656b26f1db19b5b380ef5b12
"255","10","10001","30","100"
"110","10","10002","34","100"
"185","10","10003","37","100"
"388","10","10004","41","101"
"603","10","10005","46","100"
"696","10","10006","51","100"
"478","10","10007","54","100"
"240","10","10008","58","101"
"371","10","10009","62","100"
"253","10","10010","67","100"
"408","10","10011","71","100"
"342","10","10012","75","100"
"549","10","10013","78","101"
"696","10","10014","82","100"
"468","10","10015","87","100"
"641","10","10016","92","100"
"701","10","10017","96","100"
"531","10","10018","101","100"
"387","10","10019","105","100"
"315","10","10020","108","100"
"241","10","10021","112","100"
"316","10","10022","117","100"
"741","10","10023","120","100"
"1007","10","10024","125","100"
"730","10","10025","129","101"
"647","10","10026","133","100"
"836","10","10027","137","100"
"1087","10","10028","140","100"
"818","10","10029","143","100"
"558","10","10030","147","100"
"228","10","10031","152","101"
"569","10","10032","155","100"
"724","10","10033","159","101"
"367","10","10034","162","101"
"9","10","10035","165","100"
"101","10","10036","170","100"
"509","10","10037","173","101"
"214","10","10038","178","100"
"511","10","10039","183","400"
"477","10","10040","188","100"
"739","10","10041","192","100"
"485","10","10042","197","101"
"670","10","10043","202","100"
"339","10","10044","205","100"
"193","10","10045","210","100"
"376","10","10046","215","101"
"719","10","10047","219","100"
"1012","10","10048","224","100"
"1199","10","10049","227","100"
"870","10","10050","232","100"
"521","10","10051","237","100"
"632","10","10052","240","100"
"263","10","10053","244","100"
"180","10","10054","247","101"
"295","10","10055","252","100"
"594","10","10056","255","200"
"252","10","10057","259","100"
"623","10","10058","262","100"
"219","10","10059","265","101"
"379","10","10060","270","100"
"218","10","10061","273","101"
"478","10","10062","277","100"
"415","10","10063","281","100"
"700","10","10064","284","100"
"411","10","10065","289","100"
"326","10","10066","292","100"
"763","10","10067","296","101"
"591","10","10068","300","100"
"837","10","10069","304","300"
"432","10","10070","307","100"
"379","10","10071","310","100"
"31","10","10072","314","101"
"216","10","10073","317","100"
"412","10","10074","321","100"
"183","10","10075","326","101"
"57","10","10076","330","100"
"204","10","10077","335","100"
"486","10","10078","340","100"
"858","10","10079","345","100"
"584","10","10080","349","101"
"178","10","10081","352","100"
"448","10","10082","357","100"
"793","10","10083","361","100"
"1102","10","10084","364","101"
"975","10","10085","369","100"
"1132","10","10086","374","100"
"922","10","10087","379","101"
"752","10","10088","383","100"
"457","10","10089","386","100"
"367","10","10090","391","100"
"410","10","10091","395","101"
"93","10","10092","398","100"
"425","10","10093","402","100"
"54","10","10094","407","100"
"255","10","10095","410","100"
"318","10","10096","414","100"
"535","10","10097","417","101"
"467","10","10098","422","100"
"695","10","10099","425","100"
"820","10","10100","429","100"
"676","10","10101","434","101"
"880","10","10102","439","100"
"656","10","10103","444","100"
"849","10","10104","447","400"
"1077","10","10105","452","100"
"1195","10","10106","456","100"
"1053","10","10107","461","101"
"975","10","10108","464","100"
"762","10","10109","467","300"
"1120","10","10110","471","100"
"1062","10","10111","476","101"
"815","10","10112","481","100"
"680","10","10113","484","100"
"626","10","10114","488","100"
"658","10","10115","492","100"
"804","10","10116","495","100"
"645","10","10117","500","100"
"716","10","10118","503","200"
"792","10","10119","506","100"
"891","10","10120","510","100"
"1092","10","10121","514","100"
"1181","10","10122","519","101"
"1102","10","10123","522","100"
"1042","10","10124","526","101"
"846","10","10125","529","100"
"880","10","10126","532","100"
"945","10","10127","537","101"
"892","10","10128","541","100"
"1018","10","10129","546","100"
"866","10","10130","551","101"
"630","10","10131","554","100"
"543","10","10132","558","101"
"320","10","10133","563","100"
"421","10","10134","566","100"
"483","10","10135","570","101"
"600","10","10136","575","100"
"505","10","10137","580","100"
"321","10","10138","583","100"
"268","10","10139","586","101"
"373","10","10140","590","100"
"579","10","10141","595","100"
"386","10","10142","599","400"
"511","10","10143","604","100"
"599","10","10144","608","100"
"639","10","10145","612","101"
"731","10","10146","615","100"
"689","10","10147","619","300"
"478","10","10148","624","100"
"583","10","10149","628","101"
"338","10","10150","633","100"
"142","10","10151","636","100"
"383","10","10152","640","100"
"555","10","10153","644","100"
"510","10","10154","649","101"
"751","10","10155","653","100"
"529","10","10156","656","100"
"491","10","10157","659","100"
"265","10","10158","662","100"
"440","10","10159","665","100"
"236","10","10160","670","101"
"351","10","10161","674","100"
"302","10","10162","677","101"
"150","10","10163","682","100"
"71","10","10164","686","100"
"14","10","10165","690","101"
"211","10","10166","694","100"
"127","10","10167","698","101"
"375","10","10168","702","100"
"497","10","10169","706","100"
"412","10","10170","710","200"
"638","10","10171","714","100"
"835","10","10172","719","100"
"921","10","10173","722","100"
"828","10","10174","727","101"
"882","10","10175","730","100"
"658","10","10176","735","100"
"883","10","10177","739","101"
"1105","10","10178","743","100"
"1186","10","10179","748","100"
"979","10","10180","752","100"
"780","10","10181","755","400"
"644","10","10182","760","100"
"397","10","10183","764","100"
"561","10","10184","768","100"
"530","10","10185","773","100"
"653","10","10186","778","101"
"695","10","10187","783","100"
"531","10","10188","787","100"
"653","10","10189","793","101"
"414","10","10190","799","100"
"190","10","10191","804","100"
"147","10","10192","809","101"
"334","10","10193","815","100"
"270","10","10194","820","100"
"487","10","10195","825","100"
"590","10","10196","831","101"
"637","10","10197","835","100"
"572","10","10198","840","101"
"652","10","10199","842","100"
"746","10","10200","850","100"
"255","11","11001","30","100"
"634","11","11002","34","100"
"539","11","11003","37","100"
"413","11","11004","41","101"
"748","11","11005","46","100"
"608","11","11006","51","100"
"1002","11","11007","54","100"
"802","11","11008","58","101"
"509","11","11009","62","100"
"648","11","11010","67","100"
"305","11","11011","71","100"
"15","11","11012","75","100"
"440","11","11013","78","101"
"476","11","11014","82","100"
"735","11","11015","87","100"
"955","11","11016","92","100"
"1027","11","11017","96","100"
"590","11","11018","101","100"
"249","11","11019","105","100"
"694","11","11020","108","100"
"491","11","11021","112","100"
"174","11","11022","117","100"
"218","11","11023","120","100"
"498","11","11024","125","100"
"928","11","11025","129","101"
"819","11","11026","133","100"
"1136","11","11027","137","100"
