6bb32bfebd01f206835f2ff734e7c3c6051be25723d56072ee90e0eaa15d7e9c,dd3f7e1e42ea6eb915042f01986d0b4ede12428565c7c0484695eb2684620bde,c25042a6295278a3db0a36e1b8e78c7696106755800b19a93ad3921f3be2f418,b7142cf7644ee63d6517494afd2564623c9eea52129d2b4e4ac7cb31d2f8135c,7354b01809ecfaf2eda705acec04b7a9694fdbf2bfd6caeaccd8b0fe204d3e2e
"27001","2020/02/15 15:00:00","2020/03/02 4:59:59","28","27001"
"27001","2021/02/15 23:00:00","2021/03/05 11:59:59","33","27002"
"27001","2021/08/15 15:00:00","2021/09/05 11:59:59","42","27003"
"27001","2021/12/31 12:00:00","2022/01/21 11:59:59","43","27004"
"27005","2022/02/15 15:00:00","2022/03/05 14:59:59","44","27005"
"27001","2022/08/15 15:00:00","2022/09/05 11:59:59","55","27006"
"27001","2022/12/31 12:00:00","2023/01/21 11:59:59","81","27007"
"27005","2023/02/15 15:00:00","2023/03/05 14:59:59","82","27008"
"27009","2023/04/30 12:00:00","2023/05/25 14:59:59","85","27009"
"27001","2023/08/15 15:00:00","2023/09/04 14:59:59","113","27010"
"27012","2023/12/31 12:00:00","2024/01/21 11:59:59","115","27012"
"27005","2024/02/15 00:00:00","2024/03/05 14:59:59","118","27013"
"27012","2024/04/30 12:00:00","2024/05/30 23:59:59","119","27014"
"27012","2024/08/15 15:00:00","2024/09/10 23:59:59","127","27015"
"27012","2024/12/20 5:30:00","2024/12/31 11:59:59","138","27016"
"27012","2024/12/31 12:00:00","2025/01/24 23:59:59","140","27017"
"27018","2025/02/15 15:00:00","2025/03/05 23:59:59","153","27018"
"27012","2025/02/15 15:00:00","2025/03/05 23:59:59","154","27019"
"27012","2025/04/30 12:00:00","2025/05/30 23:59:59","169","27020"
"27012","2025/08/15 15:00:00","2025/09/10 23:59:59","191","27023"
