c26323d647f5e9ae79a5a74e8bbf3a76a8190e0df58aa8aadb96ed9bb895b051,40bf329f1f32c715d7bf087b4969a5b63cb4aaa64a6a9021e0c3e71d982da94a,98cb268c9b7a2ff9503455ac26d472179320e42b09f79b7084db572fc61f5fec,91386e164953a1f80edaae1546bf7cfa35ea8e2ee5546f96eeba1b68c6c8695d,591e3d1d348b03957de930e1f38a892bfab0209410abf61946501582b96fc2ec
"1","30109001","8","91002","100"
"2","30109001","2","20002","10"
"3","30109002","8","91002","100"
"4","30109002","12","94002","40000"
"5","30109003","8","91002","300"
"6","30109004","8","91002","500"
"7","30109005","8","91002","500"
"8","30109005","12","94002","1000000"
"9","30109006","8","91002","500"
"10","30109006","12","94002","500000"
"11","30110001","8","91002","600"
"12","30110006","12","94002","200000"
