924c93884926297a83040ea043a3861f5c1f6064966022cf5136ebb98b1c38b5,57f688f26f05c4166b4756b5ae93b579a8e4923bf2df49908994ef10bf9c3cff,dce07e1d9e6afc78eb4d8017745243c98481dde93ba180c04e0df2f50fbd5540,8603afe0cc0996be320a4edd963f833504fae593064a904c7f0b4aa38d9bd4ba,a84436528b91ee50aabab8b31d442f30a3887c8a82ad70823a8ae6a8ec34c299,3e9fc10750ba8e0fa3f05405d478be7dc4c1a6a3fc8a1be1e6b0117116ffed26,40bcf54977a8c14d74cbef0f0469d8030edd687dd60a1fc1e82b6436524def0d,ca1d84ebe8fa5984048b5db559f40f721e9dcacc14b03a48a0b6216b2409eb7d,e3249f5157e3b3835cbf2ca309bc56e822796ce927b9c9d3cc288b568a287299,839284bd472e71391db69adc3114978aa30131e742206677b41e4333dc528bdd,601baa9aabd4b496223ef8540992492dda19a070ff74d5b4bd40f483286a4798,92d0cd40e17f687bffa92169a3207843cd91be05cd352d8e36cc1bd7f965ac39,3145757e8cd5fe3f1e8e508f52fddef7effabd05e0ebfdd62bc96c7101ad3fee,3c427c4a4ad1d2d9538a9a382e7048049ce7806cf0ef49c6077d455f6dbb3a89,474f1f44586bfebe07650854124f2d11f4ae01613465614d7be9213ffdb44e76,2ea9945e9099243ee373c2aabf2180e01a78b47763937848f77d6a49055e05c1,d43e5967502174c7cb741151c5913510df7cc596617efccebd1ec86b25bb7573,260d155cdbffcc39a270b2ec858d1196cdceea062ede4a43086cb5b60bcdd715
"5","2","8","0","20","150","12","150000","0","94002","2","91002","0","1","1","22003","5","20003"
"9","2","8","0","15","145","12","100000","0","94002","2","91002","0","2","6","22003","2","20003"
"19","2","8","0","11","140","12","80000","0","94002","2","91002","0","3","10","22002","5","20003"
"29","2","8","0","10","130","12","80000","0","94002","2","91002","0","4","20","22002","5","20003"
"39","2","8","0","9","120","12","70000","0","94002","2","91002","0","5","30","22002","4","20003"
"49","2","8","0","8","110","12","70000","0","94002","2","91002","0","6","40","22002","4","20003"
"99","2","8","0","7","100","12","60000","0","94002","2","91002","0","7","50","22002","3","20003"
"499","2","8","0","2","80","12","40000","0","94002","2","91002","0","8","100","22002","2","20003"
"999","2","8","0","7","50","12","20000","0","94002","2","91002","0","9","500","22002","1","20002"
"4999","2","8","0","4","20","12","16000","0","94002","2","91002","0","10","1000","22001","3","20002"
"9999","2","8","0","3","15","12","9000","0","94002","2","91002","0","11","5000","22001","2","20002"
"11999","2","8","0","8","10","12","4000","0","94002","2","91002","0","12","10000","22001","1","20001"
"13999","2","8","0","7","5","12","3000","0","94002","2","91002","0","13","12000","22001","1","20001"
"14999","2","8","0","6","4","12","2000","0","94002","2","91002","0","14","14000","22001","1","20001"
"30000","2","8","0","5","3","12","1800","0","94002","2","91002","0","15","15000","22001","1","20001"
