37ec4f2d3271954bb154ac94e8c7e4c68542841485c31f023b060d2fea11283c,a605944f6f12f06b5a9fd4752875e159554e9daabd21556d3ae58462143ad9ff,d42002d0843b6cde682e3bcf35634e6ba6511650e004763bb099570a1e5aea37,ab60fd052f9f20d69d581f0189880fbab6461c678ab2c1265a6312c0f923b664
"301","201","100101","107"
"305","203","100201","110"
"301","202","100301","101"
"303","201","100401","107"
"302","202","100501","108"
"305","204","100601","110"
"302","201","100701","108"
"305","203","100801","110"
"304","204","100901","109"
"305","203","101001","110"
"301","201","101101","106"
"304","204","101201","109"
"304","204","101301","109"
"305","203","101401","109"
"305","203","101501","110"
"301","201","101601","106"
"301","201","101701","107"
"305","204","101801","109"
"301","201","102001","102"
"302","201","102101","105"
"304","204","102201","109"
"303","201","102301","105"
"305","203","102501","110"
"303","201","102601","104"
"301","201","102701","105"
"301","201","102801","101"
"302","202","102901","108"
"301","201","103001","102"
"303","201","103101","102"
"301","202","103201","102"
"303","202","103301","104"
"303","201","103401","102"
"304","204","103601","109"
"301","201","103701","101"
"301","201","103801","106"
"303","201","104001","106"
"305","203","104201","110"
"301","202","104301","102"
"304","204","104401","109"
"302","203","104501","108"
"301","201","104601","103"
"302","202","104701","108"
"301","202","104801","104"
"303","202","104901","102"
"304","204","105001","109"
"303","201","105101","102"
"302","202","105201","108"
"303","201","105301","101"
"303","201","105401","107"
"303","201","105501","104"
"302","201","105601","108"
"301","201","105701","101"
"302","202","105801","102"
"303","201","105901","104"
"304","204","106001","109"
"301","201","106101","103"
"301","201","106301","106"
"301","201","106401","101"
"301","201","106501","107"
"303","202","106601","105"
"305","204","106701","109"
"301","202","106801","101"
"301","201","106901","101"
"304","204","107001","109"
"301","202","107101","101"
"301","202","107501","102"
"303","201","107601","104"
"305","203","107701","110"
"304","204","107801","109"
"301","201","107901","103"
"301","202","108001","104"
"303","201","108101","105"
"303","201","108201","107"
"304","204","108301","109"
"305","203","108401","110"
"302","201","108501","105"
"303","201","108601","105"
"301","201","108701","107"
"305","203","108801","110"
"302","201","108901","108"
"301","201","109001","105"
"303","202","109101","102"
"304","204","109201","110"
"304","204","109301","110"
"304","204","109401","110"
"302","203","109501","108"
"301","201","109601","103"
"303","201","109701","105"
"305","203","109801","110"
"304","203","109901","109"
"301","201","110001","106"
"305","204","110101","110"
"304","204","110201","109"
"301","201","110301","101"
"301","202","110401","102"
"301","201","110501","107"
"305","203","110601","110"
"303","201","110701","106"
"301","201","110801","103"
"301","201","110901","107"
"305","203","111001","110"
"304","204","111101","109"
"303","201","111201","107"
"301","201","111301","102"
"304","204","111401","109"
"301","202","111501","101"
"302","202","111601","108"
"304","204","111701","109"
"302","202","111801","102"
"303","201","111901","104"
"304","204","112001","109"
"305","203","112101","110"
"305","203","112201","109"
"301","201","112301","106"
"301","201","112401","101"
"302","202","112501","101"
"304","204","112601","109"
"303","201","112701","104"
"303","202","112801","104"
"301","201","112901","106"
"303","201","113001","104"
"301","202","113101","101"
"304","204","113201","109"
"304","204","113301","109"
"304","204","113401","109"
"305","203","113501","110"
"301","202","113601","102"
"305","204","113701","110"
"304","204","113801","109"
"303","201","113901","103"
"301","202","114001","101"
