1afeab9c1c6527f58daad2bfe01063c34fafe2e265be6a7ea491986ecea2b950,07e73039f17e52f5eb35ffdcef5010fdf615fa1202a1869e8e1f20f173431b8e,3d3d3d89db28365f3845e7948671bcd71eb5a66ab6cb92f787a113aeb932401a,4ba1ee42695016ac033c5e51acfca109cfccd15d4078688309d794de7311c7db,21223377dd0396c88dae2aad033049b52c6ec107216e54cd7622e25311da8fbb,2dbe07a0ade38239361a6c242c09e8240d08ea68c4394280c3fbf618927c7280,d8a06910087a5644567f493a4f6ba11fb424fbab157e97df9869f7290212bd8b
"","0","10008111","1","0","1","10008101"
"","0","10008115","2","0","1","10008112"
"","0","10008103","3","0","3","10008101"
"","0","10008115","4","0","3","10008105"
"","0","150","5","0","4","10008112"
"","0","10028111","6","0","1","10028101"
"","0","10028115","7","0","1","10028112"
"","0","10028103","8","0","3","10028101"
"","0","10028115","9","0","3","10028105"
"","0","150","10","0","4","10028112"
"","0","20012104","11","20012107","11","20012104"
"","0","20012108","12","20012109","11","20012108"
"","0","20012110","13","20012114","11","20012110"
"","0","20012115","14","20012115","11","20012115"
"","0","120","15","0","4","20012110"
"","0","20008111","16","0","1","20008101"
"","0","20008115","17","0","1","20008112"
"","0","20008103","18","0","3","20008101"
"","0","20008115","19","0","3","20008105"
"","0","150","20","0","4","20008112"
