1546f3ec2fd94cc34cd0f8f82d88a9996782cbceb06b578323a509c950369ab3,15b94765b6d92e9f7ebbd4dd10c13bcf0c71de300a60e089602d47af02e2b2b0,a2469ad41281594eb738c383400e744e5c04fe02d086bcb4e60c8e4f7ba8a89b,b5aa8eebf460b57a1c46d652c5a0c5e5c7abf4e991550c47987e7c22951ac0de,4de33dc74d34789a341453cf9e3be0d73913488940a6174b5ee071600ba2be63
"ひよっこ","0","26999","1","1"
"未熟者","0","26999","2","1"
"稚魚","0","26999","3","1"
"ビギナーランナー","0","26999","4","3"
"赤ちゃん","0","26999","5","1"
"ベイビー","0","26999","6","1"
"小物","0","26999","7","1"
"へっぽこ","0","26999","8","1"
"素人","0","26999","9","1"
"小魚","27000","33999","10","1"
"初心者","27000","33999","11","1"
"エンジョイランナー","27000","33999","12","3"
"若輩者","27000","33999","13","1"
"ルーキー","27000","33999","14","1"
"ガール","27000","33999","15","1"
"注目株","27000","33999","16","1"
"原石","27000","33999","17","1"
"ニューホープ","27000","33999","18","2"
"探究者","34000","50399","19","1"
"暴れん坊","34000","50399","20","1"
"申し子","34000","50399","21","1"
"奇才","34000","50399","22","1"
"大物","34000","50399","23","1"
"麒麟児","34000","50399","24","1"
"ホープ","34000","50399","25","1"
"新星","34000","50399","26","1"
"逸材","34000","50399","27","1"
"マーメイド","50400","59999","28","1"
"先輩","50400","59999","29","1"
"中級者","50400","59999","30","1"
"ビーチフラッガー","50400","59999","31","3"
"魚","50400","59999","32","1"
"チーフ","50400","59999","33","1"
"キャプテン","50400","59999","34","1"
"一人前","50400","59999","35","1"
"セミプロ","50400","59999","36","1"
"大型新人","50400","59999","37","1"
"流れ星","60000","69999","38","1"
"先生","60000","69999","39","1"
"ドルフィン","60000","69999","40","1"
"職人","60000","69999","41","1"
"レーサー","60000","69999","42","1"
"トゥンヌス","60000","69999","43","1"
"中の中","60000","69999","44","1"
"ビッグネーム","60000","69999","45","2"
"異才","60000","69999","46","1"
"エリート","60000","69999","47","1"
"仕事人","60000","69999","48","1"
"玄人","60000","69999","49","1"
"オルカ","70000","83999","50","1"
"名人","70000","83999","51","1"
"魔術師","70000","83999","52","1"
"師匠","70000","83999","53","1"
"サブマリン","70000","83999","54","1"
"スプリンター","70000","83999","55","2"
"名手","70000","83999","56","1"
"エースランナー","70000","83999","57","2"
"プロ","70000","83999","58","1"
"看板選手","70000","83999","59","1"
"第一人者","70000","83999","60","1"
"ドン","70000","83999","61","1"
"スピードスター","84000","99999","62","2"
"豪傑","84000","99999","63","1"
"プリンセス","84000","99999","64","1"
"女神","84000","99999","65","1"
"マスター","84000","99999","66","1"
"ナンバーワン","84000","99999","67","2"
"寵児","84000","99999","68","1"
"ワイルドグリフォン","84000","99999","69","3"
"ワイバーン","84000","99999","70","1"
"エキスパート","84000","99999","71","2"
"トップランナー","84000","99999","72","2"
"韋駄天","100000","119999","73","1"
"クイーン","100000","119999","74","1"
"チャンピオン","100000","119999","75","2"
"天才ランナー","100000","119999","76","2"
"レコードホルダー","100000","119999","77","3"
"極致","100000","119999","78","1"
"ネプテリオン","100000","119999","79","2"
"シードレイク","100000","119999","80","2"
"女傑","100000","119999","81","1"
"革命家","100000","119999","82","1"
"ビッグスター","100000","119999","83","2"
"ファンタジスタ","120000","999999","84","2"
"スーパースター","120000","999999","85","2"
"ワールドチャンプ","120000","999999","86","3"
"レジェンド","120000","999999","87","1"
"超人","120000","999999","88","1"
"トルペドン","120000","999999","89","1"
"カルキノス","120000","999999","90","1"
"アクアリオス","120000","999999","91","2"
"至宝","120000","999999","92","1"
"グランドマスター","120000","999999","93","3"
"英雄","120000","999999","94","1"
"天下取り","120000","999999","95","1"
