f18781ab645781b1305f80078dd887d39a73be4fb8e37d649b889e4bb9a5b93c,b42e1db940b373736b292e427a288391c2daa803eee669f4dec24da7701c6f0a,fd12f74f645ff68383d0c62fc72cfafb75fc218eaa8d31a0c2c56fd93405c06f,778e2cdde5b94ad43ca78207dabcd7d2c156f1853e9b250d852b5e6acfc6a60e,90561dcbe549675eaa86fb173345044d230871c281d5232d94ca1194b60bf177,1c090df77e3a0e0ba6f11a7cc0388f255c25cce6faad0362f7083a31aa5eddeb,16c2926e866801b16ff62ea9f9d2592b4d8e895afa5be02b33e905f34cf32501,be8e0061bdbb8685c367b9a8b83c5273ac44cded50cea284c4607f47982985fa,26e4a9d6fc3a47a798a7808d2c8eeaa9e158776040e6b075019f9bb6061bc65f
"22","1","15","53002","1","20","15","7","10701"
"22","2","14","53002","1","22","14","7","10702"
"22","3","13","53002","2","24","13","7","10703"
"22","4","12","53002","2","26","12","7","10704"
"22","5","11","53002","3","28","11","7","10705"
"22","6","10","53002","3","30","10","7","10706"
"22","7","9","53002","4","32","9","7","10707"
"22","8","8","53002","4","34","8","7","10708"
"22","9","7","53002","5","36","0","7","10709"
"22","1","15","53002","1","20","15","8","10801"
"22","2","14","53002","1","22","14","8","10802"
"22","3","13","53002","2","24","13","8","10803"
"22","4","12","53002","2","26","12","8","10804"
"22","5","11","53002","3","28","11","8","10805"
"22","6","10","53002","3","30","10","8","10806"
"22","7","9","53002","4","32","9","8","10807"
"22","8","8","53002","4","34","8","8","10808"
"22","9","7","53002","5","36","0","8","10809"
