e049f4ed67d63814444096b7e07abc97a1a29b73fcce152ccea6b0b8160e900e,8972afb8199589dae6ea1fd3b2deb100ba52f7bee01934fbeb4ae50e9017f363,9a4ba1e305caee9045b577f80d0e2389eff7b8d748f890c0e1ec144194baf197,bb2ff65456fe2757b2eb2bb2c6139f655b318c0781ef56f1d76303f8ab0f49d7,8c0f67bc83450cacb6630f045834588bfed0448289ccb1335e8fecec0c5ab1b2,f09c9cf9ce074de28aa9fdd5a1c15d086f26db2a1e6640884e6fefcd8a1e5809,b65a9e7e74c5771b8a99b0a0994de2e782bc56596343e18f85ba53af4231d680,529f5289d50e132a1e79dd61f17ccbafdc4e929b725533843b958f547e9fe916,223d5569d739d6e35ac9cd0dd7169f3344a79778ee17cda668a700ecc28557f8,f4f344cd2b22838f5adcf626063d8294181c0bf9902100929131ac79767d8d17,21312bef29b7131e14edab66683608465688036f89c0d89f85938e768ef37135,a186ca8d885ce9b88aa06d586b30e2510b4fef2072cbe12162369b3a1c10dead
"カリン","0","","1","1","1","0","0","190804","60000","新年を迎え、新たに始まる一日を\nおみくじで占ってみませんか？\n良い運勢であるほど、\n沢山のプレゼントが貰えますよ♪","1"
"","0","","2","0","1","1","0","0","60000","今日の運勢は姫吉！　あらゆる運気が最大を示しています！　　　今なら「伝説の吸血鬼」をも従え、世界征服も夢じゃありません！","2"
"","0","","2","0","1","1","0","0","60000","今日の運勢は姫吉！　やること全てが最高潮！　やばいですね☆　ラッキーアイテムはおにぎり！　お腹一杯で幸せが続くでしょう！","3"
"","0","","2","0","2","1","0","0","60000","今日の運勢は姫吉！　その高い運気はまさにショーグンの如く！　その溢れる威光は人々を惹きつけ、皆の人気者間違いなしです！","4"
"","0","","2","0","1","2","0","0","60000","今日の運勢は大吉！　運気がどんどん高まっています！　　　　　何をやっても、最大効率で素晴らしい結果になりますよ♪","5"
"","0","","2","0","1","2","0","0","60000","今日の運勢は大吉！　なにをやっても上手くいって大活躍！　　　そんな素敵なあなたを見て、後ろから誰かが……クスクス♪","6"
"","0","","2","0","2","2","0","0","60000","今日の運勢は大吉！　運気が高く、何かに挑戦すると良い結果に！隠れた才能が引き出されそう！　目指せヒデサ……ではなく秀才！","7"
"","0","","2","0","1","3","0","0","60000","今日の運勢は中吉！　商売運が上がってきています！　　　　　　ラッキーアイテムはたいやき！　和菓子パワーで売上アップです！","8"
"","0","","2","0","1","3","0","0","60000","今日の運勢は中吉！　旅行運がぐんぐんと上昇中♪　　　　　　　もしかしたら、あの「マホマホ王国」にだって行けるかも♪","9"
"","0","","2","0","1","3","0","0","60000","今日の運勢は中吉！　仕事運が急上昇中です！　　　　　　　　　きっと「煉獄に舞う一陣の疾風」の如き活躍ができますよ！","10"
"","0","","2","0","1","3","0","0","60000","今日の運勢は中吉！　チャンスを待つと良い結果に！　　　　　　ラッキーアイテムのプリンを食べて、運を呼び込みましょう！","11"
