f5e6b209c43c67b6b45f4e49b9500c42fb69aeb7e03519574d5aa7d7afa6eed5,7a19db8afad87a0e4cc107e42b697629142cee76b29bb9a43e46c23c3b9bc676,96f5875a6336f223cc248d28454f36f5efdf8fbe7f6818b835d9de39e133491a,100968a720be9ed38d52d978871b1ad00dd15d24732a71bd58615f05e2400c26,cd13bde8a9cfe39fd6e61053c539a585c8174ebad74f911692963ed328fcc707,5045484b10b17bae432486e2ed6d78fce7f31ea4c12ad34590ce53862ee83d45,57350195adc3f3e215fb89d3908bfdd23f3e1d3cca520feb851f51fbdf79d895,55123b125372bd7c7c80cb42f4dd438481ac582886d186e16281d242fa2bb1b1,99c02525eb4e62cf8d39da81ca6470d553af57fe7d270cf158905af944e43dcc,fff09555d4f9893522104f3327c0693e08139aa80895af7a257a929265858018
"1010001","vo_10011600_0101","0","0","","vo_10011600","1","2","0","1"
"1010002","0","0","0","　明日から","0","2","1","8","1"
"1010003","0","1","1.625","","0","3","4","0","1"
"1010004","0","0","0","聖テレサ女学院に通うことになっちゃった！","0","4","1","10","1"
"1010005","0","1","4","","0","5","4","0","1"
"1010006","vo_10011600_0102","0","0","","vo_10011600","6","2","0","1"
"1010007","0","0","0","　なんで、","0","7","1","8","1"
"1010008","0","1","1.375","","0","8","4","0","1"
"1010009","0","0","0","どうしてこんなことになっちゃったんだろう。\n","0","9","1","9","1"
"1010010","0","1","3.33333333333333","","0","10","4","0","1"
"1010011","vo_10011600_0103","0","0","","vo_10011600","11","2","0","1"
"1010012","0","0","0","ミサト先生は","0","12","1","8","1"
"1010013","0","1","1.75","","0","13","4","0","1"
"1010014","0","0","0","私ならきっとやれると言ってくれたけど……","0","14","1","10","1"
"1010015","0","1","3","","0","15","4","0","1"
"1010016","0","0","0","絶対ムリだー！\n","0","16","1","8","1"
"1010017","0","1","3.875","","0","17","4","0","1"
"1010018","vo_10011600_0104","0","0","","vo_10011600","18","2","0","1"
"1010019","0","0","0","でも。","0","19","1","8","1"
