f447ddecaab1b2ca6459e750f94909bf80bde7d7616144ae770c927e3000fc54,68a9380e9427ae76064c0d81f6f08803d53539847f967849848272049fb23c3d,4f4b027528005eb32f6b0b87eae90a3b86f91fbd584f4164b270fa107b70e7a4,229e77df2f638ded7710c810ca032c24c9f9830e0646f8c49c239f86e1efb79d,4d51f6f4fd9e53a93b382f04496715faa60cad8a818c15b0b5fb3a98e04764d3,c22d1eda1c479158f7bf3b5f5fceacd037eefc66139bf5f772d27c25e67877a3,6d92c67d79f41da514da9c3b78ae6346e8228b03707c8b058fb14df3fc16aacc
"0","10201101","2025/01/31 12:00:00","1","10201101","10201","5201401"
"0","10201151","2025/02/06 12:00:00","1","10201102","10201","5201402"
"5201010","23","2025/01/31 12:00:00","2","10201201","10201","5201411"
"0","0","2025/02/06 12:00:00","3","10201401","10201","5201601"
"0","10202101","2025/02/28 12:00:00","1","10202101","10202","5202401"
"0","23","2025/02/28 12:00:00","2","10202201","10202","5202411"
"0","10203101","2025/03/31 12:00:00","1","10203101","10203","5203401"
"5203007","23","2025/03/31 12:00:00","2","10203201","10203","5203411"
"0","10204101","2025/04/30 12:00:00","1","10204101","10204","5204401"
"5204006","23","2025/04/30 12:00:00","2","10204201","10204","5204411"
"0","10205101","2025/05/31 12:00:00","1","10205101","10205","5205401"
"0","23","2025/05/31 12:00:00","2","10205201","10205","5205411"
"0","10206101","2025/06/30 12:00:00","1","10206101","10206","5206401"
"5206007","23","2025/06/30 12:00:00","2","10206201","10206","5206411"
"0","10207101","2025/07/31 12:00:00","1","10207101","10207","5207401"
"5207007","23","2025/07/31 12:00:00","2","10207201","10207","5207411"
"0","10208101","2025/08/31 12:00:00","1","10208101","10208","5208401"
"5208007","23","2025/08/31 12:00:00","2","10208201","10208","5208411"
"0","10209101","2025/09/30 12:00:00","1","10209101","10209","5209401"
"5209007","23","2025/09/30 12:00:00","2","10209201","10209","5209411"
"0","10210101","2025/10/31 12:00:00","1","10210101","10210","5210401"
"5210000","23","2025/10/31 12:00:00","2","10210201","10210","5210411"
