8e91a92ab26a949add5d9ba404b8cc8093aa14e9bb46cb83b5e5daaa346a37a8,32734d2a8570cc01d7f83f4927e8fb1870dc0b8306e90a28ed89dfda45d8af89,9b05103ea3997aff618cd7d05e88993dfe0c90833d5e4a34137582fb3df241b0,25fd7e34c4b457e686f25059b254fefce328593b6189169b972724cfd6fcbefe,0d798763134e23f57485267c81e3246d9160083c8e717bfb5f5f8b0d0fe965ee,0dbe8e7a0a599660eb80c2e4009d0e0fe29f69b9542c143bcd4b8573c145e067,26f15eed5e9b0e6bacea97337e098159f3530f3b1e745f9c1f642a2cd6e4c4bb,b750546c81ccc2802020550091ff0af8328121e4ce9089d4d62c5928acc681b3,21214dd6bfc1dd86a3d3fde4e5f1232a0c49c863789090eb9c49f394d7987cae,8fa73c989ba57ebf1b21b698b4a8bde79aefdec7bd9aa1a76d30f4e50232bf0f,644c1f8712ac1945b1399f8e98260b2b4a21d18f0fbdde206e2874ea4911d25f,69b3315eaafa7d17835385102e0e76d41a1b28f9c986d28121f83f7880bb35a5
"バトル開始時、味方のＴＰが250アップ","3001","TP250アップ","3","2","0","1","0","-1","0","3001","3001"
"バトル開始時、味方のＴＰが250アップ","3002","TP250アップ","3","2","0","1","0","-1","0","3002","3002"
"バトル開始時、味方のＴＰが250アップ","3003","TP250アップ","3","2","0","1","0","-1","0","3003","3003"
"バトル開始時、味方のＴＰが250アップ","3004","TP250アップ","3","2","0","1","0","-1","0","3004","3004"
"バトル開始時、味方のＴＰが1000アップ","3006","TP1000アップ","3","2","0","3","0","-1","0","3006","3006"
"バトル開始時、味方のＴＰが1000アップ","3007","TP1000アップ","3","2","0","3","0","-1","0","3007","3007"
"バトル開始から90秒間、味方の物理攻撃力がアップ","30011","物理攻撃アップ90秒","3","3","13125000000000","1","0","25200","9006503","3001","30011"
"バトル開始から90秒間、敵の物理防御力がダウン","30012","物理防御ダウン90秒","3","3","9000000000000","1","0","72000","9006504","3001","30012"
"バトル開始から90秒間、味方のＨＰが毎秒回復","30021","毎秒ＨＰ回復90秒","3","3","9000000000000","1","0","39600","9006506","3002","30021"
"バトル開始から90秒間、味方のＴＰが毎秒アップ","30022","毎秒ＴＰアップ90秒","3","3","4500000000000","1","0","72000","9006507","3002","30022"
