0a965c043e984ab8280e26934ec72598a0c43107f6840a4c5be192d1b2c06c89,8e79a8e0e59e4ca6b29cc040c98b4b8868c10e9567495f541b0116359b7350e2,e4e8e5c584c0fa950b0eb43417a47c046876412763f81f90a95bb543e24ce802,a6c45bb426bf8ac30ef0bce35dc51cd9bf7ca32f4a000f285bf5e76891bb7f9a,eec829b8e9d43ff2229f60c6fe9847875f0f53e8f14639126f02d40181c140de,88bdb9e10a4e0de2480bf0e94644460348a0bf1abbcd2dd796b8976d3d624506,cf7fff6e6c17bbbc4d21e9752f3da02abc93962a73469bcea880f3e947057196,8ccdaca0897a888e5fe7062dae5fe0752ed9004c4f51505031a8f1ec188e8411,af8e492b068bc712544356a4d680194f27684eaf8df358144a6326b4f68112a0,90d34d6fa94c14afc7ce3f6cbba2a2d06f8af1024587a685240b2b8b418b89f3,c03a5c50817d498c3afde359e1a0fca4c8a0eff4a191f778273b66cb1b31cf6f,6af24833ea74f88e2faf4b47e731f2e8bdeaf20add52bd9c6fb24cec4e7fab86
"0","0","1010001","1","0","1","4","0","3","0","1","0"
"0","0","1010002","1","0","2","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_000"
"202","0","1010003","1","1.418","3","1","1","0","0","0","0"
"0","0","1010004","1","0","4","4","0","1","0","1.858","0"
"316","0","1010005","1","2.536","5","1","2","0","0","0","0"
"0","0","1010006","1","0","6","4","0","1","0","3.484","0"
"0","0","1010007","1","0","7","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_001"
"121","0","1010008","1","1.131","8","1","3","0","0","0","0"
"0","0","1010009","1","0","9","4","0","1","0","1.407","0"
"276","121","1010010","1","1.043","10","1","3","0","0","0","0"
"0","0","1010011","1","0","11","4","0","1","0","1.719","0"
"389","276","1010012","1","0.69","12","1","3","0","0","0","0"
"0","0","1010013","1","0","13","4","0","1","0","0.69","0"
"224","0","1010014","1","1.694","14","1","4","0","0","0","0"
"0","0","1010015","1","0","15","4","0","1","0","2.204","0"
"384","224","1010016","1","1.298","16","1","4","0","0","0","0"
"0","0","1010017","1","0","17","4","0","1","0","1.298","0"
"131","0","1010018","1","1.118","18","1","5","0","0","0","0"
"0","0","1010019","1","0","19","4","0","1","0","1.199","0"
"244","131","1010020","1","0.958","20","1","5","0","0","0","0"
"0","0","1010021","1","0","21","4","0","1","0","1.269","0"
"394","244","1010022","1","1.373","22","1","5","0","0","0","0"
"0","0","1010023","1","0","23","4","0","1","0","1.373","0"
"25","0","1010024","1","0.193","24","1","6","0","0","0","0"
"0","0","1010025","1","0","25","4","0","1","0","0.552","0"
"368","25","1010026","1","2.64","26","1","6","0","0","0","0"
"0","0","1010027","1","0","27","4","0","1","0","3.195","0"
"65","0","1010028","1","0.599","28","1","7","0","0","0","0"
"0","0","1010029","1","0","29","4","0","1","0","0.929","0"
"252","65","1010030","1","1.302","30","1","7","0","0","0","0"
"0","0","1010031","1","0","31","4","0","1","0","2.395","0"
"0","0","1010032","1","0","32","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_002"
"271","0","1010033","1","2.09","33","1","8","0","0","0","0"
"0","0","1010034","1","0","34","4","0","1","0","2.512","0"
"400","271","1010035","1","0.868","35","1","8","0","0","0","0"
"0","0","1010036","1","0","36","4","0","1","0","0.907","0"
"315","0","1010037","1","2.214","37","1","9","0","0","0","0"
"0","0","1010038","1","0","38","4","0","1","0","2.562","0"
"242","0","1010039","1","1.65","39","1","10","0","0","0","0"
"0","0","1010040","1","0","40","4","0","1","0","2.654","0"
"0","0","1010041","1","0","41","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_003"
"345","242","1010042","1","0.685","42","1","10","0","0","0","0"
"0","0","1010043","1","0","43","4","0","1","0","1.036","0"
"397","345","1010044","1","0.378","44","1","10","0","0","0","0"
"0","0","1010045","1","0","45","4","0","1","0","0.378","0"
"377","0","1010046","1","2.438","46","1","11","0","0","0","0"
"0","0","1010047","1","0","47","4","0","1","0","3.395","0"
"0","0","1010048","1","0","48","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki01_004"
"83","0","1010049","1","0.642","49","1","12","0","0","0","0"
"0","0","1010050","1","0","50","4","0","1","0","1.061","0"
"159","83","1010051","1","0.539","51","1","12","0","0","0","0"
"0","0","1010052","1","0","52","4","0","1","0","0.877","0"
"316","159","1010053","1","1.135","53","1","12","0","0","0","0"
"0","0","1010054","1","0","54","4","0","1","0","2.635","0"
"0","0","1020001","2","0","1","4","0","3","0","1","0"
"0","0","1020002","2","0","2","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_000"
"345","0","1020003","2","2.91","3","1","1","0","0","0","0"
"0","0","1020004","2","0","4","4","0","1","0","3.814","0"
"0","0","1020005","2","0","5","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_001"
"239","0","1020006","2","1.67","6","1","2","0","0","0","0"
"0","0","1020007","2","0","7","4","0","1","0","2.19","0"
"314","0","1020008","2","2.455","8","1","3","0","0","0","0"
"0","0","1020009","2","0","9","4","0","1","0","3.527","0"
"0","0","1020010","2","0","10","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_002"
"70","0","1020011","2","0.454","11","1","4","0","0","0","0"
"0","0","1020012","2","0","12","4","0","1","0","0.874","0"
"392","70","1020013","2","2.154","13","1","4","0","0","0","0"
"0","0","1020014","2","0","14","4","0","1","0","3.373","0"
"0","0","1020015","2","0","15","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_003"
"125","0","1020016","2","0.895","16","1","5","0","0","0","0"
"0","0","1020017","2","0","17","4","0","1","0","1.311","0"
"265","125","1020018","2","1.114","18","1","5","0","0","0","0"
"0","0","1020019","2","0","19","4","0","1","0","1.181","0"
"340","265","1020020","2","0.497","20","1","5","0","0","0","0"
"0","0","1020021","2","0","21","4","0","1","0","0.497","0"
"189","0","1020022","2","1.37","22","1","6","0","0","0","0"
"0","0","1020023","2","0","23","4","0","1","0","2.407","0"
"0","0","1020024","2","0","24","2","0","0","vo_minigame_1005","0","vo_minigame_1005_nikki02_004"
"195","0","1020025","2","1.616","25","1","7","0","0","0","0"
"0","0","1020026","2","0","26","4","0","1","0","2.035","0"
"295","195","1020027","2","0.951","27","1","7","0","0","0","0"
"0","0","1020028","2","0","28","4","0","1","0","1.322","0"
"258","0","1020029","2","1.924","29","1","8","0","0","0","0"
