3da52abc08dba0f24187cfb8e3fb256654b854c1d2780574a036d56eb3834737,11c59fae401b3902019d603877331a6c730052461ec5b611f6bbca4eb1028114,70dcd2a9ad4a3433ed3536e54ace838a2428f20a76079f1a23a4660cae8b4a73,e0b779946dd2364d510fcce0b517e1d4704ed29b453d2657c7dc7aa344322a28,d60de52074cdd863553f2e2862e6ec2e75940ded7aff2e5a14d38abb74ce7a3b
"101","red","#D23232","90009","片手剣"
"102","red","#D23232","90009","両手剣"
"103","red","#D23232","90009","短剣"
"104","red","#D23232","90009","槍"
"105","red","#D23232","90009","斧"
"106","red","#D23232","90009","弓"
"107","red","#D23232","90009","拳"
"108","red","#D23232","90009","盾"
"109","red","#D23232","90009","杖"
"110","red","#D23232","90009","本"
"201","blue","#476FD8","90010","服"
"202","blue","#476FD8","90010","鎧"
"203","blue","#476FD8","90010","白ローブ"
"204","blue","#476FD8","90010","黒ローブ"
"301","yellow","#E5681E","90011","指輪"
"302","yellow","#E5681E","90011","腕輪"
"303","yellow","#E5681E","90011","ネックレス"
"304","yellow","#E5681E","90011","宝珠"
"305","yellow","#E5681E","90011","イヤリング"
