a4de29c506139b729c3489668744261e290b6ef99415898e8ccc44a8d63866c0,dda5fc8250b1d2ce55efea2997ba9ae440b200b714539480ca2037a04a98135c,1b2229820824a0e471cfb20d09d452f61a3cb3cde0b5b813c0719ec3a607ad9a,5e57f3e1df8ae3a009867d649b234bbd5f0b8267b8e464de6c3a6eaab5a258fc,cd664f06d49817aab46b11d2e37b4e12c8113d42b8e786f66571fe164bb6197c
"10101","12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","1"
"10102","13","水属性ボーナスアップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","1"
"10103","damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","1"
"10104","def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","1"
"10201","12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","2"
"10202","13","水属性ボーナスアップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","2"
"10203","damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","2"
"10204","def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","2"
"10205","damage_cut","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","2"
"10206","damage_up","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","2"
"10207","def_up","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","2"
"10301","12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","3"
"10302","13","水属性ボーナスアップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","3"
"10303","damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","3"
"10304","def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","3"
"10305","damage_cut","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","3"
"10306","damage_up","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","3"
"10307","def_up","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","3"
"10308","life_steal_down","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","3"
"10309","tp_down_cut","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","3"
"10310","hp_recovery_down","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","3"
"10401","12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","4"
"10402","13","水属性ボーナスアップ","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と水属性以外の属性ボーナスを無効化する。","4"
"10403","damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","4"
"10404","def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","4"
"10405","damage_cut","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","4"
"10406","damage_up","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","4"
"10407","def_up","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","4"
"10408","critical_down","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","4"
"10409","life_steal_down","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","4"
"10410","tp_down_cut","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","4"
"10411","hp_recovery_down","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","4"
