55aa504031f57a5044937c35080c92cd55a2c5d2f21475174724974637315f4e,afcc57d075530dfda3ae669885e440323437ad53382acf961dbe7b5dbe4150c3,d0b14c85e203dbd3b9af54619c799b9c4d51fff182b1a25df440bf439c8d09d4,bc1f1fdc409bf5ecee86ba04d2354fc0249525c261e48cff9bf204e3d47eefab,28e53b3c602db475d9b0b761db345f28feaf6977d66d218db4cd71712a4fdc12,e269620eb8429d4cf304b5785915742caedc342daee6ea2ce8957cae2891f2de,6d04f6058f9a1d0e92555c3e3bf0b35e5de700e850eb286d8734993a28445936,8ce4f42ea77998eef2556ab0e14706dace33714160b14b485526ac22c1a466bd,15e7694ce890c5cb0717564d864f5d7c4b36c660487a04bfd33dcad4700b6350,93591fb40e9dbe61e3137922091cb966c1f5a74cd873aea264f8da2de053c66c,f69deae76b0644fdb4b39722b861c7d38678d1c8d1f30a261b12e6bdaceb7a2e
"-750","2","100","113511","2.08","5","0","1007001","1007001001","-300","svd_idle_normal"
"750","1","100","113411","2.08","5","1","1007001","1007001002","-300","svd_idle_normal"
"0","3","0","333","1","5","0","1007001","1007001003","0","svd_white_loop"
"1","333","1","1","0","6","0","1007001","1007001004","0",""
"0","113511","0","2","","7","","1007001","1007001005","",""
"0.5","113511","-300","-750","","2","","1007001","1007001006","0",""
"1","113411","1","1","0","6","0","1007001","1007001007","0",""
"-40","1","-140","11","0","31","","1007001","1007001008","0.8",""
"0","11","0","2","","34","","1007001","1007001009","",""
"0","113411","0","6","","7","","1007001","1007001010","",""
"0.5","113411","-300","750","","2","","1007001","1007001011","0",""
"-40","4","-250","14","0","31","","1007001","1007001012","1",""
"-40","5","250","15","0","31","","1007001","1007001013","1",""
"","1","","","","93","","1007001","1007001014","",""
"1","333","1","1","0.8","6","0","1007001","1007001015","0.4",""
"svd_idle_see","113511","0","svd_idle_see_pre","0.2","3","0","1007001","1007001016","1",""
"1.1","113411","-300","640","","2","","1007001","1007001017","0",""
"1.1","113511","-300","-600","","2","","1007001","1007001018","0",""
"","1","","","","93","","1007001","1007001019","",""
"","11","","1","","32","","1007001","1007001020","",""
"","0","","","","91","","1007001","1007001021","",""
"0","113511","260","240","","94","","1007001","1007001022","80",""
"","11","","0","","32","","1007001","1007001023","",""
"","113511","1","svd_run","0.2","3","","1007001","1007001024","",""
"0","113511","1.2","0","","7","","1007001","1007001025","",""
"1.2","113511","-300","-250","","2","","1007001","1007001026","0",""
"","113411","1","svd_run","0.2","3","","1007001","1007001027","",""
"0","113411","1.2","0","","7","","1007001","1007001028","",""
"1.2","113411","-300","250","","2","","1007001","1007001029","0",""
"1","113411","1","1","0.2","6","0","1007001","1007001030","1",""
"","1.2","","","","93","","1007001","1007001031","",""
"","0","","","","91","","1007001","1007001032","",""
"","113511","0","svd_kime_eriko","0.2","3","","1007001","1007001033","",""
"","113411","0","svd_kime_shizuru","0.2","3","","1007001","1007001034","",""
"","1.4","","","","93","","1007001","1007001035","",""
"","14","","1","","32","","1007001","1007001036","",""
"","15","","1","","32","","1007001","1007001037","",""
"","0.6","","","","93","","1007001","1007001038","",""
"","113411","1","svd_idle_joy1","0.2","3","","1007001","1007001039","",""
"","113511","1","svd_talk_wish","0.2","3","","1007001","1007001040","",""
"0","vo_svd","0","vo_svd_0121","","21","","1007001","1007001041","",""
"0","113511","6","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","0","11","0","1007001","1007001042","0","1"
"","0","","","","91","","1007001","1007001043","",""
"","113511","1","svd_idle_wish","0.2","3","","1007001","1007001044","",""
"","113411","1","svd_talk_joy1","0.2","3","","1007001","1007001045","",""
"0","vo_svd","0","vo_svd_0122","","21","","1007001","1007001046","",""
"0","113411","8","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","0","11","0","1007001","1007001047","0","1"
"","0","","","","91","","1007001","1007001048","",""
"","113411","1","svd_idle_joy1","0.2","3","","1007001","1007001049","",""
"","113511","1","svd_talk_thinking","0.2","3","","1007001","1007001050","",""
"0","vo_svd","0","vo_svd_0123","","21","","1007001","1007001051","",""
"0","113511","6","はて…？　私は来年の夏も\n一緒に過ごすので思い出して\nいただく必要はないのですが…","0","11","0","1007001","1007001052","0","1"
"","0","","","","91","","1007001","1007001053","",""
"","113511","1","svd_idle_thinking","0.2","3","","1007001","1007001054","",""
"svd_talk_anger","113411","0","svd_surprise","0.2","3","0.2","1007001","1007001055","1",""
"0","vo_svd","0","vo_svd_0124","","21","","1007001","1007001056","",""
"0","113411","8","あ！　ズルいよエリコちゃん！\nお姉ちゃんだってずっとずっと\n永遠に一緒だよ！","0","11","0","1007001","1007001057","0","1"
"","3","","","","93","","1007001","1007001058","",""
"svd_talk_joy1","113411","0","svd_jump","0.2","3","0.4","1007001","1007001059","1",""
"","1007001057","","","","91","","1007001","1007001060","",""
"","113411","1","svd_idle_joy1","0.2","3","","1007001","1007001061","",""
"","","","","","102","","1007001","1007001062","",""
"","14","","0","","32","","1007001","1007001063","",""
"","15","","0","","32","","1007001","1007001064","",""
"","1","","","","93","","1007001","1007001065","",""
"","113511","1","7","0","12","0","1007001","1007001066","",""
"","113511","1","svd_talk_normal","0.2","3","","1007001","1007001067","",""
"","3","","","","93","","1007001","1007001068","",""
"","113511","1","svd_idle_normal","0.2","3","","1007001","1007001069","",""
"","113411","1","10","0","12","0","1007001","1007001070","",""
"","113411","1","svd_talk_normal","0.2","3","","1007001","1007001071","1",""
"","3","","","","93","","1007001","1007001072","",""
"","113411","1","svd_idle_normal","0.2","3","","1007001","1007001073","1",""
"","113511","1","7","0","12","0","1007001","1007001074","",""
"","113511","1","svd_talk_memory","0.2","3","","1007001","1007001075","",""
"","3","","","","93","","1007001","1007001076","",""
"","113511","1","svd_idle_memory","0.2","3","","1007001","1007001077","",""
"","113411","1","10","0","12","0","1007001","1007001078","",""
"","113411","1","svd_talk_memory","0.2","3","","1007001","1007001079","1",""
"","3","","","","93","","1007001","1007001080","",""
"","113411","1","svd_idle_memory","0.2","3","","1007001","1007001081","1",""
"","1007001066","","","","101","","1007001","1007001082","",""
"1","333","1","1","1","6","0","1007001","1007001083","0",""
"","113511","","1","","4","","1007001","1007001084","",""
"","113511","1","svd_run","0.2","3","","1007001","1007001085","",""
"0.8","113511","-300","-750","","2","","1007001","1007001086","0",""
