5f39e5670b972ac706b364e5071cf578ab276bccffea8015c66fc41e153731e4,d80602284048ac7eb726eb0fdd2271a27ccf9c0dc0292111a4dd860504fbcdcf,b45e770fc0ea7b582648dfa0c47f3e9d2a892dc82912aceb8c703e53e42a8486,b418bd3e2e32b07b1b5d1de2468380f7b031b42f16cd9051424ab3d0b85ccfc1,62816c02dda4c5d376969afed442760693e2a06a86155426f517396e3db824fe,2f5aed5c5f1fe1958259591ab2f938fbb6ea6b580f6c553875101f70bf08d322
"102013011","1","1","10201","5201087","301"
"102014021","1","1","10201","5201081","402"
"102014022","101","0","10201","5201082","402"
"102015011","1","1","10201","5201066","501"
"102015012","1","2","10201","5201067","501"
"102015013","1","3","10201","5201068","501"
"102015014","1","4","10201","5201069","501"
"102015015","1","5","10201","5201070","501"
"102015016","1","6","10201","5201071","501"
"102015017","1","7","10201","5201072","501"
"102015018","1","8","10201","5201073","501"
