9f319ef829a57f7225a214fcbe08ecb5d511315571d4d3046d2c3501fe5d1014,489d7210a8e09a374ccf8fb0e19da371ffcd547517bc69f366462a9cd52c2329,27117d6f25d82de9464480a3bd655cef4a7a9a333082d007a40bfe0b1337b51f,a09fd20298fcf142f48bdcd8c329c6e8c123ac8389942727224593844574c11c,f7e7ec8181b87758279363cfbdfa64bd3c07fad2b83275ae1326326018e4b543,6f84d32fab10c915684bddcbe0fcd301bf6848bddfa00d064d3e13512b983222,b91b0f0fefe633b2fd43078b6e645f9dbc7170df3327fbec8a8c83897a7b20fb,b8d3804eaa05fe6131a87853d8294eea79a2d1d19a6b4550da37383485569118,5afa10900489624c46abaadfba6facfdd1e76d37eb3a3db89082ebd828934a34,8a5a84a129e62aefe3f5f07b74f4a94a4a91dac897e7a5926c30f61ad1cc560e,3e194bec3b4121fafb52c5533276492c34e616102b4f44515a52fbc7cbade6cb,33bd08a7ce6ca01ee552a0620e2cae1018f64d7982fa173cadbea4074fbe899f,f9e60630b6885f3f1cbd80a01d17fbf225d3ad66da2adb34a79058346eebbde0,830876d09d7299a9c9870094cd84d4cd067ff9bd5085232f37446456d90bb012,512b140c68cb2a0d287d77f6ae4e9ec32f616b478a87418aca4b277d15b587e3
"90110001","1","701000101","0","1","110001","EASY","90","bgm_M57","0","100113","0","bgm_M57","100113","1"
"90110002","1","701000102","0","1","110001","NORMAL","90","bgm_M57","0","100113","0","bgm_M57","100113","2"
"90110003","1","701000103","0","1","110001","HARD","90","bgm_M57","0","100113","0","bgm_M57","100113","3"
"90110004","1","701000104","0","1","110001","VERY HARD","90","bgm_M57","0","100113","0","bgm_M57","100113","4"
"90110005","1","701000105","0","1","110001","EXTREME","90","bgm_M57","0","100113","0","bgm_M57","100113","5"
"90120001","2","701000201","0","1","120001","EASY","90","bgm_M169","0","103013","0","bgm_M169","103013","1"
"90120002","2","701000202","0","1","120001","NORMAL","90","bgm_M169","0","103013","0","bgm_M169","103013","2"
"90120003","2","701000203","0","1","120001","HARD","90","bgm_M169","0","103013","0","bgm_M169","103013","3"
"90120004","2","701000204","0","1","120001","VERY HARD","90","bgm_M169","0","103013","0","bgm_M169","103013","4"
"90120005","2","701000205","0","1","120001","EXTREME","90","bgm_M169","0","103013","0","bgm_M169","103013","5"
"90130001","3","701000301","0","1","130001","EASY","90","bgm_M64","0","100113","0","bgm_M64","100113","1"
"90130002","3","701000302","0","1","130001","NORMAL","90","bgm_M64","0","100113","0","bgm_M64","100113","2"
"90130003","3","701000303","0","1","130001","HARD","90","bgm_M64","0","100113","0","bgm_M64","100113","3"
"90130004","3","701000304","0","1","130001","VERY HARD","90","bgm_M64","0","100113","0","bgm_M64","100113","4"
"90130005","3","701000305","0","1","130001","EXTREME","90","bgm_M64","0","100113","0","bgm_M64","100113","5"
"90140001","4","701000401","0","1","140001","EASY","90","bgm_M07","0","100113","0","bgm_M07","100113","1"
"90140002","4","701000402","0","1","140001","NORMAL","90","bgm_M07","0","100113","0","bgm_M07","100113","2"
"90140003","4","701000403","0","1","140001","HARD","90","bgm_M07","0","100113","0","bgm_M07","100113","3"
"90140004","4","701000404","0","1","140001","VERY HARD","90","bgm_M07","0","100113","0","bgm_M07","100113","4"
"90140005","4","701000405","0","1","140001","EXTREME","90","bgm_M07","0","100113","0","bgm_M07","100113","5"
"90150001","5","701000501","0","1","150001","EASY","90","bgm_M170","0","103013","0","bgm_M170","103013","1"
"90150002","5","701000502","0","1","150001","NORMAL","90","bgm_M170","0","103013","0","bgm_M170","103013","2"
"90150003","5","701000503","0","1","150001","HARD","90","bgm_M170","0","103013","0","bgm_M170","103013","3"
"90150004","5","701000504","0","1","150001","VERY HARD","90","bgm_M170","0","103013","0","bgm_M170","103013","4"
"90150005","5","701000505","0","1","150001","EXTREME","90","bgm_M170","0","103013","0","bgm_M170","103013","5"
