68e2ac92d9133c2487536a534b2739f0291c0dbc3c0fbc297a22693fe53fc110,a009362007cad48c94a2a1140b9c2b4073af32064ccb864c01f8874e5b93e352,6b2997770535403e5c099e38f55241b813b9a85964b1814b5a5173e1b75e13ec,d2fc5f3dcc4c659e93ef79f9918ecf8a275dcf65e3bdc16745b914f5dee1a327,0454df1126d7efc302e7c8c49b572fd25813237cec7dc13ac38365efdd6f4236,0c4bbebeac35296a1003e32c636af846c6af8fe046a64dc3543f4ef8bae541f2
"50000","2","26202","1","1","50000"
"10","2","90013","2","1","10"
"1","2","26203","3","1","0"
"55000","2","26202","4","2","55000"
"10","2","90013","5","2","10"
"1","2","26203","6","2","0"
"60000","2","26202","7","3","60000"
"10","2","90013","8","3","10"
"1","2","26203","9","3","0"
"65000","2","26202","10","4","65000"
"10","2","90013","11","4","10"
"1","2","26203","12","4","0"
"70000","2","26202","13","5","70000"
"10","2","90013","14","5","10"
"1","2","26203","15","5","0"
"75000","2","26202","16","6","75000"
"10","2","90013","17","6","10"
"1","2","26203","18","6","0"
"80000","2","26202","19","7","80000"
"10","2","90013","20","7","10"
"1","2","26203","21","7","0"
"85000","2","26202","22","8","85000"
"10","2","90013","23","8","10"
"1","2","26203","24","8","0"
"90000","2","26202","25","9","90000"
"20","2","90013","26","9","20"
"1","2","26203","27","9","0"
"95000","2","26202","28","10","95000"
"20","2","90013","29","10","20"
"1","2","26203","30","10","0"
"100000","2","26202","31","11","100000"
"20","2","90013","32","11","20"
"1","2","26203","33","11","0"
"105000","2","26202","34","12","105000"
"20","2","90013","35","12","20"
"1","2","26203","36","12","0"
