7dc2f880757654bd7b56619e0259963594b9423ff00ac470e2c678f2959ed34c,e9a18c62f18a8e3a3a18a0d0b08aaeb179f97f90deaf5fbdb81c862a108530b6,e7e9a51601c461d4a7095fcdd25fa81da0d5588a369d826db77133c4ddf9b54d,8ae3c87f46c454ebcaed18795fccbb5dc65aef3285bd282658486a8edcbdaa89
"1001","100101","戦闘不能になったキャラが0人以下で勝利","0"
"1001","100102","戦闘不能になったキャラが1人以下で勝利","1"
"1001","100103","戦闘不能になったキャラが2人以下で勝利","2"
"1002","100201","バトルの残り時間が1:15以上で勝利","74001"
"1002","100202","バトルの残り時間が1:10以上で勝利","69001"
"1002","100203","バトルの残り時間が1:00以上で勝利","59001"
"1002","100204","バトルの残り時間が0:50以上で勝利","49001"
"1002","100205","バトルの残り時間が0:45以上で勝利","44001"
"1002","100206","バトルの残り時間が0:40以上で勝利","39001"
"1002","100207","バトルの残り時間が0:30以上で勝利","29001"
"1003","100301","味方のTotal HPが100%以上で勝利","1000"
"1003","100302","味方のTotal HPが90%以上で勝利","900"
"1003","100303","味方のTotal HPが80%以上で勝利","800"
"1003","100304","味方のTotal HPが70%以上で勝利","700"
"1003","100305","味方のTotal HPが60%以上で勝利","600"
"1003","100306","味方のTotal HPが50%以上で勝利","500"
"1003","100307","味方のTotal HPが99%以上で勝利","990"
