a704e5f385d9bac4eed9377ba3ee536cedfe5cc22bae8ea43dadfb12416f9bd2,9238e5f2c4f8d240928938d0ea731950e50f1126561f4be3cd0fc6415b1c32ae,eea7455dcc50145bd3d241609b03de4226767c1474aab688c001a5f4b1c1f5e8,abf7af128053447608e5541189c7d0da0b21e934b7ed7e34b8fe5f3ccc1d7f4e,ca9e83e39f7a68d1e6d9fd599ef32cac67698e02db0b6075b704ef8834fc58dc,86584faca590647390936aa27c1cbab09f23b4f3e8ef85ca64ac2e50ac02a482,ca8546d968613d7b56404833eab958cbc225e17c65bd1cdba9914a39b48715fb,408ed87868fa99e369d15af2cabb763ede1e3b2c0e501b581c60f2bbcc2ad508,8e8fdac58519650edd8f2d400a2d50789a0c86365a4b2fed6690e14005406fbe,552526357b334ef60b55be5d18e66cdc4e3a19a125e54e73435b02fd89fdbe35
"1002","1","575","1003","32","1100001","1","1001","10590","1"
"1005","1","575","1006","32","1100002","1","1004","10590","1"
"1008","1","575","1009","32","1100003","1","1007","10590","2"
"1011","1","500","1012","33","1100004","1","1010","11820","1"
"1014","1","500","1015","33","1100005","1","1013","11820","1"
"1017","1","500","1018","33","1100006","1","1016","11820","2"
"1020","1","500","1021","33","1100007","1","1019","11820","4"
"1023","1","375","1024","35","1100008","1","1022","13050","1"
"1026","1","375","1027","35","1100009","1","1025","13050","1"
"1029","1","375","1030","35","1100010","1","1028","13050","6"
"2002","1","575","2003","34","1200001","2","2001","10590","1"
"2005","1","575","2006","34","1200002","2","2004","10590","1"
"2008","1","575","2009","34","1200003","2","2007","10590","1"
"2011","1","575","2012","34","1200004","2","2010","10590","1"
"2014","1","575","2015","34","1200005","2","2013","10590","2"
"2017","1","575","2018","34","1200006","2","2016","10590","4"
"2020","1","575","2021","34","1200007","2","2019","10590","6"
"2023","1","500","2024","35","1200008","2","2022","11820","1"
"2026","1","500","2027","35","1200009","2","2025","11820","1"
"2029","1","500","2030","35","1200010","2","2028","11820","1"
"2032","1","500","2033","35","1200011","2","2031","11820","1"
"2035","1","500","2036","35","1200012","2","2034","11820","4"
"2038","1","500","2039","35","1200013","2","2037","11820","6"
"2041","1","375","2042","38","1200014","2","2040","13050","1"
"2044","1","375","2045","38","1200015","2","2043","13050","1"
"2047","1","375","2048","38","1200016","2","2046","13050","1"
"2050","1","375","2051","38","1200017","2","2049","13050","1"
"2053","1","375","2054","38","1200018","2","2052","13050","2"
"2056","1","375","2057","38","1200019","2","2055","13050","4"
"2059","1","375","2060","38","1200020","2","2058","13050","6"
"3002","1","575","3003","37","1300001","3","3001","10590","1"
"3005","1","575","3006","37","1300002","3","3004","10590","1"
"3008","1","575","3009","37","1300003","3","3007","10590","1"
"3011","1","575","3012","37","1300004","3","3010","10590","1"
"3014","1","575","3015","37","1300005","3","3013","10590","1"
"3017","1","575","3018","37","1300006","3","3016","10590","1"
"3020","1","575","3021","37","1300007","3","3019","10590","2"
"3023","1","575","3024","37","1300008","3","3022","10590","2"
"3026","1","575","3027","37","1300009","3","3025","10590","4"
"3029","1","575","3030","37","1300010","3","3028","10590","6"
"3032","1","500","3033","38","1300011","3","3031","11820","1"
"3035","1","500","3036","38","1300012","3","3034","11820","1"
"3038","1","500","3039","38","1300013","3","3037","11820","1"
"3041","1","500","3042","38","1300014","3","3040","11820","1"
"3044","1","500","3045","38","1300015","3","3043","11820","1"
"3047","1","500","3048","38","1300016","3","3046","11820","1"
