e53cb4982cb5fd8cef7f75475d7a456c533cb4529cfd9faaada48b5a64ad81e8,9f0664190e4a28a60d2f33d6ee492477f218fea2e9bde30a7f4771f10ee57e7d,722a214732e37f50faa41e921d6d3a5a1faa9380f238b52e2eee7d07166d0124,36e27263f3608644ccef8a423e5668d58f7604310ba5ba07075d3cf18a465979,2e2c6aa581d501ccf84f6aa6e6d65855fd192daa1ec9b63cc6fb25d74d9a1195
"94002","1","12","1001","8000000"
"90005","2","2","1001","40"
"94002","3","12","1002","8000000"
"90005","4","2","1002","50"
"94002","5","12","1003","8000000"
"90005","6","2","1003","60"
"94002","7","12","1004","8000000"
"90005","8","2","1004","70"
"91002","9","8","1005","150"
"94002","10","12","1005","8000000"
"90005","11","2","1005","80"
"94002","12","12","1006","8000000"
"90005","13","2","1006","90"
"91002","14","8","1007","300"
"94002","15","12","1007","8000000"
"90005","16","2","1007","100"
"94002","17","12","2001","8000000"
"94002","18","12","2002","8000000"
"94002","19","12","2003","8000000"
"94002","20","12","2004","8000000"
"94002","21","12","2005","8000000"
"94002","22","12","2006","8000000"
"94002","23","12","2007","8000000"
"94002","24","12","2008","8000000"
"94002","25","12","2009","8000000"
"94002","26","12","2010","8000000"
"94002","27","12","7001","8000000"
"90005","28","2","7001","5"
"94002","29","12","7002","8000000"
"90005","30","2","7002","5"
"94002","31","12","7003","8000000"
"90005","32","2","7003","5"
"94002","33","12","7004","8000000"
"90005","34","2","7004","10"
"94002","35","12","7005","8000000"
"90005","36","2","7005","10"
"94002","37","12","7006","8000000"
"90005","38","2","7006","10"
"94002","39","12","7007","8000000"
"90005","40","2","7007","15"
"94002","41","12","7008","8000000"
"90005","42","2","7008","15"
"94002","43","12","7009","8000000"
"90005","44","2","7009","15"
"94002","45","12","7010","8000000"
"90005","46","2","7010","20"
"94002","47","12","7011","8000000"
"90005","48","2","7011","20"
"94002","49","12","7012","8000000"
"90005","50","2","7012","20"
"94002","51","12","7013","8000000"
"90005","52","2","7013","25"
"94002","53","12","7014","8000000"
"90005","54","2","7014","25"
"94002","55","12","7015","8000000"
"90005","56","2","7015","25"
"94002","57","12","7016","8000000"
"90005","58","2","7016","30"
"94002","59","12","7017","8000000"
"90005","60","2","7017","30"
"94002","61","12","7018","8000000"
"90005","62","2","7018","30"
"94002","63","12","7019","8000000"
"90005","64","2","7019","35"
"94002","65","12","7020","8000000"
"90005","66","2","7020","35"
"94002","67","12","7021","8000000"
"90005","68","2","7021","35"
"94002","69","12","7022","8000000"
"90005","70","2","7022","40"
"94002","71","12","8001","8000000"
"90008","72","2","8001","1000"
"94002","73","12","8002","8000000"
"90008","74","2","8002","1250"
"94002","75","12","8003","8000000"
"90008","76","2","8003","1500"
"94002","77","12","8004","8000000"
"90008","78","2","8004","1750"
"94002","79","12","8005","8000000"
"90008","80","2","8005","2000"
"94002","81","12","8006","8000000"
"90008","82","2","8006","2250"
"94002","83","12","8007","8000000"
"90008","84","2","8007","2500"
