7104ad22ee380e258fe4411d5cd037fe9db532875838bdf9e5707a7f3bef91a3,7342db49a27a88885b2f85d0663e11ed70a2e6d75675e5a61901af08ce6d21f2,3989c9d94d43281311feedfd7182d6b53c0e76d998a900abc05f97f5f64950f7,59f8455fd911680630358b6fe9dd92467b22f8afc4013215d2693b0c79e70a1c,b4898c04a91228e73aeaa16ce58c44b40330210b3a769b662532ecad7d24e76b,2b8fa1199f129274f4b4908f2c1af76f26b9f0ecd889fb28c650aae192ebb6c5,f7759ae1b1c23881e8dc214793032d543d12bae9d88104e2dbefdc2a9e28b187,56f4e89c87b7ceb9cd226c5b238fe2b8461ea8d23998b60b4a6ef24276a62a9f,0199b7e32d5e7e6825e23913f7fa304e20dc5ffa1b76a53c257e092abbb3121f,b26ec7039c6af5769b5eff45c298ea093944b64ff77d9972521e93aeba8801c7,86235e3cd26be3b79b0cc89f09103af433bade1cb121de94715aceaf18133c21
"23","","se_travel","1001","","se_travel_finish_assemble","0","","1010010001","",""
"1","-275","1","1001","-160","1000001","1","1.46","1010010002","0","travel_exdrama_r_100_run"
"1","-575","1","1001","-200","1000002","2","1.46","1010010003","0","travel_exdrama_r_100_run"
"1","-750","1","1001","-250","1000003","3","1.46","1010010004","0","travel_exdrama_r_100_run"
"1","575","1","1001","-175","1000004","4","1.46","1010010005","1","travel_exdrama_r_100_run"
"1","750","1","1001","-250","1000005","5","1.46","1010010006","1","travel_exdrama_r_100_run"
"2","1","1000001","1001","0","-100","-160","","1010010007","",""
"2","1","1000002","1001","0","-275","-200","","1010010008","",""
"2","1","1000003","1001","0","-450","-250","","1010010009","",""
"2","1","1000004","1001","0","275","-175","","1010010010","",""
"2","1","1000005","1001","0","450","-250","","1010010011","",""
"93","0","1","1001","0","0","0","","1010010012","",""
"3","","1000001","1001","0","travel_exdrama_r_100_raiseup","0","0.2","1010010013","0",""
"3","","1000002","1001","0","travel_exdrama_r_100_idle","1","0","1010010014","0",""
"3","","1000003","1001","0","travel_exdrama_r_100_idle","1","0","1010010015","0",""
"3","","1000004","1001","0","travel_exdrama_r_100_idle","1","0","1010010016","0",""
"3","","1000005","1001","0","travel_exdrama_r_100_idle","1","0","1010010017","0",""
"5","-100","1","1001","-160","1","11","1.46","1010010018","0","travel_exdrama_r_100_raiseup"
