40a073d6668b99f0f8d8001bd3ebb3b92c43df14c1c9a992694dd57b865cb88c,ebec3772021c9dafb12ce62675e07f5c17a106cdecf0b390876466b2d07ae0e1,19a9e8721fa3ef6db8bd4c0026495acc0961aad937dda9693dbf6c71e304ee10,d2840e9026022a1b567939d1e411c82585131b5a9ecf24ad272e14aa5c35721a,fd1a58d3770148f39e4a7c56b56246ef5952c6ebecf7742f7951cd891389d0f3,d6c13cd2bd059321538c57533476b994d32314bc50c48b3e584988a4bf0b31f3,9b2945576d3839671aec809bf17beaa23b76bf95ef9426d86edb52e5ec96e2e0,eb89d5ef36e9affd5f0b3ee06c14160559c12a78c3d8e740852b7ea2a2465668
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","100","平凡な未鑑定トレジャー","1","1","200","53001","平凡な\n未鑑定トレジャー"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。鑑定の結果、レアリティが上がる場合がある。","200","貴重な未鑑定トレジャー","2","1","400","53002","貴重な\n未鑑定トレジャー"
"正体不明な謎のお宝。ギルド管理協会出張所まで持ち込むとカリンに鑑定してもらえる。","400","至高の未鑑定トレジャー","3","1","800","53003","至高の\n未鑑定トレジャー"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なジェムストーン","1","0","200","53004","平凡なジェムストーン"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なジェムストーン","2","0","400","53005","貴重なジェムストーン"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のジェムストーン","3","0","800","53006","至高のジェムストーン"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なインゴット","1","0","200","53007","平凡なインゴット"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なインゴット","2","0","400","53008","貴重なインゴット"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のインゴット","3","0","800","53009","至高のインゴット"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なスクロール","1","0","200","53010","平凡なスクロール"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なスクロール","2","0","400","53011","貴重なスクロール"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のスクロール","3","0","800","53012","至高のスクロール"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なティアラ","1","0","200","53013","平凡なティアラ"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なティアラ","2","0","400","53014","貴重なティアラ"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のティアラ","3","0","800","53015","至高のティアラ"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なルーン","1","0","200","53016","平凡なルーン"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なルーン","2","0","400","53017","貴重なルーン"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のルーン","3","0","800","53018","至高のルーン"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なクラウン","1","0","200","53019","平凡なクラウン"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なクラウン","2","0","400","53020","貴重なクラウン"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のクラウン","3","0","800","53021","至高のクラウン"
"平凡なトレジャー。ギルド管理協会出張所まで持ち込むと、少額のキャラバンコインに換金できる。","100","平凡なアーティファクト","1","0","200","53022","平凡なアーティファクト"
"珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、キャラバンコインに換金できる。","200","貴重なアーティファクト","2","0","400","53023","貴重なアーティファクト"
"非常に珍しいトレジャー。ギルド管理協会出張所まで持ち込むと、多額のキャラバンコインに換金できる。","400","至高のアーティファクト","3","0","800","53024","至高のアーティファクト"
