823d4397ef302f659eaa614f1167e1a5c2e7153ed575919aae5b2c785f1e4800,b5ffd7873b549a35971cc504d1aafbad4a53c3f9a150cb992cc186396fd9d7d4,78fdc2ffcf71c5201fcdc16c13c6bcd35c4a72ab8b32e4707ac876aac2880f2b,1888fbfbc328859a76f4e895c348fb92109ce9326802ef764b8729d94bf0e84f,1b006d0bbd13a9ebcd2e930501df9f2cb5dbef7aaadb7793cd41dd4f2285b8b3,8db512a1839e3ad181ec6c3c2f5fea58db8b80bb25f6ffde026401d5fb598826,34e428f177c749ca3e0cd171ddd28becfb59a09d355c6b4d28ffee623046584e,d3f327959f5e3f6a36a124da614d3cd95540ba1773a1e05c094ec920f3846335,1ba0a10f873f358a206f2f2bb2b79f5455c12fd7b203a81e1e627d6ac85c72ee,d9b059e337415f821c5f730d0a259f1339c2452ba18b6c62c88158716a3df400,cadf0c8f0fa15b9813a5f90259c831750857d18215520781554ebbbd18c3538d,60cfb95cb9ed581e066390346382d34702519030d7d70ba961e993b32a69a037,75f55bfab49ff92d45ecbe1de1262c97a2fbf6ea27d49d19bab2c573b483df73,5e08fce53d749e27e55b7fbedc430d721db3f764b9687ad5539bd87aa6d24732
"105801","1","0","28001","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31058"
"107501","2","0","28001","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31075"
"180401","3","0","28001","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31804"
"105901","1","0","28002","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31059"
"107601","2","0","28002","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31076"
"111901","3","0","28002","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31119"
"180501","4","0","28002","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31805"
"106001","1","0","28003","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31060"
"107801","2","0","28003","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31078"
"112001","3","0","28003","0","2","100","0","0","0","2030/08/01 14:59:59","2020/08/04 12:00:00","0","31120"
"101201","1","0","28004","0","2","100","0","0","0","2030/08/01 14:59:59","2020/09/03 19:00:00","0","31012"
"113401","2","0","28004","0","2","100","0","0","0","2030/08/01 14:59:59","2020/09/03 19:00:00","0","31134"
"103801","1","0","28005","0","2","100","0","0","0","2030/08/01 14:59:59","2020/09/03 19:00:00","0","31038"
