50bbea0d8ade3f0efadc5792fb56c973c48994bd8baf3a4c66b68fba62af83ca,32cb2386956e8298d9dd651f7c86364428f1a8514f38faa485654606ec67fd7b,4805e0eafbb33939c4006e87b18393b0d3b0eae8b2b6d3299b7c6a1f9584921e,881c2555763abcc3560ad5addf94b1f19b49203ed2f321601993057a42610a59
"1000","1","1","170"
"3000","2","1","175"
"5000","3","1","180"
"7000","4","1","185"
"9000","5","1","190"
"11000","6","1","195"
"13000","7","1","200"
"15000","8","1","205"
"17000","9","1","210"
"19000","10","1","215"
"21000","11","1","220"
"23000","12","1","225"
"25000","13","1","230"
"27000","14","1","232"
"29000","15","1","234"
"31000","16","1","236"
"33000","17","1","238"
"35000","18","1","240"
"37000","19","1","242"
"39000","20","1","244"
"41000","21","1","246"
"43000","22","1","248"
"9999999","23","1","250"
"1000","24","2","170"
"3000","25","2","175"
"5000","26","2","180"
"7000","27","2","185"
"9000","28","2","190"
"11000","29","2","195"
"13000","30","2","200"
"15000","31","2","205"
"17000","32","2","210"
"19000","33","2","215"
"21000","34","2","220"
"23000","35","2","225"
"25000","36","2","230"
"27000","37","2","232"
"29000","38","2","234"
"31000","39","2","236"
"33000","40","2","238"
"35000","41","2","240"
"37000","42","2","242"
"39000","43","2","244"
"41000","44","2","246"
"43000","45","2","248"
"9999999","46","2","250"
"1000","47","3","170"
"3000","48","3","175"
"5000","49","3","180"
"7000","50","3","185"
"9000","51","3","190"
"11000","52","3","195"
"13000","53","3","200"
"15000","54","3","205"
"17000","55","3","210"
"19000","56","3","215"
"21000","57","3","220"
"23000","58","3","225"
"25000","59","3","230"
"27000","60","3","232"
"29000","61","3","234"
"31000","62","3","236"
"33000","63","3","238"
"35000","64","3","240"
"37000","65","3","242"
"39000","66","3","244"
"41000","67","3","246"
"43000","68","3","248"
"9999999","69","3","250"
