c5462845f17fff6139b3125420fa7a14e8685296b34e93e16f9eb78335a6f865,dba80a2dc8a89f3c58308dfdfc1c5619ea0634888bd7f2bacb88f68ce0490f23,eee07379f7f5802de45f8eccd332e9c17b67636962d9fde289023f3287cc6048,49d1da0a36c1ce22e6d09754deaba835fabf37a200de4de6247f950370891f80,07c04ec021506927a386b5047f04e9332ed9fb597be05f0d286faf750945be42,ceee40fa7990cd8f2bc656bb709586cfd3409b7272b94505e35c5580fd6f1c38,829cf125cf6309432cf5816f394574b53b44bad6e37ba38abf4fee9716d17735,0da2555285d65b09d383aa0a0c5273be0b93d1defe87018504cab9921fccbd93,c99179550b60a5ed0a2560fe68a352887541ee54d0e043113947f661df57e85c,eb6219591457867ad6ed602903c8f2ae3057a99f4c772e4ae93f7b73ac902f4a,486dbf7f07cbd6fef07572458a5506c87a96b9048ca21a2a36ec83b0de9dbd6a
"61001","-225","5146061","idle_normal","0","1","100","105811","-278","1.8","1"
"61002","-225","5146061","idle_normal","0","6","101","1058","-278","1.8","5"
"61003","-385","5146061","kokkoro_idle_normal","0","1","103","105911","-288","1.8","1"
"61004","-385","5146061","kokkoro_idle_normal","0","3","104","1059","-288","1.8","5"
"61005","290","5146061","idle_normal","1","1","106","106011","-278","1.8","1"
"61006","290","5146061","idle_normal","1","4","107","1060","-278","1.8","5"
"61007","","5146061","","","105811","","200","","","13"
"61008","","5146061","","","105911","","203","","","13"
"61009","","5146061","","","106011","","206","","","13"
"61010","0","5146061","idle","0","7","15","7","-174","0.85","5"
"61011","290","5146061","empty","0","20","210","201","8","1","5"
"61012","0","5146061","empty","0","20","211","202","-78","1","5"
"61013","-315","5146061","empty","0","20","210","203","16","1","5"
"61014","0","5146061","empty","0","21","60","21","153","1","5"
"61015","0","5146061","","","1","0","1","1","1","31"
"61016","-57.7","5146061","","","2","0","2","1","0","31"
"61017","0","5146061","","","10","0","10","1","0","31"
"61018","0","5146061","","","11","0","11","1","0","31"
"61019","","5146061","","","0","","0","","","91"
"61020","","5146061","","","0","0","0","","","102"
"61021","","5146061","","","1","","0","","","93"
"61022","doya_talk_shy","5146061","","0","106011","0","doya_in_shy","1","0.2","3"
"61023","doya_talk_shy","5146061","","0","1060","0","doya_in_shy","1","0.2","3"
"61024","0","5146061","","","vo_apg","0","vo_apg_0101","","","21"
"61025","1","5146061","0","0","106011","10","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！","1","0","11"
"61026","","5146061","","","0","","","","","91"
"61027","","5146061","","","2","","1","","","32"
"61028","","5146061","","","2","","fade105_in","","","37"
"61029","","5146061","","","106011","","0","","","4"
"61030","","5146061","","","1060","","0","","","4"
"61031","","5146061","","","106011","1","sad_idle_dere_shy","","0.5","3"
"61032","","5146061","","","1060","1","sad_idle_dere_shy","","0.5","3"
"61033","0","5146061","","","vo_apg","0","vo_apg_0102","","","21"
