4d9620729ec5df76aa4be95c3e126ebdb325d7315311d461b746b6d9fe9bcb32,b32ba7ecd9c5cbf59daf0a7e6e8c4d21c0e3aec5f91f707af12116113dfd8f84,a7034998a644ca224cd5d54c58cbb597029e8f5b32d4fe276cab1051221b4072,e452d68251d252a689a234f2206775a7191a6f73ddb1becb051bb2b5a3a67382
"100101","21002","1001","1000"
"100102","21004","1001","2000"
"100103","21012","1001","3500"
"100104","20001","1001","4500"
"100105","21010","1001","5000"
"100106","20009","1001","6300"
"100107","21014","1001","7000"
"100108","20001","1001","8500"
"100109","20003","1001","9550"
"100201","20001","1002","1700"
"100202","20003","1002","2650"
"100203","21002","1002","3150"
"100204","20001","1002","4600"
"100205","21004","1002","5200"
"100206","21014","1002","6150"
"100207","21012","1002","7700"
"100208","20009","1002","8500"
"100209","21010","1002","9200"
"100301","21010","1003","1150"
"100302","21004","1003","2200"
"100303","20009","1003","3500"
"100304","20001","1003","4650"
"100305","20001","1003","5650"
"100306","21012","1003","6600"
"100307","21002","1003","7150"
"100308","21014","1003","8150"
"100309","20003","1003","9650"
"100401","21006","1004","1000"
"100402","21016","1004","2000"
"100403","21017","1004","3000"
"100404","21003","1004","4000"
"100405","21010","1004","5000"
"100406","21003","1004","6000"
"100407","21007","1004","7000"
"100408","21014","1004","8000"
"100409","21015","1004","9000"
"100501","21010","1005","850"
"100502","21016","1005","1900"
"100503","21015","1005","2850"
"100504","21007","1005","3900"
"100505","21003","1005","4800"
"100506","21014","1005","5850"
"100507","21017","1005","6800"
"100508","21006","1005","7900"
"100509","21003","1005","8850"
"100601","21016","1006","900"
"100602","21006","1006","1800"
"100603","21003","1006","2800"
"100604","21003","1006","3850"
"100605","21007","1006","4850"
"100606","21010","1006","5900"
"100607","21017","1006","6850"
"100608","21014","1006","7800"
"100609","21015","1006","8900"
"100701","20015","1007","1150"
"100702","20003","1007","2550"
"100703","20001","1007","3500"
"100704","20003","1007","4550"
"100705","20003","1007","5550"
"100706","20003","1007","6550"
"100707","21008","1007","7000"
"100708","21004","1007","8000"
"100709","21003","1007","9000"
"100801","21003","1008","1100"
"100802","20003","1008","2650"
"100803","20003","1008","3750"
"100804","20003","1008","4750"
"100805","20001","1008","5700"
"100806","21008","1008","6200"
"100807","20003","1008","7650"
"100808","21004","1008","8100"
"100809","20015","1008","9300"
"100901","20015","1009","1300"
"100902","21004","1009","2200"
"100903","20001","1009","3600"
"100904","20003","1009","4700"
"100905","20003","1009","5700"
"100906","21003","1009","6150"
"100907","21008","1009","7150"
"100908","20003","1009","8700"
"100909","20003","1009","9750"
"101001","21016","1010","1000"
"101002","21004","1010","2000"
"101003","21016","1010","3000"
"101004","21001","1010","4000"
"101005","20001","1010","5500"
"101006","21003","1010","6000"
"101007","21012","1010","7500"
"101008","20009","1010","8300"
"101009","21012","1010","9500"
"101010","20009","1010","10300"
"101101","21004","1011","900"
"101102","21001","1011","1800"
"101103","21016","1011","2800"
"101104","21012","1011","4350"
"101105","20009","1011","5100"
"101106","21012","1011","6400"
"101107","21016","1011","6850"
"101108","20009","1011","8100"
"101109","20001","1011","9350"
"101110","21003","1011","9850"
"101201","21016","1012","800"
"101202","20001","1012","2400"
"101203","20009","1012","3200"
"101204","21012","1012","4300"
"101205","20009","1012","5150"
"101206","21004","1012","5850"
"101207","21012","1012","7300"
"101208","21016","1012","7850"
"101209","21001","1012","8900"
"101210","21003","1012","9800"
"101301","21003","1013","1000"
