b4fb56985129dbbee37546d6701fefce25e08b26340985d2cdc385c8583e6584,8d4734f75d43fc09c4ea5fc812869265acb56e31262c9474aca2f7c2eb5d0618,08cec81c728041922f210e0eed778b1f799fcb16220c28e637445785ad9bd18e,ce0755c86188e9b1fd4b4dca2568372dd39a1528df6644147dafabd489b55e1b,4865f41ca8197b28ba414471787874cc580b619bcbb18f18b9df111215797af4,a25f1dec092c32085a37ed24e5d524576bf85c1f18f314d048def87ffd777314
"1","1","1","おまかせ","2020-02-15 15:00:00",""
"2","2","2","デフォルト","2020-02-15 15:00:00",""
"3","3","3","アニバーサリー","2020-02-15 15:00:00",""
"4","4","1","ピンク","2020-02-15 15:00:00",""
"5","5","1","レッド","2020-02-15 15:00:00",""
"6","6","1","イエロー","2020-02-15 15:00:00",""
"7","7","1","グリーン","2020-02-15 15:00:00",""
"8","8","1","ライトブルー","2020-02-15 15:00:00",""
"9","9","1","ブルー","2020-02-15 15:00:00",""
"10","10","1","パープル","2020-02-15 15:00:00",""
"11","11","1","グレー","2020-02-15 15:00:00",""
