07ba0477c633375812c8b7736a81d56a75d981ec8ddb3f9cb6a3e751f1f0e9cd,be43dfcea8f8313c10cc5841428b357b5e0221a2bc0d765d9fa4b1a22b32b754,a6839e9ae155e23c31a0f90c23ea433f849855a6ebf29ee08ce4996dbb768683,bf927d5c22fc4ca466cbb55923b528b3fe192fe2477b93c9d4ad25c9b89bc2d9,316c3a4f4437dd78c6cb05b11f9ad27d3347e3ba4357d35673cea920a4505b8a,62b2443013a71ded42571c18030fee74a5cbdaa555bb10df7f6452b1c98549f6,4230a83e0da276892c6c85cc1b824905bb4ddf6e16238a2b977c43bb26b547f0,7384201273fa81ee9a9653f2a9597686d4b64ec6bba55e5f01981f16340601ff
"タンクを\n仲間にしたい！","21_role_tank","0","11011","0","192801","11011","タンクロールの\nランダムサイン×2\n＋アルファルピ×200"
"ヒーラーを\n仲間にしたい！","22_role_healer","0","11012","0","192801","11012","ヒーラーロールの\nランダムサイン×2\n＋アルファルピ×200"
"ブースターを\n仲間にしたい！","23_role_booster","0","11021","0","192801","11021","ブースターロールの\nランダムサイン×2\n＋アルファルピ×200"
"バッファーを\n仲間にしたい！","24_role_buffer","0","11022","0","192801","11022","バッファーロールの\nランダムサイン×2\n＋アルファルピ×200"
"デバッファーを\n仲間にしたい！","25_role_debuffer","0","11031","0","192901","11031","デバッファーロールの\nランダムサイン×2\n＋アルファルピ×200"
"ジャマーを\n仲間にしたい！","26_role_jammer","0","11032","0","192901","11032","ジャマーロールの\nランダムサイン×2\n＋アルファルピ×200"
"アタッカーを\n仲間にしたい！","27_role_attacker","0","11041","0","192901","11041","アタッカーロールの\nランダムサイン×2\n＋アルファルピ×200"
"ブレイカーを\n仲間にしたい！","28_role_breaker","0","11042","0","192901","11042","ブレイカーロールの\nランダムサイン×2\n＋アルファルピ×200"
"腕試しッス！","41_matsuri_guts","0","11051","0","100501","11051","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×200"
"強敵との戦いは心躍る！","42_chris_cool","0","11052","0","107101","11052","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×300"
"用心して近づきましょう","71_suzume_sad","2000","11071","1","102501","11071","50％で★2迷宮遺物×1\n50％で★3迷宮遺物×1"
"ぷうきち\nフルスイ～ング☆","72_ayane_handsup","2000","11072","1","102301","11072","50％でランダムなロールの\nセレクトサイン×1\n50％でオールセレクトサイン×1"
"触っても\n大丈夫かな……？","73_kurumi_wish","0","11073","0","102101","11073","50％でアルファルピ×1500\n50％でアルファルピ×2000"
"右に決まっていますわ！","82_akino_pointing","0","11081","0","103201","11081","50％で★1迷宮遺物×1\n50％でランダムなロールの\nランダムサイン×2"
"左じゃないかしら？","81_saren_pointing","0","11082","0","102801","11082","アルファルピ×1000"
"腕試しッス！","41_matsuri_guts","0","11091","0","100501","11091","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×300"
"強敵との戦いは心躍る！","42_chris_cool","0","11092","0","107101","11092","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×450"
"グー！！！","31_hiyori_gu","0","11101","0","100101","11101","勝つとアルファルピ×3000\n負けるとアルファルピ×1000"
"チョキにしよう","32_rei_choki","0","11102","0","100301","11102","勝つとアルファルピ×3000\n負けるとアルファルピ×1000"
"パーにしようかな","33_yui_pa","0","11103","0","100201","11103","勝つとアルファルピ×3000\n負けるとアルファルピ×1000"
"弟くん\nこっちこっち♪","101_chest_shizuru","0","11111","0","193001","11111","アルファルピ×2000"
"お兄ちゃん\nこっちですよ♪","102_chest_rino","0","11112","0","193001","11112","★1～3迷宮遺物×１"
"ミクマ流の\n剣技にかけて！","111_tomo_run","0","11121","0","103701","11121","アルファルピ×2000"
"ここは私たちに\n任せて！","112_jun_run","0","11122","0","104701","11122","ジュンが仲間になる\n＋オールランダムサイン×2～4"
"腕試しッス！","41_matsuri_guts","0","11131","0","100501","11131","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×400"
"強敵との戦いは心躍る！","42_chris_cool","0","11132","0","107101","11132","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×600"
"腕試しッス！","41_matsuri_guts","0","11171","0","100501","11171","バトルマス(NORMAL)の\n敵に挑戦する\n＋アルファルピ×500"
"強敵との戦いは心躍る！","42_chris_cool","0","11172","0","107101","11172","バトルマス(EXTREME)の\n敵に挑戦する\n＋アルファルピ×750"
"のんびり\n釣りでもしようか","51_ruka_fishing","0","13141","0","105601","13141","50％で★1迷宮遺物×1\nさらに次のイベントへ"
"みんなで\n料理を作りましょう☆","91_peko_guts","0","13151","0","105801","13151","50％で次のイベントへ"
"やってやるですよ！","61_inori_guts","0","13161","0","106601","13161","50％でアルファルピ×2000\nさらに次のイベントへ"
"もう一回挑戦だ！","52_ruka_fishing","0","23141","0","105601","23141","25％で★2迷宮遺物×1\nさらに次のイベントへ"
"まだまだ\n食べ足りません☆","92_peko_guts","0","23151","1","105801","23151","50％で次のイベントへ"
"それくらいで\nいいんじゃない？","92_kyaru_sad","0","23152","0","106001","23152","ランダムなロールの\nランダムサイン×2"
"今日はツイてるです！","62_inori_guts","2000","23161","1","106601","23161","50％でアルファルピ×4000\nさらに次のイベントへ"
"もうこの辺で……","62_ayumi_sad","0","23162","0","105501","23162","挑戦終了"
"最後にもうひと勝負！","53_ruka_fishing","0","33141","0","105601","33141","10％で★3迷宮遺物×1"
"えへへ～\nもうちょっとだけ……","93_peko_guts","0","33151","1","105801","33151","50％でオールセレクトサイン×２"
"そんなに\n食べきれないでしょ！","93_kyaru_anger","0","33152","0","106001","33152","ランダムなロールの\nセレクトサイン×2"
"今日のあたしは\n負け知らずです！","63_inori_guts","4000","33161","1","106601","33161","50％でアルファルピ×8000"
"そろそろやめた方が……","63_ayumi_worry","0","33162","0","105501","33162","挑戦終了"
