4a915ad9b2619428ad2a33419c3633a443e44e917793c6304d5755573e33d660,cb50fb08679b7c9b0dc7211e83ed47cd56b0132c446c6e7fb46f939a24e0cd92,75a2d1224f78f8ec9a3fbe803e2b092638970990293d8ecc73a0d71543218907,5a21d2c6a34651ae92c71c61507fa9d6e77abcece50f5f7379b3e2c2bd428d3d,818d830a2ad790bd6f149b89c649b28aa9b3b8c09d35cda754997c52980be4f0,179ab4c20dd9fbc4a816ed17cbf09f7d17da1fe2806cf4aaf4c4660ec0331dcb,a22159f86a9174d8c99ed0547b7ace45c943d441942334fa02dd72d6045533b3,dcaa6ae04eef493dfa3667b61194a04ba9250ba0d0e40f4c620c3bdd0bd0ac54,0b04d4a639a636f2e7ad11bf7cebb002381ac4a641e86b0ad0bc72e3d4fd3504,6d2a623459ad2bfe86dda6d550511dbb3d0223aad120b3d02a2350ec8775e51e
"1001","5","22","5","100","26031","3","260311020","0","究極錬成を5回行おう"
"1002","10","22","5","200","26031","3","260311021","0","究極錬成を10回行おう"
"1003","30","22","5","300","26031","3","260311022","0","究極錬成を30回行おう"
"1004","50","22","5","400","26031","3","260311023","0","究極錬成を50回行おう"
"1005","70","22","5","500","26031","3","260311024","0","究極錬成を70回行おう"
"1006","100","22","5","1000","26031","3","260311025","0","究極錬成を100回行おう"
"1007","10","42","5","1000","26031","3","260311026","0","コネクトRANKを合計10上げよう"
"1008","100","56","5","1000","26031","3","260311027","0","キャラのレベルを合計で100上げよう"
"1009","200","56","5","2000","26031","3","260311028","0","キャラのレベルを合計で200上げよう"
"1010","5","55","5","1000","26031","3","260311029","0","黎明界ラビリンスをスキップせずに5回クリアしよう"
"1011","10","55","5","2000","26031","3","260311030","0","黎明界ラビリンスをスキップせずに10回クリアしよう"
"1","1","43","3","200","26041","1","260411001","0","ゲームに1回ログインしよう"
"2","500","45","3","200","26041","1","260411002","0","スタミナを500消費しよう"
"3","4","47","3","200","26041","1","260411003","0","経験値クエストかマナクエストを合計4回クリアしよう"
"4","10","48","3","200","26041","1","260411004","0","メイン・イベント・サイドいずれかのクエストを10回クリアしよう"
"5","10","49","3","200","26041","1","260411005","0","深域クエストを10回クリアしよう"
"1001","5","22","5","100","26041","3","260411006","0","究極錬成を5回行おう"
"1002","10","22","5","200","26041","3","260411007","0","究極錬成を10回行おう"
"1003","30","22","5","300","26041","3","260411008","0","究極錬成を30回行おう"
"1004","50","22","5","400","26041","3","260411009","0","究極錬成を50回行おう"
"1005","70","22","5","500","26041","3","260411010","0","究極錬成を70回行おう"
"1006","100","22","5","1000","26041","3","260411011","0","究極錬成を100回行おう"
"1007","10","42","5","1000","26041","3","260411012","0","コネクトRANKを合計10上げよう"
"1008","100","56","5","1000","26041","3","260411013","0","キャラのレベルを合計で100上げよう"
"1009","200","56","5","2000","26041","3","260411014","0","キャラのレベルを合計で200上げよう"
"1010","5","55","5","1000","26041","3","260411015","0","黎明界ラビリンスをスキップせずに5回クリアしよう"
"1011","10","55","5","2000","26041","3","260411016","0","黎明界ラビリンスをスキップせずに10回クリアしよう"
"1","1","43","3","200","26051","1","260511001","0","ゲームに1回ログインしよう"
"2","500","45","3","200","26051","1","260511002","0","スタミナを500消費しよう"
"3","4","47","3","200","26051","1","260511003","0","経験値クエストかマナクエストを合計4回クリアしよう"
"4","10","48","3","200","26051","1","260511004","0","メイン・イベント・サイドいずれかのクエストを10回クリアしよう"
"5","10","49","3","200","26051","1","260511005","0","深域クエストを10回クリアしよう"
"1001","5","22","5","100","26051","3","260511006","0","究極錬成を5回行おう"
"1002","10","22","5","200","26051","3","260511007","0","究極錬成を10回行おう"
"1003","30","22","5","300","26051","3","260511008","0","究極錬成を30回行おう"
"1004","50","22","5","400","26051","3","260511009","0","究極錬成を50回行おう"
"1005","70","22","5","500","26051","3","260511010","0","究極錬成を70回行おう"
"1006","100","22","5","1000","26051","3","260511011","0","究極錬成を100回行おう"
"1007","10","42","5","1000","26051","3","260511012","0","コネクトRANKを合計10上げよう"
"1008","100","56","5","1000","26051","3","260511013","0","キャラのレベルを合計で100上げよう"
"1009","200","56","5","2000","26051","3","260511014","0","キャラのレベルを合計で200上げよう"
"1010","5","55","5","1000","26051","3","260511015","0","黎明界ラビリンスをスキップせずに5回クリアしよう"
"1011","10","55","5","2000","26051","3","260511016","0","黎明界ラビリンスをスキップせずに10回クリアしよう"
