e2564df4c4e84f4dca089c4971342a3e015d91d8a62369aae6c2de674bba3ab3,d602bb8933644277fac39b4155d1054d08b48df70722c2b4a647470bc18c6e5f,b98c22ef4571e7eb6750ea3fb365d573ef9a39e482bc62feda123640ca4492a4,66be133542f70cec154255bab91450e84236030e93081d51127eb97d66b20dcf,bf5b87c5cd4837d8eb8aa2dcc7cf6892b71bba4f3c1e13c7638f15bdb651dd59,ae199d5cccb98d70231de1f622089bd4fbecb4a19486f4da0b58ae6453339d8f,9fbd15a7de11bb10e8f32f7ce272f46370b4b84f4fcc037666499b08b0235601
"1","0","0","3","1","料理入手イベント","0"
"2","0","0","1","2","ダイス入手イベント1","0"
"3","0","0","2","2","ダイス入手イベント2","0"
"4","0","1","0","3","ターン数カウントスキップ","3"
"5","1","0","100","4","マイル+100%","2"
"6","1","0","100","5","ミニゲームマイル+100%","2"
"7","1","0","300","6","ショップ割引イベント","3"
"8","1","0","300","6","ショップ割引イベント","3"
"98001","0","2","0","3","ターン数カウントスキップ1","3"
"98011","0","1","0","3","ターン数カウントスキップ1","3"
"98012","0","2","0","3","ターン数カウントスキップ2","3"
