f5a689359f086036c7cafc79826dd3afdd5fc4b3c0743f711f4819a399ab77da,e2e1947fe701bb56c7c717c3e2a89affb296eb5f4ffdcac53bb91d9ad06e144e,b0d54e7814fa67b936c1f1329c4f204d88172b9d5f226bd1a39d51f52c0214d0,b4cb3898454fd45c6f10fd5b38f0d2b8e3d9e163c9ae478ff96a01fdcea9ec4c
"10203","2025/03/31 12:00:00","104001","1020301"
"10203","2025/03/31 12:00:00","126401","1020302"
"10203","2025/04/15 15:00:00","134701","1020303"
"10203","2025/03/31 12:00:00","126501","1020304"
"10203","2025/03/31 12:00:00","127801","1020305"
"10204","2025/05/15 15:00:00","132501","1020401"
"10204","2025/05/03 19:00:00","132301","1020402"
"10204","2025/04/30 12:00:00","100901","1020403"
"10204","2025/04/30 12:00:00","102701","1020404"
"10204","2025/04/30 12:00:00","101301","1020405"
"10204","2025/04/30 12:00:00","105101","1020406"
"10204","2025/04/30 12:00:00","105601","1020407"
"10205","2025/06/10 12:00:00","134901","1020501"
"10205","2025/05/31 12:00:00","105401","1020502"
"10205","2025/05/31 12:00:00","113901","1020503"
"10205","2025/05/31 12:00:00","117401","1020504"
"10205","2025/05/31 12:00:00","134801","1020505"
"10205","2025/05/31 12:00:00","106501","1020506"
"10205","2025/05/31 12:00:00","104501","1020507"
"10205","2025/05/31 12:00:00","129701","1020508"
"10206","2025/06/30 12:00:00","129001","1020601"
"10206","2025/06/30 12:00:00","106401","1020602"
"10206","2025/06/30 12:00:00","126101","1020603"
"10207","2025/07/31 12:00:00","129601","1020701"
"10207","2025/07/31 12:00:00","126001","1020702"
"10207","2025/07/31 12:00:00","106001","1020703"
"10207","2025/07/31 12:00:00","103001","1020704"
"10207","2025/07/31 12:00:00","129701","1020705"
"10207","2025/07/31 12:00:00","125801","1020706"
"10208","2025/08/31 12:00:00","135501","1020801"
"10208","2025/09/08 12:00:00","135601","1020802"
"10208","2025/08/31 12:00:00","100101","1020803"
"10208","2025/08/31 12:00:00","100301","1020804"
"10209","2025/10/10 12:00:00","135901","1020901"
"10209","2025/09/30 12:00:00","135801","1020902"
"10209","2025/09/30 12:00:00","133101","1020903"
"10209","2025/09/30 12:00:00","133001","1020904"
"10209","2025/09/30 12:00:00","100701","1020905"
"10210","2025/10/31 12:00:00","136001","1021001"
"10210","2025/10/31 12:00:00","101401","1021002"
"10210","2025/11/14 12:00:00","136201","1021003"
"10210","2025/10/31 12:00:00","134901","1021004"
"10210","2025/10/31 12:00:00","129701","1021005"
"10210","2025/10/31 12:00:00","134701","1021006"
"10210","2025/10/31 12:00:00","134801","1021007"
"10211","2025/11/30 12:00:00","118201","1021101"
"10211","2025/11/30 12:00:00","100201","1021102"
"10211","2025/11/30 12:00:00","101201","1021103"
"10211","2025/11/30 12:00:00","104301","1021104"
