f92cae71ac231bb98e17b547d074bc42675a9d090d439d8e40a82f50781895dc,a382bd53b4393cb44353d9ac95baff4408b7db5a22e048dfb734061885b09032,f6da76faf41a97c97cf5208a57122108ede45ac8b3a4782911dee10735ed4237,152b6d7407c3a03b7ad1f444e180cb43c7c9fc202377808350c7c0745742d893,1ddc9885c1ad9f545a9383c2d2cd3ada9077bd36d4699d4bc0f09a24c81472de,1752ca013273bb63356ade978d5f5315cd0b8ccb0582a5862ae022745fefc281,f16ce828dd1c37de70b9d7f0069baa46942c2f9287281ddd1e88c3499b6ab01a,54116bf625ac8d356caf0dac6fbeb5b07b0d99385f7bf5fa970301cb0316c44b
"1005","1005","0","バトル開始時、味方のＴＰが250アップ","1005","0","ＴＰ250アップ","2"
"1006","1006","0","バトル開始時、味方のＴＰが250アップ","1006","0","ＴＰ250アップ","2"
"1007","1007","0","バトル開始時、味方のＴＰが250アップ","1007","0","ＴＰ250アップ","2"
"1008","1008","0","バトル開始時、味方のＴＰが250アップ","1008","0","ＴＰ250アップ","2"
"100501","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100501","27160000000000","物理攻撃ダウン90秒","1"
"100502","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100502","26040000000000","物理攻撃ダウン90秒","1"
"100503","1005","36000","バトル開始から90秒間、敵の物理防御力がダウン","100503","25200000000000","物理防御ダウン90秒","1"
"100504","1005","36000","バトル開始から90秒間、敵の魔法防御力がダウン","100504","24360000000000","魔法防御ダウン90秒","1"
"100505","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100505","23520000000000","物理攻撃ダウン90秒","1"
"100506","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100506","22400000000000","物理攻撃ダウン90秒","1"
"100507","1005","36000","バトル開始から90秒間、敵の物理防御力がダウン","100507","21560000000000","物理防御ダウン90秒","1"
"100508","1005","36000","バトル開始から90秒間、敵の魔法防御力がダウン","100508","20720000000000","魔法防御ダウン90秒","1"
"100509","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100509","19600000000000","物理攻撃ダウン90秒","1"
"100510","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100510","18760000000000","物理攻撃ダウン90秒","1"
"100511","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100511","17920000000000","物理攻撃ダウン90秒","1"
"100512","1005","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","100512","16800000000000","物理攻撃ダウン90秒","1"
"100513","1005","36000","バトル開始から90秒間、敵の物理防御力がダウン","100513","15960000000000","物理防御ダウン90秒","1"
"100514","1005","36000","バトル開始から90秒間、敵の魔法防御力がダウン","100514","15120000000000","魔法防御ダウン90秒","1"
