4888aef4e0368e9657f03794c56e8578bf3f642fecd4538ff8c697518c3ecbf5,1885e87c39a797dc788d315f927f779ddb5604497b06b29d98550dda24901fb7,4c62d20bcb9e56bed72e9e1986a50225a11bfcd9e8744a034495ad8ee188cc9b,3515349676e193815cda57d78a948aa98497b41cce2821117a3ed572c3437f40,674d7c2df39046857e5a6dabca43e3eee4c8a5192b187515cac76f17b46aca44
"12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10101","1"
"15","光属性ボーナスアップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10102","1"
"damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10103","1"
"def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10104","1"
"12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10201","2"
"15","光属性ボーナスアップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10202","2"
"damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10203","2"
"def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10204","2"
"damage_cut","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","10205","2"
"damage_up","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","10206","2"
"def_up","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","10207","2"
"12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10301","3"
"15","光属性ボーナスアップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10302","3"
"damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10303","3"
"def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10304","3"
"damage_cut","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","10305","3"
"damage_up","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","10306","3"
"def_up","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","10307","3"
"life_steal_down","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","10308","3"
"tp_down_cut","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","10309","3"
"hp_recovery_down","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","10310","3"
"12","火属性ボーナスアップ","火属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10401","4"
"15","光属性ボーナスアップ","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。火属性と光属性以外の属性ボーナスを無効化する。","10402","4"
"damage_limit","ダメージ減衰","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","10403","4"
"def_lower_limit","防御力（ダウン不可）アップ","すべてのモンスターの物理/魔法防御力をアップさせる。この効果は物理/魔法防御力ダウンの影響を受けない。","10404","4"
"damage_cut","全ダメージカット","すべてのモンスターが受けるダメージを一定値カットさせる。","10405","4"
"damage_up","与ダメージアップ","すべてのモンスターの与えるダメージをアップさせる。","10406","4"
"def_up","防御力アップ","すべてのモンスターの物理/魔法防御力をアップさせる。","10407","4"
"critical_down","クリティカルダウン","すべてのキャラの物理/魔法クリティカルをダウンさせる。","10408","4"
"life_steal_down","ＨＰ吸収ダウン","すべてのキャラのＨＰ吸収をダウンさせる。","10409","4"
"tp_down_cut","ＴＰダウンカット","すべてのモンスターがＴＰダウンカット状態になる。","10410","4"
"hp_recovery_down","ＨＰ回復量ダウン","すべてのキャラのＨＰ回復量をダウンさせる。","10411","4"
