fa85ecb8dc5fb141122b14c2e0c9ede1bfb94edff7101c844ab0e230b085e083,33223bae3335c14905323a89ee6afec422ceeb6c22ab348c3ba27309cd4a355f,80805745f0c377fae96c1a702d3c632e3252b9f46a2403f632a4c0d757641b4d,9f987d38f286047b974f0e9cf7f1695a2ab26d25e9810569deabe1f14cabcf1e,ac4e2da62aec463f7657ac185f045f6a5464531221641404bfa1b12dbe1c9692
"8","72001001","91002","30","20001001"
"2","72001001","22002","1","20001002"
"8","72001002","91002","30","20001003"
"2","72001002","22002","1","20001004"
"8","72001003","91002","30","20001005"
"2","72001003","22002","1","20001006"
"8","72001004","91002","30","20001007"
"2","72001004","22002","1","20001008"
"8","72001005","91002","30","20001009"
"2","72001005","22002","1","20001010"
"8","72001006","91002","30","20001011"
"2","72001006","22002","1","20001012"
"8","72001007","91002","30","20001013"
"2","72001007","22002","1","20001014"
"8","72001008","91002","30","20001015"
"2","72001008","22002","1","20001016"
"8","72001009","91002","30","20001017"
"2","72001009","22002","1","20001018"
"8","72001010","91002","30","20001019"
"2","72001010","22002","1","20001020"
"8","72001011","91002","30","20001021"
"2","72001011","22002","1","20001022"
"8","72001012","91002","30","20001023"
"2","72001012","22002","1","20001024"
"8","72001013","91002","30","20001025"
"2","72001013","22002","1","20001026"
"8","72001014","91002","30","20001027"
"2","72001014","22002","1","20001028"
"8","72001015","91002","200","20001029"
"2","72001015","22002","1","20001030"
"8","72001016","91002","60","20001031"
"2","72001016","22002","2","20001032"
"8","72001017","91002","60","20001033"
"2","72001017","22002","2","20001034"
"8","72001018","91002","60","20001035"
"2","72001018","22002","2","20001036"
"8","72001019","91002","60","20001037"
"2","72001019","22002","2","20001038"
"8","72001020","91002","300","20001039"
"2","72001020","22002","2","20001040"
"2","72001021","31012","5","20001041"
"2","72001021","31038","5","20001042"
"2","72001022","31012","5","20001043"
"2","72001022","31038","5","20001044"
"2","72001023","31012","10","20001045"
"2","72001023","31038","10","20001046"
"8","72002001","91002","30","20002001"
"2","72002001","22002","1","20002002"
"8","72002002","91002","30","20002003"
"2","72002002","22002","1","20002004"
"8","72002003","91002","30","20002005"
"2","72002003","22002","1","20002006"
"8","72002004","91002","30","20002007"
"2","72002004","22002","1","20002008"
"8","72002005","91002","30","20002009"
"2","72002005","22002","1","20002010"
"8","72002006","91002","30","20002011"
"2","72002006","22002","1","20002012"
"8","72002007","91002","30","20002013"
"2","72002007","22002","1","20002014"
"8","72002008","91002","30","20002015"
"2","72002008","22002","1","20002016"
"8","72002009","91002","30","20002017"
"2","72002009","22002","1","20002018"
"8","72002010","91002","30","20002019"
"2","72002010","22002","1","20002020"
"8","72002011","91002","30","20002021"
"2","72002011","22002","1","20002022"
"8","72002012","91002","30","20002023"
"2","72002012","22002","1","20002024"
"8","72002013","91002","30","20002025"
"2","72002013","22002","1","20002026"
"8","72002014","91002","30","20002027"
"2","72002014","22002","1","20002028"
"8","72002015","91002","200","20002029"
"2","72002015","22002","1","20002030"
"8","72002016","91002","60","20002031"
"2","72002016","22002","2","20002032"
"8","72002017","91002","60","20002033"
"2","72002017","22002","2","20002034"
"8","72002018","91002","60","20002035"
"2","72002018","22002","2","20002036"
"8","72002019","91002","60","20002037"
"2","72002019","22002","2","20002038"
"8","72002020","91002","300","20002039"
"2","72002020","22002","2","20002040"
"2","72002021","31020","5","20002041"
"2","72002021","31004","5","20002042"
"2","72002022","31020","5","20002043"
"2","72002022","31004","5","20002044"
"2","72002023","31020","10","20002045"
"2","72002023","31004","10","20002046"
"8","72003001","91002","30","20003001"
"2","72003001","22002","1","20003002"
"8","72003002","91002","30","20003003"
"2","72003002","22002","1","20003004"
"8","72003003","91002","30","20003005"
"2","72003003","22002","1","20003006"
"8","72003004","91002","30","20003007"
"2","72003004","22002","1","20003008"
"8","72003005","91002","30","20003009"
"2","72003005","22002","1","20003010"
"8","72003006","91002","30","20003011"
"2","72003006","22002","1","20003012"
"8","72003007","91002","30","20003013"
"2","72003007","22002","1","20003014"
"8","72003008","91002","30","20003015"
"2","72003008","22002","1","20003016"
"8","72003009","91002","30","20003017"
"2","72003009","22002","1","20003018"
"8","72003010","91002","30","20003019"
"2","72003010","22002","1","20003020"
"8","72003011","91002","30","20003021"
"2","72003011","22002","1","20003022"
"8","72003012","91002","30","20003023"
"2","72003012","22002","1","20003024"
"8","72003013","91002","30","20003025"
"2","72003013","22002","1","20003026"
"8","72003014","91002","30","20003027"
"2","72003014","22002","1","20003028"
"8","72003015","91002","200","20003029"
"2","72003015","22002","1","20003030"
"8","72003016","91002","60","20003031"
"2","72003016","22002","2","20003032"
"8","72003017","91002","60","20003033"
"2","72003017","22002","2","20003034"
"8","72003018","91002","60","20003035"
"2","72003018","22002","2","20003036"
"8","72003019","91002","60","20003037"
"2","72003019","22002","2","20003038"
"8","72003020","91002","300","20003039"
"2","72003020","22002","2","20003040"
"2","72003021","31010","5","20003041"
"2","72003021","31017","5","20003042"
"2","72003022","31010","5","20003043"
"2","72003022","31017","5","20003044"
"2","72003023","31010","10","20003045"
"2","72003023","31017","10","20003046"
"8","72004001","91002","30","20004001"
"2","72004001","22002","1","20004002"
"8","72004002","91002","30","20004003"
"2","72004002","22002","1","20004004"
"8","72004003","91002","30","20004005"
"2","72004003","22002","1","20004006"
"8","72004004","91002","30","20004007"
"2","72004004","22002","1","20004008"
"8","72004005","91002","30","20004009"
"2","72004005","22002","1","20004010"
"8","72004006","91002","30","20004011"
"2","72004006","22002","1","20004012"
"8","72004007","91002","30","20004013"
"2","72004007","22002","1","20004014"
"8","72004008","91002","30","20004015"
"2","72004008","22002","1","20004016"
"8","72004009","91002","30","20004017"
"2","72004009","22002","1","20004018"
"8","72004010","91002","30","20004019"
"2","72004010","22002","1","20004020"
"8","72004011","91002","30","20004021"
"2","72004011","22002","1","20004022"
"8","72004012","91002","30","20004023"
"2","72004012","22002","1","20004024"
"8","72004013","91002","30","20004025"
"2","72004013","22002","1","20004026"
"8","72004014","91002","30","20004027"
"2","72004014","22002","1","20004028"
"8","72004015","91002","200","20004029"
"2","72004015","22002","1","20004030"
"8","72004016","91002","60","20004031"
"2","72004016","22002","2","20004032"
"8","72004017","91002","60","20004033"
"2","72004017","22002","2","20004034"
"8","72004018","91002","60","20004035"
"2","72004018","22002","2","20004036"
"8","72004019","91002","60","20004037"
"2","72004019","22002","2","20004038"
"8","72004020","91002","300","20004039"
"2","72004020","22002","2","20004040"
"1","72004021","107601","1","20004041"
"2","72004022","31076","10","20004042"
"2","72004022","31028","10","20004043"
"2","72004023","31076","10","20004044"
"2","72004023","31028","10","20004045"
"8","72005001","91002","30","20005001"
"2","72005001","22002","1","20005002"
"8","72005002","91002","30","20005003"
"2","72005002","22002","1","20005004"
"8","72005003","91002","30","20005005"
"2","72005003","22002","1","20005006"
"8","72005004","91002","30","20005007"
"2","72005004","22002","1","20005008"
"8","72005005","91002","30","20005009"
"2","72005005","22002","1","20005010"
"8","72005006","91002","30","20005011"
"2","72005006","22002","1","20005012"
"8","72005007","91002","30","20005013"
"2","72005007","22002","1","20005014"
"8","72005008","91002","30","20005015"
"2","72005008","22002","1","20005016"
"8","72005009","91002","30","20005017"
"2","72005009","22002","1","20005018"
"8","72005010","91002","30","20005019"
"2","72005010","22002","1","20005020"
"8","72005011","91002","30","20005021"
"2","72005011","22002","1","20005022"
"8","72005012","91002","30","20005023"
"2","72005012","22002","1","20005024"
"8","72005013","91002","30","20005025"
"2","72005013","22002","1","20005026"
"8","72005014","91002","30","20005027"
"2","72005014","22002","1","20005028"
"8","72005015","91002","200","20005029"
"2","72005015","22002","1","20005030"
"8","72005016","91002","60","20005031"
"2","72005016","22002","2","20005032"
"8","72005017","91002","60","20005033"
"2","72005017","22002","2","20005034"
"8","72005018","91002","60","20005035"
"2","72005018","22002","2","20005036"
"8","72005019","91002","60","20005037"
"2","72005019","22002","2","20005038"
"8","72005020","91002","300","20005039"
"2","72005020","22002","2","20005040"
"1","72005021","108001","1","20005041"
"2","72005022","31080","10","20005042"
"2","72005022","31032","10","20005043"
"2","72005023","31080","10","20005044"
"2","72005023","31032","10","20005045"
"8","72006001","91002","30","20006001"
"2","72006001","22002","1","20006002"
"8","72006002","91002","30","20006003"
"2","72006002","22002","1","20006004"
"8","72006003","91002","30","20006005"
"2","72006003","22002","1","20006006"
"8","72006004","91002","30","20006007"
"2","72006004","22002","1","20006008"
"8","72006005","91002","30","20006009"
"2","72006005","22002","1","20006010"
"8","72006006","91002","30","20006011"
"2","72006006","22002","1","20006012"
"8","72006007","91002","30","20006013"
"2","72006007","22002","1","20006014"
"8","72006008","91002","30","20006015"
"2","72006008","22002","1","20006016"
"8","72006009","91002","30","20006017"
"2","72006009","22002","1","20006018"
"8","72006010","91002","30","20006019"
"2","72006010","22002","1","20006020"
"8","72006011","91002","30","20006021"
"2","72006011","22002","1","20006022"
"8","72006012","91002","30","20006023"
"2","72006012","22002","1","20006024"
"8","72006013","91002","30","20006025"
"2","72006013","22002","1","20006026"
"8","72006014","91002","30","20006027"
"2","72006014","22002","1","20006028"
"8","72006015","91002","200","20006029"
"2","72006015","22002","1","20006030"
"8","72006016","91002","60","20006031"
"2","72006016","22002","2","20006032"
"8","72006017","91002","60","20006033"
"2","72006017","22002","2","20006034"
"8","72006018","91002","60","20006035"
"2","72006018","22002","2","20006036"
"8","72006019","91002","60","20006037"
"2","72006019","22002","2","20006038"
"8","72006020","91002","300","20006039"
"2","72006020","22002","2","20006040"
"2","72006021","31047","5","20006041"
"2","72006021","31034","5","20006042"
"2","72006022","31047","5","20006043"
"2","72006022","31034","5","20006044"
"2","72006023","31047","10","20006045"
"2","72006023","31034","10","20006046"
"8","72007001","91002","30","20007001"
"2","72007001","22002","1","20007002"
"8","72007002","91002","30","20007003"
"2","72007002","22002","1","20007004"
"8","72007003","91002","30","20007005"
"2","72007003","22002","1","20007006"
"8","72007004","91002","30","20007007"
"2","72007004","22002","1","20007008"
"8","72007005","91002","30","20007009"
"2","72007005","22002","1","20007010"
"8","72007006","91002","30","20007011"
"2","72007006","22002","1","20007012"
"8","72007007","91002","30","20007013"
"2","72007007","22002","1","20007014"
"8","72007008","91002","30","20007015"
"2","72007008","22002","1","20007016"
"8","72007009","91002","30","20007017"
"2","72007009","22002","1","20007018"
"8","72007010","91002","30","20007019"
"2","72007010","22002","1","20007020"
"8","72007011","91002","30","20007021"
"2","72007011","22002","1","20007022"
"8","72007012","91002","30","20007023"
"2","72007012","22002","1","20007024"
"8","72007013","91002","30","20007025"
"2","72007013","22002","1","20007026"
"8","72007014","91002","30","20007027"
"2","72007014","22002","1","20007028"
"8","72007015","91002","200","20007029"
"2","72007015","22002","1","20007030"
"8","72007016","91002","60","20007031"
"2","72007016","22002","2","20007032"
"8","72007017","91002","60","20007033"
"2","72007017","22002","2","20007034"
"8","72007018","91002","60","20007035"
"2","72007018","22002","2","20007036"
"8","72007019","91002","60","20007037"
"2","72007019","22002","2","20007038"
"8","72007020","91002","300","20007039"
"2","72007020","22002","2","20007040"
"1","72007021","108201","1","20007041"
"2","72007022","31082","10","20007042"
"2","72007022","31022","10","20007043"
"2","72007023","31082","10","20007044"
"2","72007023","31022","10","20007045"
"8","72008001","91002","30","20008001"
"2","72008001","22002","1","20008002"
"8","72008002","91002","30","20008003"
"2","72008002","22002","1","20008004"
"8","72008003","91002","30","20008005"
"2","72008003","22002","1","20008006"
"8","72008004","91002","30","20008007"
"2","72008004","22002","1","20008008"
"8","72008005","91002","30","20008009"
"2","72008005","22002","1","20008010"
"8","72008006","91002","30","20008011"
"2","72008006","22002","1","20008012"
"8","72008007","91002","30","20008013"
"2","72008007","22002","1","20008014"
"8","72008008","91002","30","20008015"
"2","72008008","22002","1","20008016"
"8","72008009","91002","30","20008017"
"2","72008009","22002","1","20008018"
"8","72008010","91002","30","20008019"
"2","72008010","22002","1","20008020"
"8","72008011","91002","30","20008021"
"2","72008011","22002","1","20008022"
"8","72008012","91002","30","20008023"
"2","72008012","22002","1","20008024"
"8","72008013","91002","30","20008025"
"2","72008013","22002","1","20008026"
"8","72008014","91002","30","20008027"
"2","72008014","22002","1","20008028"
"8","72008015","91002","200","20008029"
"2","72008015","22002","1","20008030"
"8","72008016","91002","60","20008031"
"2","72008016","22002","2","20008032"
"8","72008017","91002","60","20008033"
"2","72008017","22002","2","20008034"
"8","72008018","91002","60","20008035"
"2","72008018","22002","2","20008036"
"8","72008019","91002","60","20008037"
"2","72008019","22002","2","20008038"
"8","72008020","91002","300","20008039"
"2","72008020","22002","2","20008040"
"2","72008021","31009","5","20008041"
"2","72008021","31051","5","20008042"
"2","72008022","31009","5","20008043"
"2","72008022","31051","5","20008044"
"2","72008023","31009","10","20008045"
"2","72008023","31051","10","20008046"
"8","72009001","91002","30","20009001"
"2","72009001","22002","1","20009002"
"8","72009002","91002","30","20009003"
"2","72009002","22002","1","20009004"
"8","72009003","91002","30","20009005"
"2","72009003","22002","1","20009006"
"8","72009004","91002","30","20009007"
"2","72009004","22002","1","20009008"
"8","72009005","91002","30","20009009"
"2","72009005","22002","1","20009010"
"8","72009006","91002","30","20009011"
"2","72009006","22002","1","20009012"
"8","72009007","91002","30","20009013"
"2","72009007","22002","1","20009014"
"8","72009008","91002","30","20009015"
"2","72009008","22002","1","20009016"
"8","72009009","91002","30","20009017"
"2","72009009","22002","1","20009018"
"8","72009010","91002","30","20009019"
"2","72009010","22002","1","20009020"
"8","72009011","91002","30","20009021"
"2","72009011","22002","1","20009022"
"8","72009012","91002","30","20009023"
"2","72009012","22002","1","20009024"
"8","72009013","91002","30","20009025"
"2","72009013","22002","1","20009026"
"8","72009014","91002","30","20009027"
"2","72009014","22002","1","20009028"
"8","72009015","91002","200","20009029"
"2","72009015","22002","1","20009030"
"8","72009016","91002","60","20009031"
"2","72009016","22002","2","20009032"
"8","72009017","91002","60","20009033"
"2","72009017","22002","2","20009034"
"8","72009018","91002","60","20009035"
"2","72009018","22002","2","20009036"
"8","72009019","91002","60","20009037"
"2","72009019","22002","2","20009038"
"8","72009020","91002","300","20009039"
"2","72009020","22002","2","20009040"
"1","72009021","108501","1","20009041"
"2","72009022","31085","10","20009042"
"2","72009022","31029","10","20009043"
"2","72009023","31085","10","20009044"
"2","72009023","31029","10","20009045"
"8","72010001","91002","30","20010001"
"2","72010001","22002","1","20010002"
"8","72010002","91002","30","20010003"
"2","72010002","22002","1","20010004"
"8","72010003","91002","30","20010005"
"2","72010003","22002","1","20010006"
"8","72010004","91002","30","20010007"
"2","72010004","22002","1","20010008"
"8","72010005","91002","30","20010009"
"2","72010005","22002","1","20010010"
"8","72010006","91002","30","20010011"
"2","72010006","22002","1","20010012"
"8","72010007","91002","30","20010013"
"2","72010007","22002","1","20010014"
"8","72010008","91002","30","20010015"
"2","72010008","22002","1","20010016"
"8","72010009","91002","30","20010017"
"2","72010009","22002","1","20010018"
"8","72010010","91002","30","20010019"
"2","72010010","22002","1","20010020"
"8","72010011","91002","30","20010021"
"2","72010011","22002","1","20010022"
"8","72010012","91002","30","20010023"
"2","72010012","22002","1","20010024"
"8","72010013","91002","30","20010025"
