ea434118e538db5be7a985f1dcd7c31e24f91f89de3885dc4b5cc68242b8e790,3d1e0fe38babac2548e6893b189231ba9bd40bc48ca84698b18711071ce6e0b6,13fab2cd3114789c2dc632ac55a289630a812a6846e1f6160eaf2e8097bb8644,589e1a2f8a47fbc5dcf62ec71f27a98429e47d283587a3bf674519448bf76b21,0080f7616ece9ba86630d70ddcdde483bf04183ef0cb48f1ec2128196e5e7f0a,da6ad9d90c875df0244331259c7332b3607568a2fe07e94b538d9bbf7e73c602
"211","2114001","212","1","802100290","1005"
"211","2114002","212","1","802100290","1006"
"211","2114003","212","1","802100290","1007"
"211","2114004","212","1","802100290","1008"
"104","2113061","100","0","802100266","100501"
"104","2113062","100","0","802100266","100502"
"105","2113063","102","0","802100266","100503"
"106","2113064","103","0","802100266","100504"
"104","2113065","100","0","802100266","100505"
"104","2113066","100","0","802100266","100506"
"105","2113067","102","0","802100266","100507"
"106","2113068","103","0","802100266","100508"
"104","2113069","100","0","802100266","100509"
"104","2113070","100","0","802100266","100510"
"104","2113071","100","0","802100267","100511"
"104","2113072","100","0","802100267","100512"
"105","2113073","102","0","802100267","100513"
"106","2113074","103","0","802100267","100514"
"104","2113075","100","0","802100267","100515"
"104","2113076","100","0","802100267","100516"
"105","2113077","102","0","802100267","100517"
"106","2113078","103","0","802100267","100518"
"104","2113079","100","0","802100267","100519"
"104","2113080","100","0","802100267","100520"
"104","2113081","100","0","802100268","100521"
"104","2113082","100","0","802100268","100522"
"105","2113083","102","0","802100268","100523"
"106","2113084","103","0","802100268","100524"
"104","2113085","100","0","802100268","100525"
"208","2113086","112","1","802100268","100526"
"201","2113087","110","1","802100268","100527"
"104","2113088","100","0","802100268","100528"
"105","2113089","102","0","802100268","100529"
"106","2113090","103","0","802100268","100530"
"203","2113031","114","1","802100263","100601"
"202","2113032","113","1","802100263","100602"
"105","2113033","102","0","802100263","100603"
"106","2113034","103","0","802100263","100604"
"203","2113035","114","1","802100263","100605"
"202","2113036","113","1","802100263","100606"
"204","2113037","111","1","802100263","100607"
"202","2113038","113","1","802100263","100608"
"202","2113039","113","1","802100263","100609"
"106","2113040","103","0","802100263","100610"
"203","2113041","114","1","802100264","100611"
"202","2113042","113","1","802100264","100612"
"105","2113043","102","0","802100264","100613"
"106","2113044","103","0","802100264","100614"
"203","2113045","114","1","802100264","100615"
"202","2113046","113","1","802100264","100616"
"204","2113047","111","1","802100264","100617"
"202","2113048","113","1","802100264","100618"
"202","2113049","113","1","802100264","100619"
"106","2113050","103","0","802100264","100620"
"105","2113051","102","0","802100265","100621"
"203","2113052","114","1","802100265","100622"
"202","2113053","113","1","802100265","100623"
"204","2113054","111","1","802100265","100624"
"106","2113055","103","0","802100265","100625"
"208","2113056","112","1","802100265","100626"
"201","2113057","110","1","802100265","100627"
"203","2113058","114","1","802100265","100628"
"202","2113059","113","1","802100265","100629"
"106","2113060","103","0","802100265","100630"
"205","2113091","112","1","802100269","100701"
"206","2113092","112","1","802100269","100702"
"102","2113093","117","0","802100269","100703"
"105","2113094","102","0","802100269","100704"
"105","2113095","102","0","802100269","100705"
"202","2113096","113","1","802100269","100706"
"203","2113097","114","1","802100269","100707"
"102","2113098","117","0","802100269","100708"
"105","2113099","102","0","802100269","100709"
"202","2113100","113","1","802100269","100710"
"205","2115001","112","1","802100270","100711"
"102","2115002","117","0","802100270","100712"
"105","2115003","102","0","802100270","100713"
"106","2115004","103","0","802100270","100714"
"203","2115005","114","1","802100270","100715"
"202","2115006","113","1","802100270","100716"
"207","2115007","112","1","802100270","100717"
"105","2115008","102","0","802100270","100718"
"106","2115009","103","0","802100270","100719"
"202","2115010","113","1","802100270","100720"
"205","2115011","112","1","802100271","100721"
"208","2115012","112","1","802100271","100722"
"102","2115013","117","0","802100271","100723"
"105","2115014","102","0","802100271","100724"
"106","2115015","103","0","802100271","100725"
"208","2115016","112","1","802100271","100726"
"201","2115017","110","1","802100271","100727"
"102","2115018","117","0","802100271","100728"
"105","2115019","102","0","802100271","100729"
"106","2115020","103","0","802100271","100730"
"103","2113001","104","0","802100260","100801"
"104","2113002","100","0","802100260","100802"
"104","2113003","100","0","802100260","100803"
"105","2113004","102","0","802100260","100804"
"105","2113005","102","0","802100260","100805"
"104","2113006","100","0","802100260","100806"
"104","2113007","100","0","802100260","100807"
"105","2113008","102","0","802100260","100808"
"105","2113009","102","0","802100260","100809"
"107","2113010","101","0","802100260","100810"
"103","2113011","104","0","802100261","100811"
"104","2113012","100","0","802100261","100812"
"104","2113013","100","0","802100261","100813"
"105","2113014","102","0","802100261","100814"
"106","2113015","103","0","802100261","100815"
"104","2113016","100","0","802100261","100816"
"104","2113017","100","0","802100261","100817"
"105","2113018","102","0","802100261","100818"
"106","2113019","103","0","802100261","100819"
"104","2113020","100","0","802100261","100820"
"103","2113021","104","0","802100262","100821"
"104","2113022","100","0","802100262","100822"
"104","2113023","100","0","802100262","100823"
"105","2113024","102","0","802100262","100824"
"105","2113025","102","0","802100262","100825"
"208","2113026","112","1","802100262","100826"
"201","2113027","110","1","802100262","100827"
"105","2113028","102","0","802100262","100828"
"106","2113029","103","0","802100262","100829"
"103","2113030","104","0","802100262","100830"
