6013da6f5961ff9b37c8f46421e62c2b2d342c272073a210d45cd8ee34ac6463,a5132be11301819a84b6f644d656a6e0cbce667ecdb76572fe27fe27d3448b69,8d29d428d0cbe3864334cb2c1b7ee2809f2e7fc1d23d9aaa3001494c3aabaa3d,052b9b830e77e6a20d0d3a9b6780b86139084470b396fe0de1447c5a9b5ca89b,6c5112c72a8c407f7ea259c6ae73933964ae0410d2d43c21aeec7a24f5090989,454a87147916e671fe0057c12d8364d661d48c89f35b75612658a5abb071603c,dd8fdfc8dcd9ebedd643cf7c52634d4053b36fbee048c75359f1c205597187d9
"ふっふっふ、これでカヤぴぃとボスを見返してやるです！","vo_minigame_1004","1000101","2","1","10001","vo_minigame_1004_top_1_000"
"しりとりでの戦い、お兄さんにも手伝ってもらうです","vo_minigame_1004","1000201","2","1","10002","vo_minigame_1004_top_1_003"
"どんなケンカも売られた以上は買うのが喧嘩屋だ！やってやるぜ！","vo_minigame_1004","1000301","1","2","10003","vo_minigame_1004_top_1_004"
"石板でしりとりか……イノリのヤツおもしろいこと考えるな","vo_minigame_1004","1000401","1","2","10004","vo_minigame_1004_top_1_005"
"しりとりだろうがなんだろうが返り討ちにしてやるぜ","vo_minigame_1004","1000501","1","2","10005","vo_minigame_1004_top_1_006"
"ぐもも……（オデ、ハラヘッタ）","vo_minigame_1004","1000601","2","3","10006","vo_minigame_1004_top_1_007"
"ぐもももも（シリトリ タノシイ）","vo_minigame_1004","1000701","2","3","10007","vo_minigame_1004_top_1_008"
"ぐもももも！（イノリ イイヤツ）","vo_minigame_1004","1000801","2","3","10008","vo_minigame_1004_top_1_009"
"カヤぴぃ相手でも手加減しないです","vo_minigame_1004","1000901","2","1","10009","vo_minigame_1004_top_2_010"
"上等だ！やるからには本気で来いよな","vo_minigame_1004","1000902","1","2","10009","vo_minigame_1004_top_2_011"
"カヤぴぃ、謝るなら今のうちです","vo_minigame_1004","1001001","2","1","10010","vo_minigame_1004_top_2_012"
"イノリこそ泣きを入れるなら今のうちだぜ？","vo_minigame_1004","1001002","1","2","10010","vo_minigame_1004_top_2_013"
"カヤぴぃ、これからは知性の時代ですよ？","vo_minigame_1004","1001101","2","1","10011","vo_minigame_1004_top_2_014"
"待て！オレがバカみたいにいうな！！","vo_minigame_1004","1001102","1","2","10011","vo_minigame_1004_top_2_015"
"さあ、あたしたちの力を見せてやるです","vo_minigame_1004","1001201","1","1","10012","vo_minigame_1004_top_2_016"
"ぐも！（マカセロ！）","vo_minigame_1004","1001202","2","3","10012","vo_minigame_1004_top_2_017"
"よしよし、いいですようまくできたらチョコをあげるです！","vo_minigame_1004","1001301","1","1","10013","vo_minigame_1004_top_2_018"
"ぐも！（オデ チョコスキ）","vo_minigame_1004","1001302","2","3","10013","vo_minigame_1004_top_2_019"
"なあイノリ……もしかして当初の目的見失ってないよな？","vo_minigame_1004","1001401","1","2","10014","vo_minigame_1004_top_2_023"
"もちろん覚えてるですカヤぴぃを倒し我々の知能を証明するです","vo_minigame_1004","1001402","2","1","10014","vo_minigame_1004_top_2_024"
"いくらイノリ相手でも勝ちを譲る気はないからな！","vo_minigame_1004","1001501","1","2","10015","vo_minigame_1004_top_2_025"
"望むところです手加減はなしですよ","vo_minigame_1004","1001502","2","1","10015","vo_minigame_1004_top_2_026"
"へっ、なかなかやるじゃねえか","vo_minigame_1004","1001601","1","2","10016","vo_minigame_1004_top_2_027"
"カヤぴぃも思ったよりやるですね！","vo_minigame_1004","1001602","2","1","10016","vo_minigame_1004_top_2_028"
"お～い、ドラゴンもどき？","vo_minigame_1004","1001701","1","2","10017","vo_minigame_1004_top_2_029"
"ぐもっ！？（ヒッ！）","vo_minigame_1004","1001702","2","3","10017","vo_minigame_1004_top_2_030"
"いやあ、あんときは悪かったなはっはっは","vo_minigame_1004","1001801","1","2","10018","vo_minigame_1004_top_2_031"
"ぐももも……（かやピィ コワカッタ）","vo_minigame_1004","1001802","2","3","10018","vo_minigame_1004_top_2_032"
"お前ってさ……ほんとマヌケな顔してるよな","vo_minigame_1004","1001901","1","2","10019","vo_minigame_1004_top_2_033"
"ぐも……（オマエガ イウカ）","vo_minigame_1004","1001902","2","3","10019","vo_minigame_1004_top_2_034"
"ぐも……（ハラヘッタ チョコホシイ）","vo_minigame_1004","1002001","2","3","10020","vo_minigame_1004_top_2_044"
"なんだ？眠いのか？","vo_minigame_1004","1002002","1","2","10020","vo_minigame_1004_top_2_045"
"ぐもも（コイツ……キケン）","vo_minigame_1004","1002101","2","3","10021","vo_minigame_1004_top_2_046"
"うん？　なんだ？オレの舎弟にでもなりたいのか？","vo_minigame_1004","1002102","1","2","10021","vo_minigame_1004_top_2_047"
