6c3d6e8461669c7e494345b282cad5c9f5ffbc7972b5f5798299c2a1e9fc8ffe,2aeadf8748ca798ad11b947b51e9bae1f1894480d45541785e5cb53bea0d0561,c7bee54f4bb660da447393ec9957b8e3b6631972404a2d8f63a3a1deed2d70c5,fac7f69120acc9f6b191833dc4dc2aa79c192ab60e25d59b43f5ff87c4811975,5982662ec0ee4a08aaa7a034c5c320262b954cc39ea6b81ade980932bf1df1fe,a89427dc6fe8247c88c5a2abf05bb7a9dfa539c75602b9725e1ae61232e07a13,fde1944fb8d56c3ea6a773814f02980feb6f2ec4b6a4f49068c06c0e7292d254,ab73162f00b8c818e53266287f9b2709ecec967588864cc2a58a0117bb118362,6905ef555a3d4a9dd50f2401ae008e32fb02658cf505fc6bfe1e708921508248,95d46df1d273ddb9520c20cc6e5f9bbbc384766d281add3a6932e4a7c5a96069,9827dae540d62e285471e963625b3ebeeab33a98348f22bbf08832830bcefdf3
"1","idle_normal","5","-103","-216","1","100","1.4","1","1001","1"
"","","31","1","-140","13","-57","0","13","1002","1"
"","","31","1","-140","14","-57","0","14","1003","1"
"","","91","","","0","","","0","1004","1"
"0","","3","1","top_luis_arm_crossed_idle","1","0","0.2","top_luis_arm_crossed_in","1005","1"
"","","93","","","4","","","0","1006","1"
"0","","3","1","top_luis_approach_idle","1","0","0.2","top_luis_approach_in","1007","1"
"","","93","","","3.5","","","0","1008","1"
"","","3","","","1","1","0.2","top_luis_thinking","1009","1"
"","","93","","","3.5","","","0","1010","1"
"","","3","","","1","1","0.2","top_luis_walk_think","1011","1"
"","","2","0","2","1","-103","","-495","1012","1"
"","","93","","","2","","","0","1013","1"
"","","4","","","1","","","0","1014","1"
"","","2","0","2","1","-103","","-216","1015","1"
"","","93","","","2","","","0","1016","1"
"","","3","","","1","1","0","top_luis_notice","1017","1"
"","","93","","","1","","","0","1018","1"
"","","3","","","1","1","0.2","top_luis_walk_jog","1019","1"
"","","2","0","0.5","1","-130","","-100","1020","1"
"","","93","","","0.5","","","0","1021","1"
"","","4","","","1","","","1","1022","1"
"0","","3","1","top_luis_sit_idle","1","0","0.2","top_luis_sit_in","1023","1"
"","","93","","","0.1","","","0","1024","1"
"","","2","0","0.4","1","-140","","-57","1025","1"
"","","93","","","1","","","0","1026","1"
"","","3","","","1","0","0.2","top_luis_experiment_failer_in","1027","1"
"","","93","","","2.3","","","0","1028","1"
"","","3","","","1","0","0.1","top_luis_experiment_failer_mix","1029","1"
"","","93","","","2.7","","","0","1030","1"
"","","32","","","13","","","1","1031","1"
"","","3","","","1","0","0.1","top_luis_experiment_failer_burst","1032","1"
"","","93","","","2.7","","","0","1033","1"
"","","3","","","1","0","0.1","top_luis_experiment_failer_out","1034","1"
"","","93","","","1.1","","","0","1035","1"
"0","","3","1","idle_normal","1","0","0.2","top_luis_sit_out","1036","1"
"","","2","0","0.3","1","-130","","-100","1037","1"
"","","93","","","1","","","0","1038","1"
"","","3","","","1","0","0.2","walk_normal","1039","1"
"","","2","0","1","1","-103","","-216","1040","1"
"","","93","","","1","","","0","1041","1"
"","","3","","","1","0","0.1","idle_normal","1042","1"
"","","93","","","0.8","","","0","1043","1"
"","","32","","","13","","","0","1044","1"
"0","","3","1","top_luis_arm_crossed_idle","1","0","0.2","top_luis_arm_crossed_in","1045","1"
"","","93","","","4","","","0","1046","1"
"0","","3","1","top_luis_approach_idle","1","0","0.2","top_luis_approach_in","1047","1"
"","","93","","","3.5","","","0","1048","1"
"","","3","","","1","1","0.2","top_luis_thinking","1049","1"
"","","93","","","3.5","","","0","1050","1"
"","","3","","","1","1","0.2","top_luis_walk_think","1051","1"
"","","2","0","2","1","-103","","-495","1052","1"
"","","93","","","2","","","0","1053","1"
"","","4","","","1","","","0","1054","1"
"","","2","0","2","1","-103","","-216","1055","1"
"","","93","","","2","","","0","1056","1"
"","","3","","","1","1","0","top_luis_notice","1057","1"
"","","93","","","1","","","0","1058","1"
"","","3","","","1","1","0.2","top_luis_walk_jog","1059","1"
"","","2","0","0.5","1","-130","","-100","1060","1"
"","","93","","","0.5","","","0","1061","1"
"","","4","","","1","","","1","1062","1"
"0","","3","1","top_luis_sit_idle","1","0","0.2","top_luis_sit_in","1063","1"
"","","93","","","0.1","","","0","1064","1"
"","","2","0","0.4","1","-140","","-57","1065","1"
"","","93","","","1","","","0","1066","1"
"","","3","","","1","0","0.2","top_luis_experiment_success_in","1067","1"
"","","93","","","2.3","","","0","1068","1"
"","","3","","","1","0","0.1","top_luis_experiment_success_mix","1069","1"
"","","93","","","2.7","","","0","1070","1"
"","","32","","","14","","","1","1071","1"
"","","3","","","1","0","0.1","top_luis_experiment_success_burst","1072","1"
"","","93","","","2.7","","","0","1073","1"
"","","3","","","1","0","0.1","top_luis_experiment_success_out","1074","1"
"","","93","","","1.1","","","0","1075","1"
"0","","3","1","idle_normal","1","0","0.2","top_luis_sit_out","1076","1"
"","","2","0","0.3","1","-130","","-100","1077","1"
"","","93","","","1","","","0","1078","1"
"","","3","","","1","0","0.2","walk_normal","1079","1"
"","","2","0","1","1","-103","","-216","1080","1"
"","","93","","","1","","","0","1081","1"
"","","3","","","1","0","0.1","idle_normal","1082","1"
"","","93","","","0.8","","","0","1083","1"
"","","32","","","14","","","0","1084","1"
"","","101","","0","1005","0","","","1085","1"
"1","top_iroha_read","5","-130","400","2","100","1.43","2","2001","2"
"1","butterfly","5","130","980","11","101","1.4","11","2002","2"
"","","31","1","-130","11","400","0","11","2003","2"
"","","91","","","0","","","0","2004","2"
"","","3","","","2","1","0.2","top_iroha_read","2005","2"
"","","93","","","9","","","0","2006","2"
"","","4","","","11","","","1","2007","2"
"","","2","0","7","11","130","","-980","2008","2"
"","","93","","","2.5","","","0","2009","2"
"","","3","","","2","0","0.2","top_iroha_read_notice","2010","2"
"","","93","","","0.6","","","0","2011","2"
"0","","3","1","top_iroha_run","2","0","0","top_iroha_notice_to_run","2012","2"
"","","93","","","0.4","","","0","2013","2"
"","","32","","","11","","","1","2014","2"
"","","37","","","11","","","smokeR","2015","2"
"","","33","0","4.2","11","-130","","-980","2016","2"
"","","2","0","4.2","2","-130","","-980","2017","2"
"","","93","","","4.2","","","0","2018","2"
"","","32","","","11","","","0","2019","2"
"","","93","","","1","","","0","2020","2"
"","","4","","","11","","","0","2021","2"
"","","2","0","7","11","130","","980","2022","2"
"","","93","","","1.5","","","0","2023","2"
"","","32","","","11","","","1","2024","2"
"","","37","","","11","","","smokeL","2025","2"
"","","33","0","5.964","11","-130","","980","2026","2"
"","","3","","","2","1","0","top_iroha_run_joy","2027","2"
"","","4","","","2","","","0","2028","2"
"","","2","0","5.964","2","-130","","980","2029","2"
"","","93","","","5.964","","","0","2030","2"
"","","32","","","11","","","0","2031","2"
"","","93","","","2","","","0","2032","2"
"","","3","","","2","1","0","top_iroha_walk","2033","2"
"","","4","","","2","","","1","2034","2"
"","","2","0","3","2","-130","","400","2035","2"
"","","33","0","3","11","-130","","400","2036","2"
"","","93","","","3","","","0","2037","2"
"0","","3","1","idle_normal","2","0","0.2","top_iroha_walk_out","2038","2"
"","","93","","","0.4","","","0","2039","2"
"0.2","","3","","","2","0","0.2","top_iroha_sit_in","2040","2"
"","","93","","","4","","","0","2041","2"
"","","101","","","2005","","","","2042","2"
"1","top_sono_readPaper","5","-130","350","3","100","1.38","3","3001","3"
"","","31","1","-18","10","475","1","10","3002","3"
"","","91","","","0","","","0","3003","3"
"","","3","","","3","1","0.2","top_sono_readPaper","3004","3"
