b21d867a5f00f5dd5a2dfda0c89bef5741c6981f97f3f1c1506e786633432dac,fdabdc93ed3268feea0e402d765d47aa28c2fb433ffc073fc10e96fb2917aa97,58459f2600a78b252ca48ce7ac60c691e8115b90939e51884cfbbfdde2a8e5e3,b58f82d5e8a91fd4886df94d334d9b58fa8efe1717de2a69c03579cbb3f10dc9,da2412f4378ed3f312f585fca6bb693504553035d47642e87409ed8557ced412,5254c76320eec529912ef6d894cb48c0d3a9573a702e200bd0ef631b8da99fdd,807fc1cd1eb17e29a8420d1d510153350931ecdd53b20141a7fa229f0ff27c3f
"0","0","4","20036104","開会式","10064","1006401"
"0","0","3","20036104","開会式","10064","1006402"
"1006402","0","1","20036104","徒競走","10064","1006403"
"1006402","0","4","20036104","徒競走","10064","1006404"
"1006402","0","2","20036104","徒競走","10064","1006405"
"1006405","0","2","20036104","騎馬戦","10064","1006406"
"1006405","0","4","20036104","騎馬戦","10064","1006407"
"1006406","0","3","20036106","昼休憩","10064","1006408"
"1006406","0","4","20036106","昼休憩","10064","1006409"
"1006408","0","3","20036106","学術文化出展各種","10064","1006410"
"1006408","0","4","20036106","学術文化出展各種","10064","1006411"
"1006408","0","1","20036106","学術文化出展各種","10064","1006412"
"1006410","0","4","20036108","侍女風給仕喫茶","10064","1006413"
"1006410","0","3","20036108","侍女風給仕喫茶","10064","1006414"
"1006414","0","3","20036113","総合リレー","10064","1006415"
"1006414","0","4","20036113","総合リレー","10064","1006416"
"1006415","2003601","1","0","セレモニーステージ","10064","1006417"
"1006415","2003601","4","0","セレモニーステージ","10064","1006418"
"1006415","2003601","2","0","セレモニーステージ","10064","1006419"
"1006419","2003601","3","0","閉会式","10064","1006420"
"1006419","2003601","4","0","閉会式","10064","1006421"
"1006420","2003601","4","0","コンプリート演出","10064","1006422"
