aae86cf7bf6178fbe370646840d571e9c3b278e7b2d20f6eaaff2bb54a2190c0,d79727cdf6a350d4c70d0d7aec2678bb9960e0cf7aa27e6aa51647001dd893ea,0f67de0d9dfac08a0e24f83329f70703c2097a234a1d3cc46f0dec2e9dfc012a,fc7fc6923ab3a3239b16087e74b3a82a357e24a672793e5d81bfe79dbb0efacd,90ed96559fdd5cd7afa024d6234174bfe9ab33aed44c72c8e6310bd7267fb711,f9e5f48a97a7dc94b6c3f23267f2f49b04d0dd241cc55db262fa9c45739fe56a,0b713e3a27f0e18d6d0db2f53d69c7a575c61317cb311d7af4bb2c7db62662b5,93311ec5dfb31e9947c84765dd9b0f01fa4410431e45c0586f02ded1f51c8301,3d4ce48da7f2c8dc72baff5aebafe7fe10e9cf8a505d4c14eaad997127d203c4,8c6c03731f69d8b99d03e50027defda37b2d74a45f155d877e5bc267a92cbc55,afd388fdf2489d088336ea0f0b32bea4b3148ee99c4f8f108f589f8e2c7d1a87
"-224","1","1.65","drama_idle","100","167","1","1001","129811","1","1"
"-224","1","1.65","drama_idle","100","-49","1","1002","129911","0","1"
"","129811","0.2","","1","","3","1003","drama_idle","","1"
"1","129911","0.2","","0","drama_talk_arm_crossed_loop","3","1004","drama_talk_arm_crossed_in","0","1"
"","vo_minigame_1013","","","0","0","21","1005","vo_minigame_1013_top_talk_1_000","","1"
"0","129911","0","0","6","1","11","1006","魔物がいくらでも\n湧いてくるのなら、\n戦う相手に困りません\nむしろ好都合ですわね","0","1"
"","0","","","","","91","1007","","","1"
"","129911","0.2","","1","","3","1008","drama_idle_arm_crossed","","1"
"1","129811","0.2","","0","drama_talk_doya_loop_smile","3","1009","drama_talk_doya_in_smile","0","1"
"","vo_minigame_1013","","","0","0","21","1010","vo_minigame_1013_top_talk_1_001","","1"
"0","129811","0","0.3","6","1","11","1011","ははっ…\nそんな扱いになると\n魔物も少し気の毒に\n思えちまうな～","0","1"
"","0","","","","","91","1012","","","1"
"","129811","0.2","","1","","3","1013","drama_idle_arm_crossed","","1"
"1","129911","0.2","","0","drama_talk_smile_loop","3","1014","drama_talk_smile_in","0","1"
"","vo_minigame_1013","","","0","0","21","1015","vo_minigame_1013_top_talk_1_002","","1"
"0","129911","0","0.5","5","1","11","1016","訓練の糧になれるなら\n彼らも光栄でしょう\nクスクス…喜びの声が\n聞こえてくるようです","0","1"
"","0","","","","","91","1017","","","1"
"","129911","0.2","","1","","3","1018","drama_idle","","1"
"","129811","0.2","","1","","3","1019","drama_idle","","1"
"-224","1","1.65","drama_idle","100","167","1","2001","129811","1","2"
"-224","1","1.65","drama_idle","100","-49","1","2002","129911","0","2"
"","129911","0.2","","1","","3","2003","drama_idle","","2"
"1","129811","0.2","","0","drama_talk_admire_loop","3","2004","drama_talk_admire_in","","2"
"","vo_minigame_1013","","","0","0","21","2005","vo_minigame_1013_top_talk_2_000","","2"
"0","129811","0","0.5","7","1","11","2006","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","0","2"
"","0","","","","","91","2007","","","2"
"","129811","0.2","","1","","3","2008","drama_idle_admire","","2"
"1","129911","0.2","","0","drama_talk_arm_crossed_loop","3","2009","drama_talk_arm_crossed_in","","2"
"","vo_minigame_1013","","","0","0","21","2010","vo_minigame_1013_top_talk_2_001","","2"
"0","129911","0","0.3","5","1","11","2011","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","0","2"
"","0","","","","","91","2012","","","2"
"","129911","0.2","","1","","3","2013","drama_idle_arm_crossed","","2"
"1","129811","0.2","","0","drama_talk_guts2_loop","3","2014","drama_talk_guts2_in","","2"
"","vo_minigame_1013","","","0","0","21","2015","vo_minigame_1013_top_talk_2_002","","2"
"0","129811","0","0.3","8","1","11","2016","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","0","2"
"","0","","","","","91","2017","","","2"
"","129811","0.2","","1","","3","2018","drama_idle","","2"
"","129911","0.2","","1","","3","2019","drama_idle","","2"
"-224","1","1.65","drama_idle","100","167","1","3001","129811","1","3"
"-224","1","1.65","drama_idle","100","-49","1","3002","129911","0","3"
"","129811","0.2","","1","","3","3003","drama_idle","","3"
"","129911","0.2","","1","","3","3004","drama_talk_thinking","","3"
"","vo_minigame_1013","","","0","0","21","3005","vo_minigame_1013_top_talk_3_000","","3"
"0","129911","0","0.8","5","1","11","3006","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","0","3"
"","0","","","","","91","3007","","","3"
"","129911","0.2","","1","","3","3008","drama_idle_thinking","","3"
"1","129811","0.2","","0","drama_talk_sad_loop","3","3009","drama_talk_sad_in","","3"
"","vo_minigame_1013","","","0","0","21","3010","vo_minigame_1013_top_talk_3_001","","3"
"0","129811","0","0.5","7","1","11","3011","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","0","3"
"","0","","","","","91","3012","","","3"
"","129811","0.2","","1","","3","3013","drama_idle_sad","","3"
"1","129911","0.2","","0","drama_talk_arm_crossed_loop","3","3014","drama_talk_arm_crossed_in","","3"
"","vo_minigame_1013","","","0","0","21","3015","vo_minigame_1013_top_talk_3_002","","3"
"0","129911","0","0.3","6","1","11","3016","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","0","3"
"","0","","","","","91","3017","","","3"
"","129811","0.2","","1","","3","3018","drama_idle","","3"
"","129911","0.2","","1","","3","3019","drama_idle","","3"
"-224","1","1.65","drama_idle","100","167","1","4001","129811","1","4"
"-224","1","1.65","drama_idle","100","-49","1","4002","129911","0","4"
"","129911","0.2","","1","","3","4003","drama_idle","","4"
"1","129811","0.2","","0","drama_talk_doya_loop_shy","3","4004","drama_talk_doya_in_shy","","4"
"","vo_minigame_1013","","","0","0","21","4005","vo_minigame_1013_top_talk_4_000","","4"
"0","129811","0","0.3","7","1","11","4006","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","0","4"
"","0","","","","","91","4007","","","4"
"","129811","0.2","","1","","3","4008","drama_idle_doya_shy","","4"
"1","129911","0.2","","0","drama_talk_wish_loop","3","4009","drama_talk_wish_in","","4"
"","vo_minigame_1013","","","0","0","21","4010","vo_minigame_1013_top_talk_4_001","","4"
"0","129911","0","0.5","5","1","11","4011","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","0","4"
"","0","","","","","91","4012","","","4"
"","129911","0.2","","1","","3","4013","drama_idle_wish","","4"
"0","129811","0.2","","1","","3","4014","drama_idle_thinking_shy","","4"
