2c2236b0824f467a667731bd24f45dac2a8e0b7683ee87cb6a53a1be44badcf6,a2847d0e00ac73a556b52306d3009aa11b67e06649cdcc14ed55ca6a428abd3c,1658f289d1bc9e86eb1bce6b351c4e835a7db284479179f8b23c289f5eb41682,58a77bed614b64ca269058304e6807f23ad5e87f2cbd5b22bb8f53be742c8479,d38ea500881c1759b3328e59fa065670ef824c404dbaa21c9171972f01791a13,ae9ace433a56210cebb06c8399ded22216264f4e4c5934ba8f80791d74d51688,3c2a4048b87f99255e9856ead5347503c841846d4d9f2e1077d12e8e5c1a3226
"Menu01scene1","0","0","10001","0","1","9000000"
"Menu01scene2","0","0","10001","0","1","9000001"
"Menu01scene3","0","0","10001","0","1","9000002"
"Menu01scene4","0","0","10001","0","1","9000003"
"Menu02scene1","0","0","10001","0","1","9000004"
"Menu02scene2","0","0","10001","0","1","9000005"
"Menu02scene3","0","0","10001","0","1","9000006"
"Menu02scene4","0","0","10001","0","1","9000007"
"Menu02scene5","0","0","10001","0","1","9000008"
"Menu02scene6","0","0","10001","0","1","9000009"
"Menu03scene1","0","0","10001","0","1","9000010"
"Menu03scene2","0","0","10001","0","1","9000011"
"Menu03scene3","0","0","10001","0","1","9000012"
"Menu03scene4","0","0","10001","0","1","9000013"
"Menu03scene5","0","0","10001","0","1","9000014"
"Menu03scene6","0","0","10001","0","1","9000015"
"OPscene1","0","0","10001","0","1","9000016"
"OPscene2","0","0","10001","0","1","9000017"
"OPscene3","0","0","10001","0","1","9000018"
"OPscene4","0","0","10001","0","1","9000019"
"OPscene5","0","0","10001","0","1","9000020"
"OPscene6","0","0","10001","0","1","9000021"
"アニメオリジナル　コッコロカスタムマイページ","0","0","10001","0","1","9000022"
"Menu04scene1","0","0","10002","0","1","9000023"
"Menu04scene2","0","0","10002","0","1","9000024"
"Menu04scene3","0","0","10002","0","1","9000025"
"Menu04scene4","0","0","10002","0","1","9000026"
"Menu04scene5","0","0","10002","0","1","9000027"
"Menu04scene6","0","0","10002","0","1","9000028"
"Menu05scene1","0","0","10002","0","1","9000029"
"Menu05scene2","0","0","10002","0","1","9000030"
"Menu05scene3","0","0","10002","0","1","9000031"
"Menu05scene4","0","0","10002","0","1","9000032"
"Menu05scene5","0","0","10002","0","1","9000033"
"Menu05scene6","0","0","10002","0","1","9000034"
