153926bf5a7feee61cfdd842fcc9135d53285cdc009db009af4a7ef07b54a9b9,62ec31e0ed85060009b8b0c41852771a7c6bf6b155af0670928c3c9897020ef6,b0fd2c7e6d5a9b456a8b21f2196e622ed2fb7c6d5fc7407d913205392f98fcb9,f576fc658b5f13bf6a290f5cf5deafad7633a3b493b8d9648c9779583be4fbe7,ddd9bfec3f6241867d41ce1bbe5b16eabb1292d1a858c4c53994af50536e0b16,a364d014055fd64275c2653bcbe872e0079e4cfdfe2da7f0008a658966bce793,cc79efee09c43c446b1146ce4059aa3648b7b33210d8767dee973375e7d1cfca,63a2d4d477b166b64e227b0f3122c0926f9cc29da5b0403b22239ebd8da4f5d5,9883dcae7a0c686dd2483320939579bdd6603a910b7a1898a3c37a151907205f,8b2e5124ef056ba1a4f3d34e88112daea9bc172d63925e2b5fcf49b713cb5721,08dfbd1efa710472d9a20262e52e9dcb4929566866918ce8fb20eaa63871565e,3c59ba37ab70426d81f9c9a39db97339a045df32a3d2acead6eccb52b2fbaeec,dd1b49d792cc0b779dfc9232b304192f58e87801ae0cb65f25bc4525aa3f07c4,bb465e18dc4dd38d84abca8ad52faa9c6557fc993e90a59a0ffb7bf33f0a81e6,565227a5cff04be22031c696b5d7fda3b5f115598a01afe7a1088faa7cde0632,be36fec0ff3d9c573e63d50470a045cbfa7ab014a1e8fe427ab93a3a1b25716f,a362b83557515f0bf95492dc608e186dc613058298f96ba23b185c62a8de0e45
"108","4104351","4201401","4101351","11001","-470","11001001","スィオネ\n樹林","1","7200","43200","100000","1","11001001","10","4101401","4104401"
"90","4110351","4203401","4106351","11001","-235","11001002","ヘリケ巨木","1","7200","43200","100000","2","11001002","10","4106401","4110401"
"108","4105351","4201401","4102351","11001","0","11001003","イオカステ\n岩山","1","7200","43200","100000","3","11001003","10","4102401","4105401"
"90","4109351","4203401","4108351","11001","235","11001004","ハルパリ\n大滝","1","7200","43200","100000","4","11001004","10","4108401","4109401"
"108","4107351","4201401","4103351","11001","470","11001005","ムネメー川","1","7200","43200","100000","5","11001005","10","4103401","4107401"
"108","4101401","4301401","4301351","11002","-470","11002003","アルバ浜堤","1","7200","43200","100000","6","11002001","10","4104401","4201401"
"90","4106401","4305401","4305351","11002","-235","11002002","サダルスド\n砂浜","1","7200","43200","100000","7","11002002","10","4110401","4203401"
"108","4102401","4302401","4302351","11002","0","11002001","ダルリク\n巨岩","1","7200","43200","100000","8","11002003","10","4105401","4201401"
"90","4108401","4304401","4304351","11002","235","11001005","アンカル川","1","7200","43200","100000","9","11002004","10","4109401","4203401"
"108","4103401","4303401","4303351","11002","470","11001001","ダクビア\n森林","1","7200","43200","100000","10","11002005","10","4107401","4201401"
"108","4201401","4109401","4201351","11003","-470","11003001","ミーマス\n洞穴","1","7200","43200","100000","11","11003001","10","4101401","4104401"
"90","4202401","4110401","4202351","11003","-155","11003002","レアント川","1","7200","43200","100000","11","11003002","10","4108401","4102401"
"108","4203401","4109401","4203351","11003","160","11003003","ケランド\n廃墟","1","7200","43200","100000","11","11003003","10","4103401","4105401"
"90","4204401","4110401","4204351","11003","470","11003004","デオネカ\n氷海","1","7200","43200","100000","11","11003004","10","4106401","4107401"
