a6df07ae70282f2f2318c7fb52511b5caa97e0fd986fd3ef08668b8664ca0c5b,21cd4f43a4f81f982bd34e81025eb25b3ea667d6a2559370753dbdb643f4ee8b,146a7c7b015ba36f82b2d1ed495f6a30e1e4cad90b5f9538fe663cbe0ef78eae,a09ff326cce8785f42691f222a56f8f484adc8a2ceb4e2a8ef4fbbd242868177,505cba7940ed213fbc64e16974392df20027b60dd25b5b1484f6501689cb0b3a,4530ddbf5e6c3689c47a474aedb14fea942b24c08b672b95922f5e220cf4020f,58173dcc5c517374a4829844a4d1b2792e47f954b6f6fe582bd20861b25332e0,12a7f1458706b6dd8a9d70c4942bb3cdc9d037c0f6bdc7cd5413215728115ad9,053f65598cf504d6ba6fb8023b4e9bc2563421670ba34353f3b0191c15fa985e,fe3fd4840a06d9d2e88c396714fda29a90f9d7534b625c3b379d71dd114c4021
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","ライラエル","1001","126501",""
"10001","0","","2","最大1000マイルを入手する","2","モニカ","1002","105301",""
"1","0","","3","料理を{0}つ入手する","1","クローチェ","1003","126401",""
"1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3","マツリ","1004","100501","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2","ナナカ","1005","101301","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"4","0","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","2","マコト","1006","104301","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"3","0","","5","出目が{0}のダイスを同時に振って\nどちらか選択できる","3","エリコ","1007","102701","出目が{0}のダイスを同時に振って\nどちらか選択できる"
"7","0","","6","出目の合計が{0}以上になるまで\nダイスを追加で振れる","1","アンナ","1008","100901","出目の合計が{0}以上になるまで\nダイスを追加で振れる"
"10001","0","","1","最大50％割引確定のショップを開く（1品100％割引あり）","1","ミツキ","1009","105101",""
"10001","0","","2","最大1000マイルを入手する","2","イオ","1010","101801",""
"0","0","","8","ダイスの表と裏\nどちらを適用するか選択できる","2","ネフィ＝ネラ","1011","129701","ダイスの表と裏\nどちらを適用するか選択できる"
"1","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","3","スズナ","1012","101601","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
"2","0","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","4","ダイスの目を{0}回振りなおせる","2","ルカ","1013","105601","ダイスの目を{0}回振りなおせる\n（あと{1}回）"
