07bdce2c20f14ba2af6feed2e17a44f83cb7020911ef6c2795e40a1313cade98,a6dc404e811c29b2fa4fdffedd684bebec4bcebea5daffb79d92cff4fd7cb558,c6af074bed0864d5b8febf965040848ae1a4dac4e9018c5de42ce42c5db51945,25b2ae9739cf3d2f930123c562bfdf53629033e6f4e8c236f5d2a916c936a0b1,57a6bc2a17fbb7c38a5d6264c66a4fe544bad386601fa7e7e8804f321048a698,a5c74c6c063fd02a9969faa7b1aae80083e43b39087da72e345f43b9f94d0a15,1d9965fc646c3b35cf1bbb7bb0404fcff17e4ad7a3c9ce5cb51e50a9765637c9,181e4f04b6de730feeb13552387b6added79c7c89224ad43c6030d788912abd1,535c6dbdc706f9811aff563bf550a208ca054bcfde6d978fcdeb8c5f205ebb92
"0","1","43.5","11","502001102","1","0.7","1","320010106"
"0","3","13","67","502001103","2","0.65","2","320010106"
"0","2","-74","49","0","3","0.65","3","320010106"
"0","1","-49","13","502001108","4","0.7","1","320010107"
"0","3","-4","62","502001109","5","0.85","2","320010107"
"0","2","59","50","0","6","0.65","3","320010107"
"0","1","0","-10","0","7","1.05","1","320010108"
"0","1","-15","-10","0","8","1.05","1","320010109"
"0","1","-85","-45","0","9","0.43","1","320010110"
"0","2","85","-45","0","10","0.43","2","320010110"
"0","1","43.5","11","502001202","11","0.7","1","320010206"
"0","3","13","67","502001203","12","0.65","2","320010206"
"0","2","-74","49","0","13","0.65","3","320010206"
"0","1","-49","13","502001208","14","0.7","1","320010207"
"0","3","-4","62","502001209","15","0.85","2","320010207"
"0","2","59","50","0","16","0.65","3","320010207"
"0","1","0","-10","0","17","1.05","1","320010208"
"0","1","-15","-10","0","18","1.05","1","320010209"
"0","1","-85","-45","0","19","0.43","1","320010210"
"0","2","85","-45","0","20","0.43","2","320010210"
"0","1","43.5","11","502001302","21","0.7","1","320010306"
"0","3","13","67","502001303","22","0.65","2","320010306"
"0","2","-74","49","0","23","0.65","3","320010306"
"0","1","-49","13","502001308","24","0.7","1","320010307"
"0","3","-4","62","502001309","25","0.85","2","320010307"
"0","2","59","50","0","26","0.65","3","320010307"
"0","1","0","-10","0","27","1.05","1","320010308"
"0","1","-15","-10","0","28","1.05","1","320010309"
"0","1","-85","-45","0","29","0.43","1","320010310"
"0","2","85","-45","0","30","0.43","2","320010310"
"0","1","43.5","11","502001402","31","0.7","1","320010406"
"0","3","13","67","502001403","32","0.65","2","320010406"
"0","2","-74","49","0","33","0.65","3","320010406"
"0","1","-49","13","502001408","34","0.7","1","320010407"
"0","3","-4","62","502001409","35","0.85","2","320010407"
"0","2","59","50","0","36","0.65","3","320010407"
"0","1","0","-10","0","37","1.05","1","320010408"
"0","1","-15","-10","0","38","1.05","1","320010409"
"0","1","-85","-45","0","39","0.43","1","320010410"
"0","2","85","-45","0","40","0.43","2","320010410"
"0","1","43.5","11","502001502","41","0.7","1","320010506"
"0","3","13","67","502001503","42","0.65","2","320010506"
"0","2","-74","49","0","43","0.65","3","320010506"
"0","1","-49","13","502001508","44","0.7","1","320010507"
"0","3","-4","62","502001509","45","0.85","2","320010507"
"0","2","59","50","0","46","0.65","3","320010507"
"0","1","0","-10","0","47","1.05","1","320010508"
"0","1","-15","-10","0","48","1.05","1","320010509"
"0","1","-85","-45","0","49","0.43","1","320010510"
"0","2","85","-45","0","50","0.43","2","320010510"
"0","1","43.5","11","502002102","51","0.7","1","320020106"
"0","3","13","67","502002103","52","0.65","2","320020106"
"0","2","-74","49","0","53","0.65","3","320020106"
"0","1","-49","13","502002108","54","0.7","1","320020107"
"0","3","-4","62","502002109","55","0.85","2","320020107"
"0","2","59","50","0","56","0.65","3","320020107"
"0","1","0","-10","0","57","1.05","1","320020108"
"0","1","-15","-10","0","58","1.05","1","320020109"
"0","1","-85","-45","0","59","0.43","1","320020110"
"0","2","85","-45","0","60","0.43","2","320020110"
"0","1","43.5","11","502002202","61","0.7","1","320020206"
"0","3","13","67","502002203","62","0.65","2","320020206"
"0","2","-74","49","0","63","0.65","3","320020206"
"0","1","-49","13","502002208","64","0.7","1","320020207"
"0","3","-4","62","502002209","65","0.85","2","320020207"
"0","2","59","50","0","66","0.65","3","320020207"
"0","1","0","-10","0","67","1.05","1","320020208"
"0","1","-15","-10","0","68","1.05","1","320020209"
"0","1","-85","-45","0","69","0.43","1","320020210"
"0","2","85","-45","0","70","0.43","2","320020210"
"0","1","43.5","11","502002302","71","0.7","1","320020306"
"0","3","13","67","502002303","72","0.65","2","320020306"
