39fa8e59b7f527efdf2795c0b65518ff5578a4cafdf14e637368aab305301d5c,c41a770c89c23900383e3c17c0c7224567c57c08bb63987e1fb446e117c108b1,8fd8bb922f93037375df14af6c82bcb7f300a2caee96c0ed7c8379836e5a9056,24209f8a39680cdbfaffdf96b978b454d9d0bc66c7c8ea1cee80d41d7bb249d1,eed12c2729c82012523cb9abb4fee2c72c3d838f3a449176490b77f4e44ed049,1787a78cf04db658b0748f69c1792428a6d38b371c909c266f5b5883e98e6faa,2fa1fdc3b51e5371c3753e23b673bc51ba50465ee23960c81c954144180bbf17
"10101","3","1","細かいディテールにこだわった躍動感あふれる至高のツムギフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.3046875","0.478515625","ツムギのフィギュア"
"10102","3","1","細かいディテールにこだわった躍動感あふれる至高のノゾミフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.365234375","0.490234375","ノゾミのフィギュア"
"10103","3","1","細かいディテールにこだわった躍動感あふれる至高のチカフィ\nギュア。最高のライブの熱気と感動が鮮明に思い起こされ、日々に\n活力を与えてくれる。","0.291015625","0.478515625","チカのフィギュア"
"10201","3","2","ツムギの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","0.440625","ツムギ直筆サイン色紙"
"10202","3","2","ノゾミの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","0.440625","ノゾミ直筆サイン色紙"
"10203","3","2","チカの個性が光る直筆のサイン色紙。想いがこもったメッセージ\nが入っている。家宝にしているファンも多いらしい。","0.440625","0.440625","チカ直筆サイン色紙"
"10301","3","3","ツムギのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","1.40625","ツムギのメモリアルピンバッジ"
"10302","3","3","ノゾミのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","1.40625","ノゾミのメモリアルピンバッジ"
"10303","3","3","チカのサマーライブ限定メモリアルピンバッジ。高級感があり、\nおしゃれなデザイン。各メンバーデザインはパーソナルカラーを\n再現。目指せ、フルコンプリート！","1.40625","1.40625","チカのメモリアルピンバッジ"
"10304","3","3","サマーライブ開催を記念し作られた限定メモリアルピンバッジ。\nエンブレムが刻印された高級感のある珠玉の一品。各メンバーの\nバッジと一緒にそろえよう！","1.40625","1.40625","カルミナメモリアルピンバッジ"
