e8c8a075c341e20b54eb05c0b255f8f232477d8fcd2715f0cab3aecba9bb5bd6,bb25470c39826958b251f507090143e6da17062860fbe3844459762c30af5e32,c14f571676b200f81d6d4b229bdd44df5518a48ed48dc569c23fa078d11fec21,a91109a99fc868182ea3601109d68d759ac3e1a5473413d8f686d0e442393457,ca3e24814ddca091879d8da89e2b59dcca14a0000ae933a09f7dd2b811f43f3d,0182ded496ba906a4f86ff09d9d0554537381159e39199e2f4d5606e9d48e4a1,aded534b6a37811a43f09b644aec6d025177d8a7fea80b759b5ea7784d8545ee
"8","101","2500","91002","1","累計スコアを2500pt 獲得しよう","10"
"8","102","5000","91002","1","累計スコアを5000pt 獲得しよう","10"
"8","103","10000","91002","1","累計スコアを10000pt 獲得しよう","10"
"8","104","12500","91002","1","累計スコアを12500pt 獲得しよう","10"
"8","105","15000","91002","1","累計スコアを15000pt 獲得しよう","10"
"8","106","20000","91002","1","累計スコアを20000pt 獲得しよう","10"
"8","107","25000","91002","1","累計スコアを25000pt 獲得しよう","10"
"8","108","30000","91002","1","累計スコアを30000pt 獲得しよう","10"
"8","109","35000","91002","1","累計スコアを35000pt 獲得しよう","10"
"8","110","40000","91002","1","累計スコアを40000pt 獲得しよう","10"
"8","111","45000","91002","1","累計スコアを45000pt 獲得しよう","10"
"15","112","50000","11001302","1","累計スコアを50000pt 獲得しよう","1"
"8","201","2500","91002","2","累計スコアを2500pt 獲得しよう","10"
"8","202","5000","91002","2","累計スコアを5000pt 獲得しよう","10"
"8","203","10000","91002","2","累計スコアを10000pt 獲得しよう","10"
"8","204","12500","91002","2","累計スコアを12500pt 獲得しよう","10"
"8","205","15000","91002","2","累計スコアを15000pt 獲得しよう","10"
"8","206","20000","91002","2","累計スコアを20000pt 獲得しよう","10"
"8","207","25000","91002","2","累計スコアを25000pt 獲得しよう","10"
"8","208","30000","91002","2","累計スコアを30000pt 獲得しよう","10"
"8","209","35000","91002","2","累計スコアを35000pt 獲得しよう","10"
"8","210","40000","91002","2","累計スコアを40000pt 獲得しよう","10"
"8","211","45000","91002","2","累計スコアを45000pt 獲得しよう","10"
"15","212","50000","11001303","2","累計スコアを50000pt 獲得しよう","1"
