113c0eaa84c7a67fd700eebc3a525c31baa405033eabb5cdaf5baf8b105e8b33,c50c2b3411cb2395554abc3677a2a59bb27b74f2910ea2ef4f838e290c8162b0,22b9bbe6b604217ba0a95c9d0816bf8d6dd5efc792c4d4b5edd41f5b0c6cf61b,a089e932916a0b30a6e69c483242abdb672c7097181a39aab722af561447a22e,bc8c4847e72ce93ce502552f99c3d631c394d8987c7163493f6a335c041e4eb2,9405fa92f6dbd28e12d6bd1aed02f4a657d39a535444e628d37aff522da8ad1c,7a8a6f8f8153fe2ab945c13c3ad06553ca75cecf9c1a24e44d79a2cc7f87496a
"5","10001","10001","1","2","ハツネボックスガチャ","60002"
"5","10002","10002","1","2","リトル・リリカル・アドベンチャーズ討伐証交換","60012"
"5","10004","10004","1","2","デンジャラスバカンス！渚のグルメプリンセス","60032"
"5","10005","10005","1","2","タマキとミフユの無人島０ルピ生活","60042"
"5","10006","10006","1","2","黒鉄の亡霊","60052"
"5","10007","10007","1","2","トリックオアプリン！約束のハロウィンパーティー","60062"
"5","10008","10008","1","2","トワイライトブレイカーズ","60072"
"5","10009","10009","1","2","忘却のキャロル","60082"
"5","10010","10010","1","2","新春トゥインクルクライシス！","60092"
"5","10011","10011","1","2","バトルオブバレンタイン！想いぶつかるスウィートバトル","60102"
"5","10012","10012","1","2","王都の名探偵　嘆きの追跡者（ストーカー）","60112"
"5","10013","10013","1","2","アストルムに咲く双輪の華","60122"
"5","10014","10014","1","2","復刻ハツネのプレゼント大作戦","60132"
"5","10015","10015","1","2","ショーグン道中記　白翼のサムライ","60142"
"5","10016","10016","1","2","復刻リトル・リリカル・アドベンチャーズ！","60152"
"5","10017","10017","1","2","Re:ゼロから集まる異世界食卓","60162"
"5","10018","10018","1","2","復刻ヴァンパイアハンターwithイリヤ","60172"
"5","10019","10019","1","2","スズナレインボーステージ！","60182"
"5","10020","10020","1","2","復刻デンジャラスバカンス！渚のグルメプリンセス","60192"
"5","10021","10021","1","2","真夏のマホマホ王国 波打ち際のソウルサマー！","60202"
"5","10022","10022","1","2","タマキとミフユの無人島０ルピ生活","60212"
"5","10023","10023","1","2","森の臆病者と聖なる学舎の異端児","60222"
"5","10024","10024","1","2","黒鉄の亡霊（ナイトメア）","60232"
"5","10025","10025","1","2","リトル・ブレイブ・ハロウィンナイト！","60242"
"5","10026","10026","1","2","トリックオアプリン！約束のハロウィンパーティー","60252"
"5","10027","10027","1","2","ドラゴンエクスプローラーズ","60262"
"5","10028","10028","1","2","トワイライトブレイカーズ","60272"
"5","10029","10029","1","2","プレゼントパニック！　ランドソルのサンタたち","60282"
"5","10030","10030","1","2","忘却のキャロル","60292"
"5","10031","10031","1","2","激走！　ランドソルギルドレース","60302"
"5","10032","10032","1","2","新春トゥインクルクライシス！","60312"
"5","10033","10033","1","2","魔法少女　二人はミスティ＆ピュアリー","60322"
"5","10034","10034","1","2","バトルオブバレンタイン！　想いぶつかるスウィートバトル","60332"
"5","10035","10035","1","2","スターライトプリンセス　Re:M@STER！","60342"
"5","10036","10036","1","2","スターライトプリンセス　Re:M@STER！","60342"
"5","10037","10037","1","2","王都の名探偵　嘆きの追跡者（ストーカー）","60362"
"5","10038","10038","1","2","授けの財団と聖なる学舎の異端児","60372"
"5","10039","10039","1","2","アストルムに咲く双輪の華","60382"
"5","10040","10040","1","2","まきばの四農士　貧乏牧場奮闘記！","60392"
"5","10041","10041","1","2","ショーグン道中記　白翼のサムライ","60402"
"5","10042","10042","1","2","不思議の国のリノ　小さなアリスと希望の絵本","60412"
"5","10043","10043","1","2","スズナレインボーステージ！","60422"
"5","10044","10044","1","2","七夕剣客旅情譚　天に流れる夏の恋","60432"
"5","10045","10045","1","2","真夏のマホマホ王国 波打ち際のソウルサマー！","60442"
"5","10046","10046","1","2","ミサトサマーエール！　夢追う真夏のナイン","60452"
"5","10047","10047","1","2","森の臆病者と聖なる学舎の異端児","60462"
"5","10048","10048","1","2","ハッピー・チェンジ・エンジェルズ","60472"
"5","10049","10049","1","2","リトル・ブレイブ・ハロウィンナイト！","60482"
"5","10050","10050","1","2","響け！絶叫！ハロウィンゴーストフェスティバル","60492"
"5","10051","10051","1","2","ドラゴンエクスプローラーズ","60502"
"5","10052","10052","1","2","魔法提督ラブリー★モニカ レッツゴー！マジカルカルテット！","60512"
"5","10053","10053","1","2","Re:ゼロから集まる異世界食卓","60522"
"6","10054","10054","1","2","デビュタント・シャングリ・ラ　聖夜のラブゲーム","60532"
"5","10055","10055","1","2","プレゼントパニック！　ランドソルのサンタたち","60542"
"6","10056","10056","1","2","新春グルメプリンセス！　一投にかけた乙女たち","60552"
"5","10057","10057","1","2","激走！　ランドソルギルドレース","60562"
"6","10058","10058","1","2","絆、つないで。こころ、結んで。","60572"
"6","10059","10059","1","2","絆、つないで。こころ、結んで。","60572"
"5","10060","10060","1","2","魔法少女　二人はミスティ＆ピュアリー","60592"
"6","10061","10061","1","2","シンデレラレッスン　華やかなる日々はリンゴの味","60602"
"5","10062","10062","1","2","スターライトプリンセス　Re:M@STER！","60612"
"5","10063","10063","1","2","スターライトプリンセス　Re:M@STER！","60612"
"6","10064","10064","1","2","鋼の聖女と聖なる学舎の異端児","60632"
"5","10065","10065","1","2","授けの財団と聖なる学舎の異端児","60642"
"6","10066","10066","1","2","イノリＳＯＳ！！　タイムトラベル・ドラゴンズ","60652"
"5","10067","10067","1","2","まきばの四農士　貧乏牧場奮闘記！","60662"
"6","10068","10068","1","2","以心電心！アオイ トイ フレンズ","60672"
"5","10069","10069","1","2","不思議の国のリノ　小さなアリスと希望の絵本","60682"
"6","10070","10070","1","2","エンドレスサマープロデュース　真夏のふたり占めパラダイス","60692"
"5","10071","10071","1","2","七夕剣客旅情譚　天に流れる夏の恋","60702"
"6","10072","10072","1","2","カルミナサマーライブ　ジャストアモーメント！ ","60712"
"5","10073","10073","1","2","ミサトサマーエール！　夢追う真夏のナイン","60722"
"6","10074","10074","1","2","イリーガルオーエドカルテ　Dr.ミツキの診察室","60732"
"5","10075","10075","1","2","ハッピー・チェンジ・エンジェルズ","60742"
"6","10076","10076","1","2","ハロウィンセイバーズ・スクランブル！　もふもふ捕獲大作戦","60752"
"5","10077","10077","1","2","響け！絶叫！ハロウィンゴーストフェスティバル","60762"
"6","10078","10078","1","2","魔法少女外伝　マジカル★ノワールズ！","60772"
"5","10079","10079","1","2","魔法提督ラブリー★モニカ レッツゴー！マジカルカルテット！","60782"
"6","10080","10080","1","2","メリープリンクリスマス！　空舞う少女とまごころのお菓子","60792"
"6","10081","10081","1","2","デビュタント・シャングリ・ラ　聖夜のラブゲーム","60802"
"6","10082","10082","1","2","新春美食メモリーズ　シェフィのおつかい大作戦！","60812"
"6","10083","10083","1","2","新春グルメプリンセス！　一投にかけた乙女たち","60822"
"6","10084","10084","1","2","Re:member　僕の願いが紡ぐ未来","60832"
"6","10085","10085","1","2","Re:member　僕の願いが紡ぐ未来","60842"
"6","10086","10086","1","2","絆、つないで。こころ、結んで。","60852"
"6","10087","10087","1","2","絆、つないで。こころ、結んで。","60852"
"6","10088","10088","1","2","スイート・タイニー・ステージ！　駆け出し女優とリトルレディ","60872"
"6","10089","10089","1","2","シンデレラレッスン　華やかなる日々はリンゴの味","60882"
"6","10090","10090","1","2","お宝頂戴！　インビジブル・スティーラーズ","60892"
"6","10091","10091","1","2","鋼の聖女と聖なる学舎の異端児","60902"
"6","10092","10092","1","2","エピソード・オブ・パイレーツ　海賊島の呪われし遺宝","60912"
"6","10093","10093","1","2","イノリＳＯＳ！！　タイムトラベル・ドラゴンズ","60922"
"6","10094","10094","1","2","エンジョイ＆リフレッシュ！　でこぼこガールズ・キャンプ","60932"
"6","10095","10095","1","2","以心電心！アオイ トイ フレンズ","60942"
"6","10096","10096","1","2","トゥインクルサマーゲーム　\n夏海にきらめく三つの想い","60952"
"6","10097","10097","1","2","エンドレスサマープロデュース　真夏のふたり占めパラダイス","60962"
"6","10098","10098","1","2","リトル・サマー・メモリーズ　渚でみつけた小さな幸せ","60972"
"6","10099","10099","1","2","カルミナサマーライブ　ジャストアモーメント！ ","60982"
"6","10100","10100","1","2","マホマホ・ミラクル・ジャーニー！　旅する少女と最果ての大樹","60992"
"6","10101","10101","1","2","イリーガルオーエドカルテ　Dr.ミツキの診察室","61002"
"6","10102","10102","1","2","ファボ！ラブ！大集合！　至高の祭典と少女の秘めた推し事","61012"
"6","10103","10103","1","2","ハロウィンセイバーズ・スクランブル！　もふもふ捕獲大作戦","61022"
"6","10104","10104","1","2","トライバルスピリッツ　掲げる剣と誇りの架け橋","61032"
"6","10105","10105","1","2","魔法少女外伝　マジカル★ノワールズ！","61042"
"6","10106","10106","1","2","ハッピー・ハプニング　幸せの双子天使と聖夜の贈り物","61052"
